tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
0,0,4548600,443900,3692900
1,0,2909000,269100,2456100
2,0,2635600,241700,2214600
3,0,3457100,223700,3036500
4,0,2683700,186000,2316900
5,0,2378800,158500,2042800
6,0,1922500,140100,1600900
7,0,2449100,160500,2061900
8,0,2476800,170000,2121800
9,0,2357500,158600,1988100
10,0,2254800,148800,1930600
11,0,1980200,143600,1658700
12,0,2385700,195200,2015300
13,0,2346300,169800,2013100
14,0,2031600,143700,1741600
15,0,1919500,190300,1543500
16,0,1620000,130700,1309900
17,0,1897700,135100,1582500
18,0,2294500,149700,1899000
19,0,1864100,158300,1457800
20,0,1944800,160000,1605700
21,0,2379500,146000,1920500
22,0,2156700,163100,1787100
23,0,2027500,159000,1688200
24,0,1882500,154900,1551200
25,0,2109000,158400,1806500
26,0,2123100,153100,1777400
27,0,2433800,166500,2083200
28,0,1862900,172800,1540900
29,0,2374500,185800,2012500
30,0,2108100,170000,1747900
31,0,2397600,156600,2017200
32,0,2157700,193000,1765900
33,0,2178000,173100,1799100
34,0,2369300,183100,1921400
35,0,2249500,223000,1843700
36,0,1882800,151700,1530600
37,0,1868300,161500,1534900
38,0,2245200,153900,1812800
39,0,2279300,173000,1885400
40,0,2554000,154200,2233200
41,0,1916900,143300,1613000
42,0,1559600,129000,1280100
43,0,1879800,149600,1575200
44,0,1753000,146800,1409200
45,0,1699500,131900,1390000
46,0,1771700,123700,1426900
47,0,1807900,117200,1502500
48,0,1754500,109900,1475700
49,0,1543800,116800,1231100
50,0,1531000,114500,1197900
51,0,1766600,122700,1410400
52,0,1704400,105100,1388900
53,0,1843900,129000,1511100
54,0,1605200,128500,1257500
55,0,1622800,149100,1297600
56,0,1765700,118100,1446900
57,0,1824100,118300,1491200
58,0,1572600,117200,1163600
59,0,1695800,134700,1315100
60,0,1916800,138400,1483100
61,0,1965500,120100,1603700
62,0,1649400,220300,1280000
63,0,1842000,163900,1459000
64,0,1928200,145300,1622500
65,0,2052800,162000,1734200
66,0,2190100,148500,1835100
67,0,1718400,139700,1405300
68,0,2273400,143100,1953600
69,0,2011600,146300,1674400
70,0,2022900,179900,1626400
71,0,2285000,178100,1914800
72,0,1955000,170600,1638900
73,0,2949400,173700,2608000
74,0,2320900,149100,2016800
75,0,2117000,134700,1836900
76,0,2091000,141900,1755100
77,0,2252800,191200,1764700
78,0,2352300,165800,1946600
79,0,2171000,145100,1845700
80,0,2054000,142300,1722900
81,0,2054000,162900,1659200
82,0,2199800,192400,1779200
83,0,1914000,140800,1606300
84,0,1652700,133800,1374800
85,0,1907300,122900,1541500
86,0,2546400,259700,2113600
87,0,2149500,157200,1833400
88,0,1819800,142300,1521100
89,0,1872200,170100,1547700
90,0,2088300,235000,1666300
91,0,2755200,150400,2437200
92,0,1920600,171800,1574500
93,0,2027900,136800,1676500
94,0,1857300,182200,1448500
95,0,2175900,146100,1827400
96,0,1826500,156400,1479600
97,0,1751700,134600,1414400
98,0,1627000,162800,1284000
99,0,2404100,188200,2028500
100,0,2172800,158100,1864500
101,0,2132900,157100,1778900
102,0,1803200,126400,1527200
103,0,2214300,169600,1848000
104,0,2163000,166100,1781000
105,0,1934700,149400,1568600
106,0,1819300,142900,1469000
107,0,2076500,168300,1720500
108,0,2216600,161400,1888800
109,0,2201200,143800,1888800
110,0,2221800,138500,1882400
111,0,2302000,127500,1914700
112,0,1971100,142200,1633300
113,0,2347300,152600,1945100
114,0,2271100,275900,1805400
115,0,2035200,123600,1712100
116,0,1877500,129500,1543400
117,0,1719300,128600,1400400
118,0,1736100,117100,1335300
119,0,1716900,114800,1357800
120,0,1626100,130000,1288300
121,0,1723000,114400,1452600
122,0,1641600,132800,1314000
123,0,2294900,131300,2003000
124,0,1455400,143900,1170100
125,0,1788700,131500,1478200
126,0,1887000,113200,1532800
127,0,1642500,105500,1372700
128,0,1594000,157200,1255200
129,0,1509200,129000,1193800
130,0,1794500,123300,1451700
131,0,2071800,139200,1741100
132,0,1735100,162800,1371500
133,0,1789600,140700,1463800
134,0,2055200,162200,1737400
135,0,2000400,144800,1666000
136,0,1772200,159800,1436800
137,0,1930300,199400,1522700
138,0,1872200,197600,1454800
139,0,2100500,159900,1748000
140,0,2244300,163100,1880000
141,0,2482700,357000,1862300
142,0,2298000,197400,1905900
143,0,2326400,175100,1974900
144,0,2022700,131900,1668500
145,0,2353300,145400,1939300
146,0,2210700,155200,1834500
147,0,2522400,157200,2193800
148,0,2470200,146400,2156300
149,0,2194100,155500,1810400
150,0,1974800,155400,1638600
151,0,2337700,168700,1968200
152,0,2481100,242700,2057900
153,0,2209600,188400,1848900
154,0,2010200,152900,1616800
155,0,2074900,133800,1766400
156,0,1995200,180400,1592800
157,0,2052900,131000,1758600
158,0,2148000,164700,1777300
159,0,2204700,184200,1815400
160,0,2138400,176700,1772700
161,0,2015500,152500,1692600
162,0,2256700,182200,1886200
163,0,2026100,159900,1695200
164,0,2137200,175200,1777400
165,0,2084300,134000,1792800
166,0,2236300,172000,1858700
167,0,1941400,162500,1621800
168,0,2118300,170000,1765500
169,0,2329800,183900,1954600
170,0,2337900,177800,1980100
171,0,2450400,174200,2031800
172,0,2158200,156700,1799000
173,0,2381400,171400,2017200
174,0,2093900,166600,1757600
175,0,2209900,149500,1899400
176,0,2230000,193000,1874200
177,0,2082100,153800,1744200
178,0,2515100,174700,2080700
179,0,2341100,152900,2019600
180,0,2138400,151200,1782900
181,0,2029900,139400,1750200
182,0,2045800,132900,1740000
183,0,2235300,172400,1904200
184,0,1983800,147000,1691800
185,0,1897300,129900,1574500
186,0,1843700,123400,1524400
187,0,1954800,140500,1659300
188,0,2484500,138400,2193800
189,0,1752800,119700,1435700
190,0,1662700,117100,1327500
191,0,2387800,273300,1919200
192,0,1937800,146700,1606800
193,0,1919700,137000,1601600
194,0,1781400,156000,1412700
195,0,1837000,136800,1487700
196,0,1913000,112500,1628100
197,0,1794200,132300,1479100
198,0,1584800,132600,1259700
199,0,1895400,150000,1393000
200,0,2183000,180100,1803500
201,0,1982700,163900,1604800
202,0,1670800,149700,1322600
203,0,1829200,148200,1519700
204,0,2213200,170400,1873500
205,0,2046700,152600,1758200
206,0,2462300,172500,2112600
207,0,1909900,137300,1583000
208,0,2336700,286800,1862700
209,0,2213700,169800,1835600
210,0,2066700,163400,1690200
211,0,3281300,191800,2866400
212,0,2640400,204100,2205600
213,0,2512800,161200,2101800
214,0,2161800,130700,1837500
215,0,2041800,160300,1688100
216,0,1931400,145100,1567700
217,0,2590300,140200,2289700
218,0,2474100,165000,2054100
219,0,2443800,173500,2056700
220,0,2007400,155200,1681200
221,0,2500700,182800,2131200
222,0,2393100,197400,2008900
223,0,2192100,144900,1870500
224,0,1951100,153200,1597300
225,0,1768700,140200,1420200
226,0,2335100,139300,1938000
227,0,2142700,146000,1853500
228,0,1710300,170500,1405300
229,0,2057400,158000,1690300
230,0,2010300,145700,1553300
231,0,2005600,155900,1591800
232,0,1897800,160100,1576400
233,0,1718000,149900,1405600
234,0,1842500,144300,1510200
235,0,1968500,168000,1635400
236,0,1765300,157200,1470500
237,0,1721100,167400,1376900
238,0,1956500,170100,1548900
239,0,2183600,163800,1824400
240,0,2011200,150600,1707400
241,0,1938000,158500,1634600
242,0,1965000,168000,1652500
243,0,3092900,158900,2772500
244,0,2188300,165900,1846200
245,0,2263400,177400,1890000
246,0,2276200,167200,1875300
247,0,2225000,152200,1927900
248,0,2039000,134300,1759900
249,0,2334500,151600,1988600
250,0,1882400,135500,1546300
251,0,1736400,132800,1450400
252,0,2017900,136400,1672000
253,0,2135900,148200,1827700
254,0,1901700,133000,1591300
255,0,1718100,133100,1430700
256,0,2028900,130500,1687700
257,0,1787900,134100,1493300
258,0,1539800,112900,1205800
259,0,1445800,110700,1126500
260,0,1523600,132000,1213500
261,0,1687300,125200,1349200
262,0,1601800,110200,1287000
263,0,1475200,128500,1217500
264,0,1809900,136500,1452100
265,0,1732800,123000,1433000
266,0,1634900,132100,1336400
267,0,1580700,115600,1293000
268,0,1579100,123800,1325500
269,0,1829700,122200,1532300
270,0,1794800,150600,1467200
271,0,2086900,149600,1738200
272,0,1644700,154700,1325600
273,0,1941700,164400,1586600
274,0,2291100,172400,1879600
275,0,2177500,150800,1863700
276,0,1695800,140200,1350800
277,0,2055300,150100,1651300
278,0,2296400,159800,1914100
279,0,2306200,149900,1946900
280,0,2128100,151100,1816700
281,0,2289900,157500,1784200
282,0,2297100,182100,1910500
283,0,2434600,154700,2096700
284,0,2053500,126900,1739600
285,0,2063700,147400,1730700
286,0,1973500,142000,1579100
287,0,2317300,162700,2009300
288,0,2093300,140600,1813800
289,0,2078000,142100,1754200
290,0,1821900,179700,1464400
291,0,2362500,175600,1975700
292,0,2250400,142900,1887500
293,0,2157000,143600,1813600
294,0,1860000,135100,1533700
295,0,2149300,135400,1827000
296,0,1953600,154100,1626400
297,0,1945700,158500,1625200
298,0,2038000,190300,1609500
299,0,2089300,170600,1732200
300,0,2207100,148500,1899100
301,0,2358400,160100,2020500
302,0,1897300,138200,1610600
303,0,1878300,141300,1557600
304,0,1883500,142700,1585100
305,0,2042400,140700,1688900
306,0,2094100,192900,1668200
307,0,1878400,155900,1559900
308,0,2648700,161300,2293900
309,0,2473300,153400,2138600
310,0,2062400,148600,1660400
311,0,2100200,143400,1778700
312,0,1937400,155800,1631200
313,0,2068500,141300,1747700
314,0,1849000,158900,1501100
315,0,2165400,163200,1733000
316,0,1853400,148000,1507600
317,0,2495600,157900,2160300
318,0,2433300,145700,2045800
319,0,2089600,147900,1771900
320,0,1668200,126700,1352900
321,0,1900500,137000,1547500
322,0,1995900,162000,1624400
323,0,2216100,168200,1893700
324,0,1897800,166200,1554100
325,0,1987700,144200,1656700
326,0,2243700,118200,1972800
327,0,1782900,116100,1497500
328,0,1378400,108100,1100600
329,0,1614700,115400,1338900
330,0,1790200,116100,1511700
331,0,2408400,125100,2104000
332,0,1917400,142900,1611800
333,0,1811700,146300,1479700
334,0,1931300,146200,1573500
335,0,1942500,127000,1653100
336,0,1793900,122000,1461100
337,0,1557900,119200,1276000
338,0,1678700,126700,1356900
339,0,1978000,129700,1641900
340,0,1752900,141100,1465300
341,0,1973800,159200,1574900
342,0,1888200,157900,1572200
343,0,2154100,164300,1822000
344,0,2313000,162500,1992400
345,0,2139900,154400,1773900
346,0,1896700,157800,1472300
347,0,2068900,146700,1741600
348,0,2050000,170700,1746400
349,0,1985500,161200,1666800
350,0,1898200,173000,1562000
351,0,2151200,179600,1759700
352,0,2229000,169800,1898700
353,0,2065800,143900,1730900
354,0,2222800,135600,1900700
355,0,1993900,154200,1639500
356,0,2248100,203800,1852300
357,0,2023900,137500,1735000
358,0,2217400,152400,1784700
359,0,1986400,137900,1662700
360,0,1930600,162200,1607100
361,0,2169100,174400,1799500
362,0,1982100,155700,1646600
363,0,2360400,129100,2070800
364,0,1897500,148900,1573300
365,0,2113300,147400,1821100
366,0,2217900,157900,1826700
367,0,2077800,173400,1704800
368,0,1980800,171800,1634800
369,0,2304500,145500,1947400
370,0,2112500,150900,1736200
371,0,2250200,170100,1884500
372,0,1724900,168600,1375400
373,0,1811900,141200,1525600
374,0,2257100,147500,1898400
375,0,2141500,182300,1771800
376,0,1853900,172800,1499000
377,0,2319000,223900,1879600
378,0,2386500,182800,1983500
379,0,2222800,157800,1858100
380,0,2013000,164400,1662500
381,0,2058100,150400,1707000
382,0,2425000,186800,2037400
383,0,2285700,165500,1954400
384,0,2188900,148600,1862600
385,0,1981500,167500,1636000
386,0,2313500,155600,2002600
387,0,2615800,200100,2226700
388,0,2028300,144100,1707800
389,0,2116700,265000,1672900
390,0,1854900,128400,1413500
391,0,2258100,173200,1880000
392,0,2049100,147000,1687700
393,0,2082100,158800,1719500
394,0,1945000,143400,1564700
395,0,2172800,151800,1814000
396,0,1993600,122800,1628100
397,0,1590000,110000,1325900
398,0,1625000,119000,1305000
399,0,1763700,116600,1414100
400,0,2023700,128100,1575400
401,0,2011400,145200,1671100
402,0,1839900,146700,1515600
403,0,1783400,160800,1473200
404,0,1836700,145000,1496900
405,0,1882900,123500,1523000
406,0,1797700,133000,1452000
407,0,1611800,142800,1314600
408,0,1628900,125700,1338600
409,0,2160700,152600,1831300
410,0,1836100,149800,1507500
411,0,1736700,145500,1369900
412,0,1660500,159300,1321900
413,0,2323900,293300,1829600
414,0,1945100,153400,1628500
415,0,1758700,155600,1467800
416,0,1888700,136400,1582700
417,0,2057100,139400,1741100
418,0,2229800,156200,1845500
419,0,2337600,154400,1968200
420,0,2186500,195300,1799600
421,0,2359400,263900,1911300
422,0,2365200,140300,2054500
423,0,2300400,152200,1973800
424,0,1932300,139600,1595500
425,0,2109000,157000,1739000
426,0,2545100,150500,2164200
427,0,2395000,159200,2072000
428,0,2806600,178000,2451300
429,0,2231900,167900,1886000
430,0,2136000,181100,1725900
431,0,2729400,160900,2377300
432,0,1916500,170500,1564800
433,0,1782900,140800,1494400
434,0,1625000,129000,1329900
435,0,1948000,143300,1622300
436,0,1874800,143100,1551300
437,0,1830000,162400,1463400
438,0,2031100,199300,1614500
439,0,2134800,137900,1789000
440,0,2117200,177100,1752500
441,0,2067500,161100,1714100
442,0,1995900,152000,1643100
443,0,2008600,146500,1726200
444,0,2276300,171300,1920200
445,0,1818800,152500,1482200
446,0,1964500,144100,1634900
447,0,2328200,188100,1975900
448,0,2036000,144500,1661800
449,0,2141300,149300,1822400
450,0,1966900,146600,1607500
451,0,2670200,166700,2313600
452,0,2055900,167000,1656200
453,0,2191400,153000,1831900
454,0,2024200,159300,1661200
455,0,2100700,156600,1754800
456,0,2000200,166200,1630500
457,0,2254200,138900,1950400
458,0,1989200,124000,1678800
459,0,1867600,126000,1539900
460,0,1868900,149900,1534500
461,0,1860500,132700,1581200
462,0,1970100,191000,1602400
463,0,1936000,130800,1628500
464,0,1846000,141000,1491900
465,0,1703000,126800,1397200
466,0,1833600,106400,1528700
467,0,1695900,120100,1352900
468,0,1483400,110300,1179500
469,0,1577100,116300,1224200
470,0,1589500,146600,1280100
471,0,1675000,119200,1327100
472,0,1599100,131700,1312200
473,0,1716500,140500,1420300
474,0,1717500,124000,1379400
475,0,1707200,128700,1399100
476,0,1561700,114700,1239300
477,0,1516600,136600,1171800
478,0,1943100,178200,1535100
479,0,2048500,136400,1730800
480,0,1946300,162600,1585100
481,0,1909400,158400,1585600
482,0,2194800,164300,1804200
483,0,3116600,180700,2742700
484,0,2164500,156000,1761200
485,0,2023200,178900,1571800
486,0,1852500,138000,1472500
487,0,2329000,152200,1987700
488,0,2162800,179700,1810200
489,0,2191500,162600,1821800
490,0,2331900,184300,1804400
491,0,2519700,201700,2136600
492,0,2123300,148400,1796000
493,0,2223400,136900,1911000
494,0,1966300,132900,1656100
495,0,2416500,148100,2084300
496,0,2335900,149700,2027900
497,0,2212900,138500,1886400
498,0,2032100,150700,1647000
499,0,2125900,159200,1749000
500,0,2005100,180700,1641400
501,0,2115400,140500,1776000
502,0,1954900,134100,1592400
503,0,1662300,121400,1383700
504,0,1911000,134900,1620100
505,0,2109700,150000,1760800
506,0,1723700,145200,1444600
507,0,2076100,193900,1683000
508,0,1954900,173700,1573300
509,0,1928000,148000,1586300
510,0,1881900,170500,1527400
511,0,1994800,143200,1647400
512,0,1576400,132400,1277400
513,0,2097600,146400,1785100
514,0,1984000,152400,1616600
515,0,1743000,153100,1394200
516,0,1931900,185300,1533300
517,0,2325200,182300,1932600
518,0,2154000,138700,1820800
519,0,1986300,142500,1660600
520,0,1937200,145400,1648400
521,0,2082400,167300,1741300
522,0,2139400,148600,1825200
523,0,1872600,142000,1538900
524,0,1986600,157800,1658700
525,0,2015700,136700,1723100
