tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
0,0,3252500,241900,2139000
1,0,1450700,129700,754300
2,0,1732000,130100,1345400
3,0,1096000,114800,727600
4,0,1453700,113600,1107400
5,0,2903800,123400,2484900
6,0,1743800,117800,1346100
7,0,1183100,132200,736900
8,0,885700,81100,568500
9,0,741900,93600,457000
10,0,2307400,76200,1914900
11,0,2168200,103900,1480600
12,0,1929500,125600,1531300
13,0,1441600,137500,1072300
14,0,1602400,130300,1229700
15,0,2281300,134100,1814200
16,0,3002900,120500,2611700
17,0,2021500,100600,1681500
18,0,1758500,86000,1405900
19,0,1348900,104100,958000
20,0,1614600,98200,1242700
21,0,1737600,110100,1326800
22,0,3246800,94100,2855900
23,0,1616100,92600,1022100
24,0,2337700,93500,2015000
25,0,1507900,93400,1181400
26,0,1398600,75700,1091500
27,0,2362800,88600,2000800
28,0,2735200,109200,2350400
29,0,1159000,109900,799000
30,0,1360100,85300,1035500
31,0,1104100,92900,802500
32,0,1428800,71300,1124800
33,0,2323200,77200,1967100
34,0,1895600,234600,1311400
35,0,1025800,85600,569600
36,0,1069900,89800,678800
37,0,891400,90800,566000
38,0,1538100,99200,1189300
39,0,2451900,90300,2109800
40,0,1258200,113200,902500
41,0,1092800,88400,683200
42,0,809800,75400,522700
43,0,934500,107200,593400
44,0,1598500,78500,1290000
45,0,1856500,74800,1508700
46,0,967100,76400,532600
47,0,2290400,101400,1839000
48,0,1300400,131100,958700
49,0,1076500,124700,728300
50,0,2121800,81400,1787700
51,0,2309300,92700,1913700
52,0,1325400,110200,943400
53,0,974300,89700,604700
54,0,936900,97600,594800
55,0,1431000,112200,1091900
56,0,2473600,88900,2053700
57,0,1182300,118600,760900
58,0,838900,100900,422500
59,0,753900,105400,387200
60,0,1200800,143600,691900
61,0,2021200,125900,1565200
62,0,1849800,102000,1533000
63,0,1126400,99400,764600
64,0,830100,117200,473000
65,0,1143900,115300,784000
66,0,942600,87900,618700
67,0,2039800,97900,1701300
68,0,1428700,84900,1110800
69,0,821800,96800,479600
70,0,744700,99100,346200
71,0,771400,121300,433400
72,0,1107400,86600,800200
73,0,1872100,111500,1524300
74,0,655100,93600,358300
75,0,525000,86700,228900
76,0,725200,76900,378600
77,0,666500,89500,360200
78,0,1750700,93100,1326100
79,0,1575100,94400,1216900
80,0,777900,80200,339600
81,0,939800,91700,582700
82,0,727200,87500,391800
83,0,868400,92100,565700
84,0,2125100,103900,1785600
85,0,1788000,88300,1454300
86,0,958900,113700,613800
87,0,787700,90600,492400
88,0,773500,91900,466700
89,0,1188200,73200,893500
90,0,2327000,83700,1974100
91,0,742100,90300,413400
92,0,929200,75600,452300
93,0,1148500,98500,825300
94,0,1097100,131100,698500
95,0,1753000,141200,1398700
96,0,2013800,123400,1616300
97,0,1201900,88300,885700
98,0,1079900,95200,712500
99,0,1103800,190800,671400
100,0,972500,97800,675000
101,0,2682200,99100,2200500
102,0,2527400,111600,1934400
103,0,1940100,103400,1595800
104,0,1537800,103700,1172800
105,0,1667400,117900,1198400
106,0,2141700,127600,1678700
107,0,3021600,103200,2647000
108,0,1547800,107200,1198900
109,0,1327000,95300,966700
110,0,1340800,108200,945900
111,0,1282000,95100,933800
112,0,2253100,90100,1789000
113,0,2316800,113300,1788600
114,0,1645900,120500,1131600
115,0,2002500,100500,1682700
116,0,1328900,89300,986500
117,0,1518600,98900,1139100
118,0,2889200,99700,2468200
119,0,2094500,91100,1770500
120,0,1234200,98500,881400
121,0,1198100,93700,877500
122,0,1292200,81300,997700
123,0,1499600,80200,1198900
124,0,2445100,75500,2083900
125,0,1288700,128000,743400
126,0,1230000,80800,892900
127,0,887500,98400,421700
128,0,1093400,123900,717500
129,0,1840700,100500,1506200
130,0,1924600,116300,1533400
131,0,1159700,91000,802200
132,0,1027200,77400,726100
133,0,687500,95700,382400
134,0,1055200,84600,747800
135,0,1950000,82700,1594500
136,0,1891700,83700,1508600
137,0,1114100,107700,559500
138,0,1391400,93800,986000
139,0,960300,94900,597900
140,0,1527100,119000,1148300
141,0,2596700,115600,2208100
142,0,1538100,107200,1158200
143,0,1107400,114900,757400
144,0,1044300,96200,657700
145,0,1218600,114300,641800
146,0,2170000,94600,1814900
147,0,1730900,132900,1385000
148,0,800900,93400,493900
149,0,654900,103400,307100
150,0,1416600,112300,1053600
151,0,1045700,136100,655300
152,0,2089800,108500,1722500
153,0,1339300,90600,1005600
154,0,839000,88300,481900
155,0,992400,119300,645500
156,0,896400,94200,530500
157,0,1227900,104600,878600
158,0,2141900,92000,1802900
159,0,769500,102100,443000
160,0,663400,97100,345800
161,0,715600,95600,372000
162,0,695900,84600,403300
163,0,1678200,94000,1370400
