tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
0,0,4886400,4121100,57600,379700,173000
1,0,2718600,2224900,65500,275400,117100
2,0,2667700,2259300,39600,214700,116400
3,0,3521300,3076400,94800,205100,119700
4,0,2681100,2319300,32500,177700,120800
5,0,2691100,2250800,25300,247900,124600
6,0,2333900,1977600,23300,194800,101200
7,0,2335100,1925200,61500,152200,109300
8,0,2271700,1949900,24200,160300,110100
9,0,2507100,2126900,57700,173500,120500
10,0,2380000,1836900,66200,237100,122700
11,0,2218300,1842300,62000,160200,122100
12,0,2312400,1941700,26200,188100,124700
13,0,2528900,1974000,60300,327900,132600
14,0,2122300,1766400,36600,158500,125600
15,0,1964900,1615800,67000,144000,104300
16,0,2182800,1604000,247600,140300,125400
17,0,2446100,2059200,60300,179700,94400
18,0,2193000,1814700,55800,156900,113800
19,0,2208900,1717800,23700,187400,124600
20,0,2091600,1659700,59900,189700,123200
21,0,2132400,1659100,59800,165300,112800
22,0,2119400,1718300,58800,170700,100300
23,0,2060800,1702700,69200,158300,104500
24,0,1915600,1503800,85400,171800,131000
25,0,2126300,1764100,50800,178200,107600
26,0,2010700,1658900,74400,160200,91900
27,0,1960900,1667200,22500,153600,91900
28,0,2091900,1702000,92800,147700,125600
29,0,2172200,1766200,67600,177300,118000
30,0,1961300,1607100,43300,145500,112800
31,0,2243000,1884600,57300,147800,104000
32,0,2184000,1831400,41500,155900,113800
33,0,2094400,1730200,25900,175000,102300
34,0,2202000,1775600,73400,152800,126000
35,0,1907800,1551100,53800,154300,108900
36,0,2063000,1691400,48300,143500,108600
37,0,1924700,1590400,24100,164900,106200
38,0,2112900,1787700,22000,149000,99300
39,0,2554400,2146000,81700,133600,135100
40,0,2079100,1708700,40800,177700,118400
41,0,2208900,1847500,71500,148100,110900
42,0,1758600,1444900,22400,128600,132800
43,0,2124900,1787900,23100,155400,127600
44,0,2190300,1811500,68900,160000,109700
45,0,1804400,1422300,96900,143300,106600
46,0,1756400,1436900,25200,120700,109700
47,0,1879800,1534800,61600,128100,124800
48,0,1802100,1482800,62600,111800,110100
49,0,1944800,1604100,37300,142400,110000
50,0,1586300,1218200,77100,122600,106400
51,0,1843900,1450700,78300,118100,119000
52,0,1901000,1537500,69700,131400,110800
53,0,1965100,1566900,86600,152500,114200
54,0,1571400,1241200,26600,150700,109300
55,0,1796600,1434000,65600,151300,109800
56,0,1798900,1464700,70000,132700,96500
57,0,1819400,1497800,30900,123500,118400
58,0,2160200,1525500,92100,138700,108300
59,0,1830300,1290400,87300,144900,114300
60,0,1958600,1528200,25300,162800,125300
61,0,2060800,1684900,69800,147700,121000
62,0,2080100,1691300,53400,187900,121900
63,0,1931700,1537900,84900,169900,112800
64,0,2033300,1684800,55100,151700,115500
65,0,2417700,1986700,90300,184700,125300
66,0,2095300,1708600,45700,155200,112700
67,0,1902500,1527100,68500,156700,120200
68,0,2274500,1957600,40500,137000,107600
69,0,2378000,1986600,88400,156100,118700
70,0,2462800,2043400,46100,186300,122400
71,0,2593800,2221900,47000,183200,113000
72,0,2212900,1801800,47000,201300,135100
73,0,3108200,2656200,123500,186000,111500
74,0,2628600,2264700,61500,150800,121700
75,0,2215200,1875000,23900,148600,130600
76,0,2192600,1808000,59300,146200,137200
77,0,2387300,2015300,50700,172500,105300
78,0,2260800,1854700,71700,163500,107900
79,0,2264100,1850000,83300,143400,123800
80,0,2155200,1819300,53200,151400,97900
81,0,2095300,1746600,33900,149900,104100
82,0,2298800,1890800,46400,182400,118800
83,0,2187100,1852500,56300,159200,103500
84,0,2044300,1718900,32900,170500,102700
85,0,1879700,1539000,22300,144700,95500
86,0,2346700,1994100,70600,136200,129000
87,0,2050000,1738800,23100,160600,109300
88,0,1918500,1612600,29500,145500,107900
89,0,1705200,1344700,50400,170700,104900
90,0,1662400,1346700,28000,136600,111900
91,0,2698600,2331000,66800,137500,122100
92,0,2097000,1711000,30500,191200,126200
93,0,2280700,1836700,85100,206200,104100
94,0,1884100,1489900,51300,166400,106000
95,0,2247000,1907800,36200,167900,102100
96,0,2529900,2153700,38400,162200,116800
97,0,1818200,1502500,24900,157900,92200
98,0,1873600,1445900,76100,160000,136200
99,0,2404600,1960000,57300,205000,123000
100,0,2622900,2233100,81100,166200,118100
101,0,2250400,1874600,68600,163500,116400
102,0,2012700,1686500,25500,154000,116800
103,0,2236400,1808300,106600,177300,108500
104,0,2276900,1798000,75700,220400,130400
105,0,2259100,1882200,46400,159000,122100
106,0,1883100,1459000,66100,152000,125700
107,0,1958300,1636500,25800,138800,122300
108,0,2152200,1722300,26400,251500,110900
109,0,2385500,1998900,87300,145000,115100
110,0,2051900,1712100,46300,140300,109500
111,0,2074900,1649700,70600,153300,114600
112,0,2399200,2007500,82200,139200,110800
113,0,2041100,1655600,79500,145400,111500
114,0,2050100,1673900,70500,163400,103600
115,0,2057300,1725100,48700,132400,117600
116,0,1870000,1503100,73300,144500,112700
117,0,2078100,1681400,91500,133900,132200
118,0,1863000,1469600,35500,150500,112500
119,0,1714100,1345500,82000,119300,106200
120,0,1854900,1496900,45800,163700,117100
121,0,1903300,1530500,78100,138900,112900
122,0,1865800,1572700,29900,129300,107100
123,0,2363900,1978100,65100,168600,126200
124,0,1623600,1269200,72800,148800,100900
125,0,1768500,1367200,74000,186500,105200
126,0,1651300,1299900,46200,125600,101400
127,0,1852900,1489400,68500,144700,115000
128,0,1512000,1190000,29300,155600,108500
129,0,1842100,1500700,35800,163400,108900
130,0,1836700,1428900,72500,134400,123700
131,0,1901000,1523300,61900,163600,116200
132,0,1717400,1363900,54300,167200,99800
133,0,1958600,1601600,52200,155300,112700
134,0,1941700,1541000,77300,183500,102900
135,0,2397600,2002800,56200,161500,130100
136,0,2178600,1711700,83600,168600,151900
137,0,2136100,1759600,26800,183100,110400
138,0,2024300,1654100,22700,146100,121900
139,0,2278200,1876500,56700,163800,103300
140,0,2261800,1894800,50000,167700,113600
141,0,2425800,1998700,34500,197800,113300
142,0,2315400,1893200,57200,185400,107300
143,0,2552100,2165300,67800,168700,117300
144,0,2549500,1993000,100500,153100,153500
145,0,2331500,1855900,84400,149900,115000
146,0,2064100,1714600,74100,145600,110700
147,0,2172900,1820100,49200,151500,135100
148,0,2692600,2332300,48300,177700,112600
149,0,2244900,1841800,27800,171700,108100
150,0,2244500,1876300,44000,161600,115200
151,0,2250100,1831400,50600,209400,113400
152,0,2780900,2361400,24200,249500,107100
153,0,2246600,1893400,24600,160400,117100
154,0,1954800,1541000,73800,166800,102400
155,0,1865900,1529300,49900,139800,119900
156,0,2325100,1895200,63900,165300,117900
157,0,2097800,1725700,58600,152600,125100
158,0,2461300,2035100,58000,184200,123500
159,0,2044300,1642800,36300,201300,110800
160,0,2035800,1712600,34100,160900,108500
161,0,1964300,1632400,38900,148300,124200
162,0,2010000,1705000,23000,160900,94400
163,0,1893800,1564600,51900,141400,113700
164,0,2031000,1659800,72100,149800,115800
165,0,2049000,1710200,22300,168100,111900
166,0,2070900,1667100,60100,166800,102400
167,0,1735400,1362300,88500,146800,121000
168,0,1863800,1511100,26600,187500,114900
169,0,2146900,1754500,64200,181400,116500
170,0,1929600,1567700,46600,181000,101400
171,0,2409100,1937400,99200,174500,133000
172,0,2216900,1801000,67200,200500,102500
173,0,2460700,2036300,86400,199200,106300
174,0,2365100,1956000,98800,155100,126000
175,0,2130200,1773600,47800,165900,114900
176,0,2056900,1700800,56800,157900,112000
177,0,2117100,1712700,68600,152100,150300
178,0,2491200,2007500,88600,175600,128400
179,0,2415600,2040900,55100,143600,113100
180,0,1982400,1550300,69600,221700,113300
181,0,1837700,1509300,53900,136200,106900
182,0,2126900,1763700,59100,160600,124400
183,0,2490400,2162000,46700,142800,107700
184,0,2023800,1680800,26200,165400,122100
185,0,1961200,1604000,61200,139000,120500
186,0,2017400,1623300,66700,171400,86100
187,0,2111800,1777100,51000,127100,118800
188,0,2561700,2236400,47000,129900,112900
189,0,1780500,1416700,73700,131000,111300
190,0,1521300,1162900,38200,132200,109800
191,0,2411800,2033200,90300,127500,115700
192,0,2178200,1791600,65800,172500,109100
193,0,2145300,1800000,37700,165000,107200
194,0,1823200,1455900,24100,177100,112900
195,0,2053700,1697200,53300,141500,117100
196,0,1738800,1393800,49000,131600,104300
197,0,1760800,1406600,71300,138600,100900
198,0,1718300,1357100,40200,136700,110600
199,0,2041100,1638500,44900,154300,132600
200,0,2206500,1766100,84500,176400,131500
201,0,2108800,1693200,64300,160400,112200
202,0,1898100,1479500,67300,172000,103800
203,0,1887600,1581100,23600,143400,115900
204,0,2483200,2075000,65600,198500,115200
205,0,2466600,2081000,25800,205600,126900
206,0,2478200,2086400,88000,162600,111800
207,0,2144500,1761700,80900,151100,126500
208,0,1984800,1620800,75200,158200,102000
209,0,2072100,1706300,30500,173500,119900
210,0,2021600,1650900,25400,173300,118300
211,0,3100700,2607400,85000,194600,136700
212,0,2367100,1964800,67800,180200,107300
213,0,2401600,1929200,62500,168400,133400
214,0,2495200,2118600,54700,133700,108200
215,0,2233800,1877800,41600,160500,112300
216,0,2310600,1868600,78100,166600,117600
217,0,2718600,2092100,106900,158500,316500
218,0,2527100,2108800,38600,176300,133200
219,0,2291400,1853900,81400,157400,128600
220,0,1959400,1595300,62400,156300,104700
221,0,2490300,2101100,72900,165800,105200
222,0,2142300,1772100,38500,189300,111200
223,0,1929300,1544400,62000,162900,124300
224,0,1891200,1550800,41300,143200,113500
225,0,1947600,1573800,70200,145000,113800
226,0,2397800,1906800,71600,211100,127800
