tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
0,0,3533700,2030500,473600,347500,521900
1,0,1985200,1370500,203200,224300,157700
2,0,1707500,1181700,242700,144200,118000
3,0,1907800,1516300,135600,129800,103000
4,0,1738200,1287200,148600,131400,141600
5,0,1931700,1458000,139400,140200,157000
6,0,1361600,961500,141800,123000,101000
7,0,1661300,1208600,136000,114500,115400
8,0,1241900,896200,104100,115700,109400
9,0,1540500,1086900,191300,114300,122600
10,0,1525400,1024100,134200,140000,156900
11,0,1425000,1019300,163100,97700,115400
12,0,1365200,867900,236300,119800,115200
13,0,1473400,1111200,117300,117300,104500
14,0,1450300,1029000,165400,125500,101700
15,0,1703000,1092100,260100,112900,107800
16,0,1481200,1055700,171800,125200,97400
17,0,1518800,1118500,137200,126300,102500
18,0,1417300,1001100,131800,107800,114200
19,0,1453500,1041200,117300,109200,111100
20,0,1434500,984300,187600,107400,122300
21,0,1841200,1240700,229100,165800,125400
22,0,1702700,1214100,179000,121500,113100
23,0,1540300,1149100,114300,134500,116700
24,0,1494100,1036200,204600,112200,116600
25,0,1760700,1288200,213600,112000,123700
26,0,1892300,1447800,159700,133300,122000
27,0,1595600,1233900,125600,104900,106600
28,0,1256600,868200,134900,109600,107100
29,0,1493500,1113800,120800,104800,114700
30,0,1472100,1059900,154600,112900,104200
31,0,1706300,1257400,191000,95000,106600
32,0,1374500,993800,111700,121600,108800
33,0,1518400,1084600,166600,111900,110000
34,0,1421600,967500,173600,95600,115200
35,0,1652000,1254100,145600,110500,108000
36,0,1457600,1013000,139000,108700,116600
37,0,1413500,922600,189500,135800,119800
38,0,1564800,1131600,135800,106200,112200
39,0,1558000,1152800,127600,116500,117800
40,0,1185900,820000,116600,117500,108600
41,0,1522200,1057000,182400,125500,113300
42,0,1487800,1081400,162700,105200,113700
43,0,1638100,1235100,118100,137900,115200
44,0,1469200,1055000,148700,116900,117900
45,0,1382500,979500,150700,106700,109000
46,0,1536600,1130000,134300,109100,100100
47,0,1412300,1007000,147900,115900,115700
48,0,1704200,1191300,184100,186800,112400
49,0,1502300,1116700,113700,116200,115600
50,0,1508800,1137100,116300,109500,107700
51,0,1653900,1190300,159800,105300,108400
52,0,1348800,959400,111900,114100,119100
53,0,1479300,1071800,136000,113000,118000
54,0,1489300,1038900,174800,116100,116800
55,0,1875800,1295900,167400,252900,124600
56,0,1642900,1240700,119100,124300,117200
57,0,1570300,1049200,246700,117300,115300
58,0,1840900,1321900,201100,102200,106500
59,0,1888600,1440300,136800,118800,111300
60,0,1705700,1145600,176300,126900,100000
61,0,1810100,1291300,137400,111700,115700
62,0,1726600,1369700,120600,116100,100600
63,0,1849600,1373100,219600,110000,123800
64,0,1694700,1277300,148500,118200,116000
65,0,1684600,1252700,162600,122800,111600
66,0,1731800,1285300,144400,119600,115300
67,0,2198700,1644300,253500,124500,140700
68,0,1916200,1468900,157200,145600,122700
69,0,1677700,1246500,161500,114500,123000
70,0,1635100,1144600,170800,124000,116000
71,0,1613500,1213000,134800,114100,116700
72,0,1724300,1308200,164000,119400,108900
73,0,1627300,1173900,149600,164300,114300
74,0,1582400,1201400,123500,115800,113100
75,0,1567800,1195600,124400,112900,101800
76,0,1506100,1112500,129400,111900,114200
77,0,1384000,965600,153600,103000,120100
78,0,1623800,1107900,167700,148700,115300
79,0,1546500,1071600,126400,110300,117200
