tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
0,0,3384500,2368800,260300,210200,408300
1,0,993600,492800,171000,174400,115700
2,0,915500,488200,179200,72500,144500
3,0,570500,212700,102400,131400,82800
4,0,634900,354200,89000,62600,87900
5,0,2588600,2253700,80400,107200,100300
6,0,804400,446100,104800,81200,120600
7,0,498900,142900,82300,79800,105400
8,0,686300,411100,82200,67400,94900
9,0,587800,311600,95700,73400,82800
10,0,2177700,1831100,106600,60400,123800
11,0,573900,235300,101600,100000,96700
12,0,1111300,353900,546000,76200,100300
13,0,991900,682000,88300,96900,90500
14,0,715700,455300,87300,63500,80100
15,0,2115100,1747100,128400,88000,115500
16,0,751300,450900,91600,79100,92900
17,0,2190700,1219100,709100,86900,123100
18,0,3913900,3504500,131700,75400,133900
19,0,2698500,2269900,92600,103300,107800
20,0,1983400,1654000,99700,70000,107400
21,0,3903300,3477200,98700,94400,114400
22,0,2728700,2339700,99300,84900,137800
23,0,1423200,1088700,92600,97300,121300
24,0,2004800,1564900,202000,88100,112500
25,0,1431600,1082500,104400,85900,114800
26,0,3133400,2772100,102200,91800,132200
27,0,1085500,787100,83200,91800,90500
28,0,1288600,776800,101700,260200,103700
29,0,603500,250300,93100,114100,88900
30,0,985900,644300,84600,108300,94900
31,0,2178600,1832600,97300,83900,123800
32,0,1157500,809500,89900,111300,107500
33,0,687800,386300,89400,72400,104100
34,0,746000,395100,88500,95200,101000
35,0,513500,219600,99300,69700,91700
36,0,2180900,1839500,92300,93200,104100
37,0,504500,194300,94400,81500,101000
38,0,871200,467200,82300,189900,87000
39,0,563700,266100,87600,73100,82800
40,0,773600,443700,73000,95100,140400
41,0,442000,161000,90000,83900,86600
42,0,1997900,1706700,81900,78000,112800
43,0,516200,216000,93600,82600,103800
44,0,702400,400300,86100,87400,104600
45,0,529100,196800,99700,107600,92400
46,0,599100,300600,85200,77000,82400
47,0,1810100,1524900,98400,68400,98400
48,0,616100,312700,92600,80900,103500
49,0,487300,192600,84600,90800,78800
50,0,595800,331500,75300,67900,82700
51,0,514300,207600,80900,74800,92200
52,0,2017000,1705700,87000,72700,105300
53,0,563800,234000,94800,80300,106200
54,0,920700,313500,386900,73600,107100
55,0,948800,635800,98300,93400,82300
56,0,2007400,1603200,134500,67500,153700
57,0,821900,333800,144600,92000,107100
58,0,2699300,2157900,101800,96600,116400
59,0,1752400,1169200,105200,92600,148800
60,0,1553000,1180700,122000,106900,100800
61,0,1096700,799400,89200,88100,89000
62,0,986000,688800,89900,92400,83800
63,0,2505900,2224700,82300,76500,92600
64,0,877400,547400,86800,97900,108000
65,0,791700,510100,84300,79400,85100
66,0,948100,601900,98000,79300,98700
67,0,729000,392100,83800,84800,130000
68,0,2125200,1831300,93700,76800,97700
69,0,514700,186800,95600,105400,95700
70,0,757100,428000,93100,76200,91800
71,0,416600,153000,74400,77700,83600
72,0,585000,285700,93100,98100,85100
73,0,556300,211300,80500,84300,145000
74,0,2274800,1759700,96300,98200,283800
75,0,587600,235300,113000,101600,92600
76,0,676100,317400,87100,108900,117200
77,0,477400,178100,71900,76100,102400
78,0,640600,297400,86500,96900,95200
79,0,1949800,1616600,92300,71800,114700
80,0,1042000,590700,90100,253400,79100
81,0,588300,280100,75700,77700,94400
82,0,746900,420000,78900,106000,91200
83,0,437800,179100,74000,80300,91100
84,0,2390100,2079500,96000,100800,97300
85,0,568900,195800,96500,101700,95200
86,0,661700,372600,92000,94100,88600
87,0,442900,181900,79500,74600,83500
88,0,631200,337300,90500,90400,93100
89,0,438800,171200,84300,67500,84300
90,0,2038800,1725500,95500,76400,108700
91,0,481200,176800,94700,70500,112100
92,0,630400,348400,86700,82900,83600
93,0,397300,145400,84400,48100,100600
94,0,627900,321100,76800,67600,113600
95,0,2205800,1840200,107800,131600,102100
96,0,667800,328800,86000,88600,101800
97,0,809400,195300,416000,66500,96600
98,0,1003800,727400,75000,80800,78700
99,0,519900,259000,86900,54100,77800
100,0,2081000,1758800,130800,74500,97700
101,0,635700,328400,100100,72600,97200
102,0,2098200,1155700,725300,70100,104700
103,0,3685100,3211400,142300,148400,132900
104,0,2909800,2518800,83700,89700,177400
105,0,3453700,3068100,94600,87400,142800
106,0,2589200,2208400,114000,86900,98500
107,0,2738500,2382700,95000,87500,140500
108,0,1587600,1225000,93800,108800,120500
109,0,1847700,1433400,198400,78200,93300
110,0,1813100,1478300,99000,69900,116600
111,0,3398000,3001200,108400,90800,110500
112,0,1433400,1010700,137400,130300,108100
113,0,832900,518100,80200,83300,111300
114,0,673600,353700,99000,78300,111300
115,0,860100,499700,99400,106800,110400
116,0,2359700,2047700,89400,78200,105800
117,0,886300,548700,91300,106500,101600
118,0,862900,449300,92400,122500,110000
119,0,604700,211900,97000,121400,115900
120,0,768200,500200,80300,63900,86500
121,0,2173200,1828600,101700,116200,99700
122,0,893100,487600,87200,195800,86400
123,0,668400,351600,74300,119500,83500
124,0,797500,507200,79300,92200,85000
125,0,742400,426400,85400,90800,96500
126,0,657800,321800,109700,69800,94300
127,0,2137100,1831800,88600,97500,80800
128,0,722300,417200,89800,82900,102500
129,0,527400,206200,108100,79200,101500
130,0,663600,298800,82000,83700,144700
131,0,572400,284800,84500,99900,79200
132,0,2309500,1990200,102500,68200,117500
133,0,544400,237300,84200,95500,102100
134,0,603100,305800,86800,77600,95900
135,0,464600,183300,85800,71000,81700
136,0,761600,465400,93400,74900,88600
137,0,2297300,1922400,89400,103800,134400
138,0,727800,409600,100100,81700,82600
139,0,854500,226800,387600,76800,105900
140,0,1081700,804000,85100,78800,88500
141,0,679100,366400,83900,77300,98300
142,0,1014200,651600,131800,78600,96100
143,0,2185200,1814800,85300,85500,84500
144,0,1457400,1108500,89600,79300,97400
145,0,1077100,761400,95100,96600,107500
146,0,1247000,936900,88000,91100,113400
147,0,641800,346200,86900,90300,102300
148,0,2535200,2259400,88000,81500,86000
149,0,666500,329500,85900,72400,87000
150,0,720000,398900,92100,76300,99800
151,0,575600,245500,81400,96900,100600
152,0,757000,457600,95100,69200,84900
153,0,1944000,1650000,96200,65000,97300
154,0,678400,332600,98300,84500,97000
155,0,473500,190600,94800,66800,87200
156,0,859500,422300,96900,189800,96300
157,0,540200,198100,87900,121700,97800
158,0,715900,405300,75800,93400,88800
159,0,2110100,1714700,141900,98800,101600
160,0,964500,632500,102400,84300,109000
161,0,597100,273200,89600,119000,82100
162,0,677900,394700,94400,74100,80200
163,0,492500,199300,82500,102300,84700
164,0,2230700,1916900,98800,70500,116900
165,0,574700,229600,88300,123100,96500
166,0,672100,353400,87300,86100,84900
167,0,471700,181000,81000,89700,91200
168,0,693100,328600,74000,68300,196500
169,0,2111000,1751500,117000,107900,102400
170,0,670600,349600,104400,86300,92700
171,0,495500,195000,79200,72400,77800
172,0,582800,294200,77100,81800,82400
173,0,436100,155200,83400,77900,84400
174,0,574000,292800,82800,60300,97300
175,0,1884400,1592400,85800,73600,100200
176,0,1831100,1476800,122900,76400,110800
177,0,521600,158000,99600,130400,99900
178,0,608000,291400,91900,54500,99300
179,0,529900,180800,97500,102000,101000
180,0,2043200,1735800,102200,61900,122900
181,0,491100,188600,101900,79800,103800
182,0,905500,287100,432400,68300,102100
183,0,1042100,755000,80700,97800,86500
184,0,633600,396300,70700,57700,87100
185,0,2025600,1651300,155600,89000,100400
186,0,819500,485800,95400,87400,98900
187,0,1895200,1011600,669700,81000,97000
188,0,3914700,3622600,83300,65200,113800
189,0,2565500,2226000,110400,85300,116800
190,0,3521500,3142200,105300,78300,131400
191,0,2523800,2167600,108700,83300,130000
192,0,2845900,2519500,99400,72000,120900
193,0,1717000,1394600,91600,88900,112700
194,0,2186900,1762700,205700,85400,95000
195,0,2037500,1706600,84400,99100,109500
196,0,3786900,3418300,114500,74900,144000
197,0,1963800,1624900,94600,84400,112900
198,0,1299600,846100,84000,198700,114800
199,0,665900,320800,104200,82900,86100
200,0,1122300,792300,94200,101000,87600
201,0,2536200,2179400,100700,95300,96300
