tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
0,0,3625600,2661300,231200,238200,352000
1,0,1171400,791000,96600,144600,113300
2,0,873100,567300,89100,110400,80900
3,0,1761100,1419500,133500,105600,84800
4,0,886800,529500,155900,94500,80300
5,0,980500,689800,76700,81100,81500
6,0,1430300,993200,111500,195700,91500
7,0,2108700,1718200,122300,106300,85500
8,0,959200,668200,91800,95900,82600
9,0,1591100,1141800,247400,92500,87900
10,0,1251400,909300,90400,106500,90900
11,0,1242000,904700,101500,91300,120400
12,0,1279800,856400,129900,163200,94500
13,0,790900,501400,81600,106600,78600
14,0,1942000,1636900,80500,99600,97200
15,0,1035800,721400,72700,116600,90300
16,0,1523000,1061100,228000,107500,86100
17,0,1714700,1163900,222500,109400,161700
18,0,1694900,1278800,89800,169000,75500
19,0,2181000,1782500,88000,95700,90400
20,0,1193100,853700,86700,106000,95200
21,0,1445700,1101600,92000,96500,83700
22,0,1586500,1253700,84600,91500,94200
23,0,1439200,921500,144200,232000,104700
24,0,1498300,1178900,109100,103800,83600
25,0,1401000,1000200,198300,90900,91100
26,0,1484800,1146900,119200,84200,97200
27,0,1703700,1316300,171700,92800,95400
28,0,1581800,1154700,194800,100400,95500
29,0,1386400,1044800,98000,108000,94900
30,0,1874000,1534300,114900,88400,97300
31,0,1237700,895300,111800,96400,92600
32,0,1677200,1303500,143100,98100,91600
33,0,1401100,1070700,79800,109400,87500
34,0,1413700,978200,104500,165700,79200
35,0,2254200,1833600,155500,109500,96800
36,0,1323700,841400,216500,108900,78200
37,0,1953400,1611400,94200,109600,92200
38,0,1337700,990400,80300,116800,95600
39,0,1518200,1017900,115900,227800,99600
40,0,1765500,1384000,139000,101100,94600
41,0,1869700,1342600,272500,112100,96500
42,0,1899600,1510400,87900,97500,98600
43,0,1915500,1566600,140800,89100,88000
44,0,1558700,1249600,82600,113800,77900
45,0,1356500,1076300,68700,99600,79200
46,0,2218200,1817200,161800,94600,94700
47,0,1639500,1293000,113100,83200,101300
48,0,1653400,1273900,135600,93400,101600
49,0,1313700,924600,117600,111900,94500
50,0,1030200,720000,89400,86300,94700
51,0,1996000,1507500,234500,85200,97000
52,0,1219800,929200,84400,90600,77100
53,0,1456900,1164900,83200,96300,76400
54,0,1274800,880500,132600,103900,96600
55,0,911200,576700,85900,100800,110800
56,0,1598100,1299500,90300,100900,78600
57,0,1337700,949700,87800,93300,81400
58,0,1223800,740300,79100,91100,78500
59,0,1534700,1048000,88600,90200,90900
60,0,1039200,723900,86600,107300,94200
61,0,1203600,864800,89900,90600,136600
62,0,1283100,996600,84200,90300,92500
63,0,806200,468200,132700,94100,92500
64,0,1086500,810100,80100,96700,73800
65,0,1020000,747300,76800,79400,87100
66,0,697600,366900,85200,110000,76900
67,0,1411600,1132500,90800,83400,82200
68,0,701400,419300,90900,85500,88200
69,0,1070100,714200,173000,86700,75100
70,0,1105300,686100,181800,94200,94000
71,0,970700,676300,89000,93900,88000
72,0,1490600,1194300,112800,74100,90000
73,0,806300,502800,115000,84300,83600
74,0,879200,614300,76900,87600,78800
75,0,1312100,1008800,85000,88900,79000
