tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
0,0,1640100,715300,282300,136000,354600
1,0,3028200,2705200,112800,106000,84400
2,0,571100,292300,89200,62400,102300
3,0,679300,389100,83200,101300,84500
4,0,580400,331600,94100,50100,86400
5,0,501200,200900,94000,105400,78100
6,0,523100,273300,91300,48000,79300
7,0,2202000,1887200,103800,56000,104200
8,0,691400,348600,97400,59000,84000
9,0,627900,347300,93500,63800,99700
10,0,607400,320900,88400,61900,85700
11,0,477300,203100,83000,78900,91500
12,0,553300,303100,88600,55000,85700
13,0,2097400,1847700,84800,68700,79700
14,0,566600,316300,87100,55500,89400
15,0,546000,293800,77000,71300,84500
16,0,574500,320600,89700,52200,85900
17,0,514900,233600,85500,76900,90300
18,0,520100,266600,81300,51700,77200
19,0,2242600,1913300,99700,60800,111400
20,0,653700,366800,87500,61800,84200
21,0,543500,259500,89500,60600,84700
22,0,564500,320600,74300,36600,80300
23,0,441200,192600,74100,74500,79800
24,0,1361700,1102400,99400,55400,85200
25,0,2223600,1943100,102800,72100,85500
26,0,541400,284600,84200,69100,83800
27,0,514500,259800,71400,82900,84400
28,0,516100,284400,72900,56500,85100
29,0,520100,233300,85800,64700,101200
30,0,574500,288600,92700,65800,89500
31,0,2210300,1872200,103200,94000,102400
32,0,593800,297100,87000,82900,96700
33,0,1111700,251800,681700,61100,91000
34,0,1396000,1106000,85400,57200,89600
35,0,682000,350700,128200,64200,88800
36,0,715700,385600,138000,52100,85200
37,0,2300100,2011400,102700,71600,87000
38,0,1895300,1593500,99400,61000,87900
39,0,1387600,1092000,102500,75600,86200
40,0,3402200,3112800,112800,58800,94900
41,0,979100,669200,108400,69800,95800
42,0,1305100,1009100,79900,74800,109200
43,0,2534700,2255900,95900,70900,87700
44,0,676000,383000,97700,79100,84500
45,0,626300,351600,85800,74700,84600
46,0,775800,468100,80100,55900,102600
47,0,503200,205000,107700,78700,86700
48,0,524200,278700,93300,45800,88000
49,0,2343600,2060100,84100,82100,89700
50,0,618600,327100,102600,64800,85200
51,0,1222500,253000,732400,75500,94600
52,0,4018800,3669200,118600,66400,107000
53,0,2357000,2025200,115500,74000,88400
54,0,2401700,2080400,113600,69800,99200
55,0,4026900,3722500,95900,82000,87400
56,0,3103400,2801000,117700,57700,88600
57,0,2031100,1740300,83400,83400,91200
58,0,2621400,2076000,214700,121600,106100
59,0,2166100,1795100,93900,74600,118400
60,0,1605000,1200500,107500,59300,90200
61,0,2887100,2515000,92100,76100,90800
62,0,989800,738200,95200,52900,84700
63,0,857400,596100,82700,76900,85600
64,0,797200,535600,76400,47200,111400
65,0,676900,362100,94000,96400,87700
66,0,630500,348900,90800,55700,80000
67,0,2218800,1930000,105500,77800,85000
68,0,586700,332100,93100,59200,81900
69,0,520700,259400,81200,82400,74500
70,0,535800,288800,73100,45200,81700
71,0,499600,236800,84300,70100,85500
72,0,654300,351500,81600,58600,78200
73,0,2122900,1855000,84300,61000,104700
74,0,627100,320400,108200,67800,104600
75,0,571500,257300,124600,74000,86100
76,0,607900,352700,88100,53500,83200
77,0,456500,225000,68800,53600,83900
78,0,596400,320600,73000,65600,81400
79,0,2134000,1856000,85100,63600,101300
80,0,585600,324500,91700,56100,88600
81,0,930400,303400,419000,57900,96100
82,0,1113400,836800,81800,66200,81100
83,0,621200,354200,91400,67300,92400
84,0,1555200,1235300,148600,60700,93500
85,0,2555100,2249200,114200,80300,95800
86,0,2341500,2084300,91100,58800,89900
87,0,1310800,1020400,88900,97900,91200
88,0,1370200,1090400,94800,77600,91100
89,0,759800,470600,95400,73100,88500
90,0,1321000,1051000,95700,53500,87400
91,0,2532000,2201600,89600,116100,92700
92,0,802000,462800,89700,123500,90700
93,0,654300,369300,78200,85700,91900
94,0,737700,443400,100000,53100,90600
95,0,548200,260100,96800,66600,93000
96,0,619400,298800,82000,101600,89400
97,0,2245200,1945600,92800,84900,96800
98,0,659900,329300,99300,76800,88800
99,0,547400,253100,94500,85700,85200
100,0,569000,321000,85600,59900,83800
101,0,473500,212800,90300,69100,80900
102,0,602800,349500,86300,55500,88100
