tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,3024700,128700,276000,289200,138200,274800,2151600,1300,1300
1,0,1617000,62400,176300,80100,71300,53100,1268300,100,100
2,0,1466400,70500,107600,82800,72600,52000,1182000,100,100
3,0,1632300,79100,89500,81900,71900,53100,1352200,200,100
4,0,1420300,60500,146400,77800,68600,49300,1097500,100,300
5,0,1391700,75000,87600,80500,72100,51100,1111700,100,100
6,0,1280300,75900,107100,80000,70200,49700,978200,200,200
7,0,1384900,56400,89900,79700,70500,47900,1083800,200,200
8,0,1547000,74400,92600,81600,71900,53600,1179100,100,100
9,0,1456500,63500,102300,81500,72500,51100,1169100,200,100
10,0,1277600,46900,93400,79000,70700,50300,1003400,100,100
11,0,1240800,59200,89200,76900,69200,47000,968800,100,300
12,0,1160700,83600,85900,76800,68500,45900,885300,100,300
13,0,1451800,61300,89000,75600,67900,49900,1200400,100,100
14,0,1118600,78100,80700,81400,70400,45100,846100,100,0
15,0,1398700,62000,88400,76700,68200,49500,1136300,100,200
16,0,1106100,47800,93200,79700,71100,54900,852300,200,100
17,0,1187800,74800,87100,80900,71400,49200,915200,100,0
18,0,1380500,58300,97500,76700,68200,46200,1053300,100,100
19,0,1426100,61800,85400,77100,68700,51200,1138700,100,200
20,0,1486900,56000,89600,110100,70000,67300,1155600,200,0
21,0,1347800,58300,101700,77300,69100,51300,1050900,200,300
22,0,1173200,66000,102900,77500,68800,46700,865600,100,100
23,0,1234000,66700,88300,79600,70300,47200,957600,200,100
24,0,1065200,76700,94200,77800,69600,52500,797300,100,200
25,0,1201800,61000,73000,79100,70300,50400,966900,100,200
26,0,1047800,53500,89200,77500,69000,46400,806100,100,0
27,0,1168500,65200,88300,84200,75200,50200,911800,0,0
28,0,1236700,75800,100800,81300,72600,53300,957100,0,200
29,0,1349000,61200,112400,79500,70800,52600,1068800,200,100
30,0,2969800,100500,122200,80300,70500,59800,2628400,200,200
31,0,1401500,78000,119300,82100,72200,53100,1078900,200,100
32,0,1105400,62800,95300,94900,85200,50800,813900,100,100
33,0,1164500,62800,105300,79900,70500,47000,876900,200,100
34,0,1100200,59900,88600,78600,70300,52400,809300,100,100
35,0,1180100,67400,96200,77700,68700,49800,906100,100,200
36,0,1226200,57300,123500,80300,71500,51600,897500,100,100
37,0,1130400,59500,84400,80400,71300,53100,867600,200,100
38,0,1127400,59900,99900,78400,70400,50700,857000,200,200
39,0,1195900,57400,79700,81400,73200,55600,918400,200,200
40,0,1272500,62900,83000,82600,73300,54400,982100,200,100
41,0,1315600,71200,93100,80700,71200,50800,1039600,100,200
42,0,1426300,67400,100700,81200,71500,51600,1144000,200,100
43,0,2115200,58600,101300,77100,68900,51600,1835900,200,200
44,0,1163400,57300,96400,75800,67600,45200,907500,100,0
45,0,1645100,65300,89800,79500,69900,53700,1363000,200,200
46,0,1159600,69200,104600,82900,72900,54700,828900,100,0
47,0,1368000,66500,103400,77700,68400,47200,1088100,200,100
48,0,1426000,58600,96500,79700,71200,49900,1160100,200,200
49,0,1221800,60300,104700,82000,72800,54100,900300,200,200
50,0,1210700,63700,86300,80200,71200,48500,910000,100,100
51,0,1378900,55000,93800,79400,70700,46500,1074000,100,200
52,0,1895300,85700,117000,83700,74300,48700,1558300,200,200
53,0,1323300,65000,110500,81100,71500,46600,1016800,200,200
54,0,1257900,57700,123400,80600,71100,47900,953200,100,200
55,0,1149700,60000,109300,79200,70300,50700,866400,0,100
56,0,1778700,67300,108800,97100,86800,58700,1467100,200,100
57,0,1482600,86400,107700,189300,178600,46400,1061000,100,0
58,0,1441200,78200,117500,81100,71200,48800,1091200,100,200
59,0,1599200,88100,105100,81700,71800,51600,1198200,200,100
60,0,1439400,57200,126500,83500,74100,46900,976700,200,200
61,0,1479000,62900,104900,78100,72300,64500,1119500,100,200
62,0,2092200,63400,128300,94500,80700,67300,1782100,200,300
63,0,1576500,79400,132700,92800,82900,48700,1245100,200,200
64,0,1374400,63300,111200,90900,72800,80500,1076300,200,200
65,0,1347700,66600,97500,80200,71900,52100,1063900,200,100
66,0,1277300,71400,117300,79700,71100,51000,940000,100,0
67,0,1241000,80100,98300,80200,71100,49600,940100,200,100
68,0,1340300,70900,129500,80900,71500,50700,1021300,100,100
69,0,1542300,111000,100900,83700,73800,50200,1209700,200,100
70,0,1266300,81100,116400,108700,99800,51700,882500,100,100
71,0,1448700,76200,106100,79000,69900,47800,1138400,100,300
72,0,1487000,56700,105800,76200,68100,47400,1151500,200,100
73,0,1417100,60100,112100,83000,74100,48900,1123100,0,300
74,0,1363700,59600,147300,79400,69900,48600,1029000,200,0
75,0,1265100,72800,111000,80200,70800,51200,963400,100,200
76,0,1374000,70300,126000,81100,72500,47700,1048000,200,100
77,0,1235500,65700,106700,77800,69800,49000,947600,100,0
78,0,1126900,71100,126400,83500,74600,53500,800600,200,100
79,0,1269700,64000,96300,77000,68300,48600,963200,200,200
80,0,1200100,66700,107000,76500,68200,47600,850600,100,300
81,0,1302100,77800,88600,89200,77800,48000,956800,0,100
82,0,1134600,57100,107800,79000,70100,48100,832900,200,200
83,0,1262000,58300,110700,77600,69600,51600,997300,200,100
84,0,1223100,64000,103800,81000,71600,52100,956600,200,200
85,0,1350700,67600,86900,77800,69500,47300,1099000,100,300
86,0,1126600,76900,94800,82600,72400,53300,853700,200,100
87,0,1227600,75500,89800,78900,70200,46500,963200,200,100
88,0,1157100,66400,97600,82900,73200,47600,887000,100,0
89,0,1146100,58800,97000,79200,70300,45200,883000,100,200
90,0,1209800,68200,94700,82900,73100,54000,931400,200,100
91,0,1151100,58200,111800,79300,71100,52600,868800,0,100
92,0,1047800,56400,88600,78700,70500,55400,792100,200,200
93,0,1062600,66800,90000,76900,68300,45700,796700,200,200
94,0,1154200,56800,94200,76000,68200,46900,869100,200,200
95,0,1254700,56800,89400,135500,85500,47300,948600,200,100
96,0,1265900,64900,103100,79200,70100,46400,960900,200,200
97,0,1143700,58900,85100,78700,70100,45700,882500,200,200
98,0,1014400,56800,85100,81200,72700,49400,760800,200,200
99,0,1152400,76900,90900,77400,69200,51500,849400,100,100
100,0,1255400,85200,90200,80000,70400,47700,954500,100,100
101,0,1373300,67700,97400,79100,70000,49300,1093400,200,100
102,0,1122500,64200,82000,120700,85900,51300,818400,100,100
103,0,1122300,57600,86000,82200,72900,47400,873000,100,100
104,0,1042000,62400,84200,76300,68100,45500,779500,0,100
105,0,1208900,62800,98300,76600,68300,46900,925500,100,100
106,0,1062100,65300,82800,79300,70400,48100,771700,100,200
107,0,1146800,59600,89900,76600,68700,46600,877600,100,100
108,0,1075700,68000,68200,78700,70700,50500,831400,100,100
109,0,1088500,60800,97600,76100,68000,46100,823000,200,100
110,0,979300,69400,78000,80300,70500,45500,715000,100,0
111,0,1164800,42900,128100,79300,70300,44600,810000,200,0
112,0,1157300,71200,74900,77300,68800,49600,867700,100,100
113,0,1122100,56600,84500,77700,69700,47100,865000,100,200
114,0,1089500,71900,109500,80400,71100,53900,796300,200,0
115,0,1184700,70500,89100,75700,67500,47900,918600,200,100
116,0,1073000,64800,96100,78300,70400,45700,804400,100,200
117,0,1246900,201500,96300,78500,69400,50900,838400,100,0
118,0,1167900,62200,101900,80300,71700,49700,867500,200,100
119,0,1166300,63100,77700,78500,69300,47800,887900,200,100
120,0,1056700,54500,101300,76700,68500,45100,768200,100,200
121,0,1137000,65600,84300,77300,69200,50100,886200,100,100
122,0,1126100,62900,87900,78600,69800,53300,871300,200,100
123,0,1147700,60100,79700,77900,69400,51500,907400,100,100
124,0,1028400,64500,78600,77700,69300,48900,781900,100,100
125,0,1137500,61000,91900,80500,70300,47700,874300,100,200
126,0,1123700,59400,93500,79400,71200,51900,834800,200,100
127,0,1178100,74300,86600,83500,72900,58300,896200,100,200
128,0,1319400,66300,92500,78900,70700,47700,1046700,100,200
129,0,1381800,93400,89700,79600,70800,52000,1085800,200,300
130,0,1718100,68500,104800,78700,70900,52500,1398700,100,200
131,0,1357300,54500,86700,81200,70500,52000,1096200,100,100
132,0,1181000,58000,97500,83000,74400,52600,905800,0,0
133,0,1317800,67000,90500,76100,67800,47300,1040200,200,100
134,0,1210800,59600,86100,76100,67900,46200,961700,0,100
135,0,1113800,58400,92000,76000,68300,46600,853600,0,0
136,0,1108600,62000,84800,77000,68100,45900,776600,100,100
137,0,1171900,59700,91400,77200,68600,53000,903300,100,200
138,0,1157600,66000,82500,80300,70400,50500,884600,100,200
139,0,1300500,75900,95500,80700,70400,47800,968100,100,100
140,0,1161200,81900,101100,81200,72300,46900,847300,200,100
141,0,1288700,64600,95500,81100,72200,55500,980000,200,200
142,0,1154100,77700,84500,79000,70200,55100,806400,200,200
143,0,1218800,55400,96600,79300,71500,50300,934600,200,200
144,0,1220400,62400,92100,80800,71700,51200,954500,200,100
145,0,1307900,118500,102700,83100,71700,54400,919300,0,200
146,0,1106000,68100,113200,80100,70700,48300,760300,200,200
147,0,1140800,59800,96200,114300,105400,47800,855200,0,100
148,0,1003300,57000,105900,82100,72700,53100,737800,200,100
149,0,1133700,66500,85400,76400,68400,44900,877300,200,100
150,0,2725300,60500,91700,102700,92400,64800,2433200,200,0
151,0,1186000,62000,90400,82000,70900,52000,916400,100,100
152,0,1290100,80500,101500,80100,70700,47600,983200,200,200
153,0,1304700,65300,81500,82000,72600,53100,1039500,100,200
154,0,1143100,62800,105900,78200,69900,46300,833000,200,100
155,0,1231500,68200,70400,79100,70800,47400,987300,200,100
156,0,1262100,82500,93300,78500,69500,44700,951000,200,200
157,0,1586100,169100,87400,103000,89400,68700,1196200,100,100
158,0,1214300,111400,126200,81400,72700,51900,867200,200,300
159,0,1579300,61500,99700,79600,70500,50100,1278500,200,100
160,0,1538500,66000,115700,79100,71000,48200,1225600,200,100
161,0,1309300,66800,89000,77400,69100,46400,1041400,200,100
162,0,1302800,81500,101000,83100,73400,52800,1006400,100,100
163,0,1284500,68800,92600,247700,237400,45400,843600,200,100
164,0,1080100,61800,109500,82400,71600,45900,782700,200,200
165,0,1245200,69600,97900,83700,74500,57900,965700,200,100
166,0,1343400,58400,94200,76400,68200,46600,1056900,200,300
167,0,1493100,66500,116600,81200,71900,53900,1199000,100,200
168,0,1005100,65700,80400,79300,70800,48000,756200,100,200
169,0,1191800,58300,94700,79300,71100,53600,932400,100,100
170,0,1232100,79600,92400,78800,69700,45800,951100,200,100
171,0,1238700,72400,103800,79600,70200,46200,916600,100,100
172,0,1158800,67600,102000,79400,71400,55800,867100,200,100
173,0,1416200,56400,99200,80100,71100,46700,1104600,200,100
174,0,1153400,54200,99600,76400,68500,43500,871100,100,100
175,0,1298200,76500,103300,78800,70300,47300,1016900,200,100
176,0,1156700,57500,105000,79300,70200,53700,892700,100,100
177,0,1275400,63900,108900,82800,72900,52800,995400,200,100
