tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,2990800,697700,174900,295300,173800,222800,1630700,27700,1400
1,0,1108900,185400,113300,104300,79600,45000,661500,9400,0
2,0,1704200,165300,80500,91300,80100,45500,1333100,6300,200
3,0,1147100,245600,82600,93900,79100,45200,692100,6100,100
4,0,937600,139700,70400,99500,79600,44900,586500,5800,100
5,0,886300,148900,61500,102000,78000,45900,526900,5800,200
6,0,890200,150800,85000,93200,79600,45900,516900,5700,0
7,0,1117500,182200,71200,85900,77400,45300,678000,6400,100
8,0,1465400,154800,65300,98000,80600,43100,1090300,8700,200
9,0,1376400,153900,80200,101200,79400,42900,986200,6200,100
10,0,935100,181100,80800,95700,79400,42200,509200,6300,200
11,0,1371700,157300,76100,115000,89100,38600,975600,9800,200
12,0,1132300,165200,166000,95900,79100,42300,659400,8800,100
13,0,798100,127100,73100,88800,79600,42000,467300,6300,200
14,0,886600,198700,71800,96600,80300,42500,476500,6000,300
15,0,1062400,132600,83200,90800,80400,42100,711700,6100,200
16,0,1045200,158900,58000,93600,80100,41300,686400,6000,200
17,0,1165400,373400,75900,89500,79200,45700,576300,6100,100
18,0,2608100,169700,56000,113400,79900,43900,2117800,6300,200
19,0,889400,149400,69200,98000,78600,43000,416800,6200,200
20,0,1245300,671500,59000,92600,79400,43600,376900,6100,100
21,0,3240500,214800,67200,109700,97500,54300,2770600,6100,100
22,0,2097300,209000,102500,119200,105800,54300,1575600,5900,100
23,0,1853500,194800,134400,106900,93700,45100,1376700,6700,200
24,0,1693800,158900,75400,98400,79800,45100,1329100,5800,0
25,0,1273400,146800,72200,83300,77900,44300,941500,5900,100
26,0,1771500,131300,113200,88000,79200,44400,1409100,5800,100
27,0,1012100,125400,73500,88300,80100,44600,690200,6300,100
28,0,1207100,137200,97200,98400,79900,39300,836800,9200,200
29,0,1298300,157000,90800,105700,79900,44700,886300,6200,100
30,0,1971900,184800,70600,100900,79500,43900,1564000,6300,200
31,0,1428400,160300,109700,99900,78400,43200,1000200,6100,200
32,0,1207000,197200,67400,99600,79500,43800,801800,6000,100
33,0,933600,130700,88600,91800,79300,42500,574000,6300,100
