tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,4394800,766900,456700,338100,318000,317500,2665200,1400,1500
1,0,2344200,323100,332200,146200,135400,57000,1497500,200,0
2,0,1673500,261400,193200,142000,130600,50500,1036100,100,200
3,0,1551400,182700,154900,141200,130400,52200,1033100,100,200
4,0,1639200,223900,150600,143600,133000,51500,1076400,200,0
5,0,1913800,273600,138300,142100,131100,51200,1309500,100,100
6,0,1640100,228300,157200,142200,132000,52100,1061500,200,200
7,0,1757300,347500,147900,218500,205700,51800,946300,200,100
8,0,1987300,286000,168300,144000,131900,58500,1352900,200,100
9,0,1732200,399900,164900,144400,132800,51900,974400,200,100
10,0,1725600,261900,169000,163700,151200,51400,1044200,200,100
11,0,2009300,259100,205900,145700,134600,50400,1344700,200,100
12,0,1479700,275800,169100,142500,132100,51200,848700,200,0
13,0,1584400,211600,160000,140100,129200,45300,1034600,100,100
14,0,1394200,200300,170700,139700,130200,51300,846200,200,100
15,0,1507600,215600,149800,224900,130900,51600,869300,200,300
16,0,1890900,347300,189800,147900,136600,51900,1134300,300,0
17,0,1556500,195100,162300,143200,132700,51800,993700,100,100
18,0,1702900,205000,159900,143100,132700,50500,1003100,200,200
19,0,1601500,461200,154900,142400,130200,47300,685500,0,0
20,0,1739500,294200,159500,146600,131100,51500,1085800,200,100
21,0,1546700,272700,180800,143300,132400,50200,861000,200,200
22,0,1284400,224200,164900,142000,130900,50000,667700,100,100
23,0,1462600,207300,144900,142100,131900,51500,941500,200,0
24,0,1374100,206700,161700,141200,130300,50200,836000,200,100
25,0,1334000,176000,164100,139900,129300,43800,799800,100,200
26,0,1343200,345000,151700,147700,133100,49800,670100,100,100
27,0,1692000,196600,163300,140900,130200,43800,1160400,100,100
28,0,1405400,198300,162500,148000,134800,47400,849600,100,200
29,0,1316500,226300,159200,163100,151600,50200,708900,200,100
30,0,1610800,230400,152000,142800,132300,51300,1029400,100,200
31,0,1109500,177700,151800,140100,129800,42800,591100,100,100
32,0,1237300,202800,147800,140100,130000,48900,701800,100,200
33,0,1122300,190500,144900,140200,130000,47900,602400,100,100
34,0,1292800,188000,150300,141400,130500,49300,739800,100,100
35,0,1157000,180900,141700,139600,130400,51200,655000,200,200
36,0,1202700,226600,157500,140100,129100,42700,590100,100,200
37,0,1150700,170800,137900,139400,129600,48400,636900,100,200
38,0,1379900,338200,150700,139800,129100,49900,665200,200,100
39,0,1536200,281500,156800,142000,131700,50300,896200,100,100
40,0,1635200,207700,149000,142800,132300,51500,1092500,200,100
41,0,1362000,236900,167800,142600,132400,48600,762700,100,100
42,0,1240100,225800,142100,140500,130100,46200,686300,100,100
43,0,1257900,261000,144700,144500,134100,53000,674100,200,100
44,0,1207400,192900,146900,140900,130500,49700,688000,200,0
45,0,1372400,191600,136700,142700,132100,51600,784300,200,100
46,0,1087200,204300,138600,140500,131000,48800,517700,0,100
47,0,1129700,184300,137100,140000,129900,47300,628200,200,0
48,0,1135400,195700,154100,141600,130900,49900,610200,100,100
49,0,1632900,270700,148300,142700,132200,51200,1026200,100,100
50,0,1496200,193100,137400,140700,130900,49200,965800,100,200
51,0,1602100,387900,138000,144300,133000,50500,821500,100,300
52,0,1990400,223000,155000,147900,137200,50200,1377600,200,200
53,0,1403200,267800,143300,142600,131400,52000,685600,100,300
54,0,1774700,233100,147100,141800,131600,46400,1212800,200,200
55,0,1290300,195600,145700,140900,130800,51200,772500,100,100
56,0,1178100,204900,144500,140600,131100,47300,644200,100,100
57,0,1217500,195600,138100,142900,132400,51700,695700,200,0
58,0,4246800,214700,146800,174900,163300,54200,3591700,200,100
59,0,1413400,221300,184200,142800,132500,50000,741600,200,100
60,0,1627200,353700,154400,148100,136000,50900,772500,100,100
61,0,1713900,324200,159300,143300,132200,50800,964900,200,200
62,0,1563200,203900,155500,141400,131400,50100,1036600,100,100
63,0,1796700,565600,154400,141900,131200,49000,909300,100,100
64,0,2327300,423700,163800,144600,133100,60700,1570800,100,0
65,0,2158000,208800,170300,145100,134200,53900,1594500,100,200
66,0,2033600,588800,164100,144500,132600,49000,1058200,100,100
67,0,2646200,244800,150900,177500,165000,53900,2040600,100,0
68,0,2483400,249700,191400,166700,153200,55400,1844200,200,200
69,0,2300700,262800,194700,152500,142000,52500,1645100,200,100
70,0,2147200,297800,171500,176800,164300,62900,1416900,100,0
71,0,2167400,219200,199000,143700,132900,45600,1548500,200,200
72,0,1883200,210400,160200,145500,134800,53600,1329800,200,200
73,0,1815100,252400,218900,146400,134900,53200,1146600,200,100
74,0,2024900,220800,158100,142700,132000,52200,1459800,200,0
75,0,1799100,224100,167600,177600,164500,63700,1177400,100,100
76,0,2012000,273100,200300,155800,143000,61400,1312800,200,100
77,0,1560500,239800,172000,153800,140100,52200,934400,100,100
78,0,1504000,259500,169200,144800,133400,77100,827800,200,100
79,0,1263800,198500,143300,143800,133100,52500,705500,100,0
80,0,1297200,233700,156800,167700,154200,50700,692200,100,100
81,0,1476600,239500,145900,143500,132500,53400,845200,200,100
82,0,1479200,292100,155800,141500,130200,44800,808700,100,200
83,0,1521200,209200,138400,143700,133400,50200,993000,100,100
84,0,1642100,222900,167600,140700,130700,45200,1076700,200,100
85,0,1504400,213100,152600,145900,135900,50900,964100,100,0
86,0,1485500,253700,151900,144000,133000,52800,871800,200,100
87,0,1779900,183200,159500,141000,130900,49800,1157900,200,100
88,0,1149000,212400,150400,146500,132500,50800,615200,100,200
89,0,1330600,241000,170900,142900,132300,50600,735200,200,100
90,0,1160900,183400,160400,141900,131800,50500,629500,200,0
91,0,1154100,215900,130500,140700,130800,48100,627400,200,100
92,0,1425000,238300,139500,139100,129600,47700,869200,200,200
93,0,1408200,183900,137500,139800,130100,51000,911800,100,100
94,0,1256700,305700,139900,139300,129300,43900,607600,100,0
95,0,1927100,198100,137900,140900,130700,50000,1414900,100,200
96,0,1412800,255500,148400,142400,131700,52400,780000,100,100
97,0,1549700,222800,131300,138800,129000,43700,1012900,200,100
98,0,1478400,188300,155600,139000,129800,49900,924000,200,200
99,0,1254600,260100,135000,140800,130300,47800,663800,100,100
100,0,1203700,233500,144300,140700,131000,51300,649100,100,200
101,0,1215300,224800,136100,141700,130800,52900,678600,200,100
102,0,1178500,209300,159300,140400,130100,49100,642000,100,200
103,0,1433800,364700,136100,142700,131200,49300,769000,100,0
104,0,1625200,272200,151400,140800,130300,44500,1015800,100,100
105,0,1642000,180500,139800,141100,131400,51300,1118200,100,100
106,0,2082300,764200,154500,144200,133000,52300,934600,100,100
107,0,2606300,209700,133800,148100,137400,53300,2064400,100,100
108,0,2363000,326900,157000,180100,167700,53000,1646700,200,100
109,0,1945400,270700,165800,144100,132900,52200,1240500,100,100
110,0,2277600,270200,154600,145600,134300,51600,1645800,100,200
111,0,2007600,188800,148000,142400,132300,51300,1434800,100,200
112,0,1864100,211500,156900,142600,132300,52400,1300600,200,100
113,0,1719700,214100,143700,142300,132100,53200,1165000,100,100
114,0,1916800,270800,158100,144600,132900,53700,1298200,100,0
115,0,2033300,222900,266800,148400,136200,52500,1345100,100,100
116,0,1796800,491300,164900,145300,133700,53700,939500,200,200
117,0,2688900,341500,142700,179700,166000,63000,1963300,100,200
118,0,2334700,335600,172500,179600,166000,53300,1500900,200,100
119,0,2120900,318400,171100,175900,163000,63700,1378100,100,0
120,0,2203400,270700,215500,174500,163200,65700,1457800,100,200
121,0,2352300,233600,184300,149200,136700,52500,1614800,100,200
122,0,1693000,205400,187300,146000,135600,54000,1113500,200,100
123,0,1608600,259400,160700,140100,129500,49100,1015500,200,200
124,0,1753200,202800,164300,144400,134400,51300,1200500,100,200
125,0,1904800,252600,150600,143400,132900,52200,1310000,200,100
126,0,1722800,356900,187100,144000,132700,51300,950200,100,100
127,0,1904400,212300,146800,141300,131500,51300,1364500,200,200
128,0,1635600,222300,188300,143600,133200,52600,1047900,200,300
129,0,1793200,258300,156600,142400,131400,51800,1193100,200,100
130,0,2110500,291600,160200,160800,147100,47700,1416700,200,100
131,0,1609300,241100,174100,151900,141000,44300,982600,200,100
132,0,1600500,219200,169400,143300,133000,45500,1037000,100,100
133,0,1332200,222500,157100,141600,131200,44800,772700,200,0
134,0,1331900,220600,165800,144300,133300,48500,764600,100,200
135,0,1535300,198700,157300,138500,128900,47200,995800,100,100
136,0,1825400,254500,158900,148500,133400,51500,1205400,200,100
137,0,1692800,201400,161500,162900,152300,50700,1098300,100,100
138,0,1622500,305300,191100,142200,131700,51700,854700,100,100
139,0,2244700,254200,153600,156000,141600,61600,1592300,100,100
140,0,1477900,280800,172800,147900,135600,51500,815900,100,100
141,0,1834300,261400,151200,163400,151000,53300,1149600,100,100
142,0,1566200,221300,207500,143900,132700,74300,898100,100,100
143,0,1482400,240500,171200,144500,131600,49400,878500,200,0
144,0,1668200,213900,173400,145100,134500,51200,1085800,200,100
145,0,1510600,182900,153400,142600,132200,53100,900900,200,100
146,0,1656700,239900,181500,144600,132900,52600,939600,100,100
147,0,1548500,347200,171500,145300,133700,52300,852700,200,200
148,0,1544500,197100,170400,142400,131800,49200,1002000,200,100
149,0,1716800,216200,164400,146000,135500,51400,1138900,100,200
150,0,1690600,435300,173100,144100,132000,47900,882900,100,200
151,0,1764500,214500,150000,145600,133000,51800,1202400,100,100
152,0,1412800,211500,186600,143300,133000,52400,819100,100,100
153,0,1525300,255100,146100,141900,130500,47300,927700,100,300
154,0,1362500,182800,187800,140400,131300,44200,742200,100,300
155,0,1669300,190000,150200,140800,131100,48900,1030200,100,200
156,0,1365400,205500,177500,140800,130500,44800,757000,200,0
157,0,1331900,202500,140800,144800,134900,52400,799400,200,0
158,0,1876400,260200,166400,150000,136100,63200,1223800,200,100
159,0,1628100,230800,151300,142900,132800,48300,1052800,100,100
160,0,1250300,178400,181100,140600,130500,50700,727100,200,100
161,0,1922900,200500,156400,141800,130800,48300,1393900,100,0
162,0,1206200,200600,182300,141700,130800,44800,654500,100,0
163,0,1397100,200600,149600,140800,130100,48400,884800,100,200
164,0,1343100,211900,167100,140900,129800,49000,794000,200,100
165,0,1262400,198100,152500,140900,129900,48800,733800,200,300
166,0,1317600,178300,158900,142200,131900,51300,774100,100,200
167,0,1186000,207800,160100,137900,128300,43500,656300,200,0
168,0,1121300,212900,160100,142300,132600,49800,585200,0,0
169,0,1677000,264900,163600,141300,131300,50900,1076800,100,200
170,0,1521600,293200,183500,145900,134900,50700,860000,200,200
171,0,1641100,207200,151900,143200,132700,47700,1063300,200,100
172,0,1335500,196700,157700,141400,131000,50800,796000,200,300
173,0,1371200,214300,144600,140400,129900,43600,752800,200,0
174,0,1247800,252800,155600,141400,131900,51700,657000,200,100
175,0,1359400,201400,156100,142400,131400,44500,808400,200,100
176,0,1298500,207600,159200,141000,130400,45800,740200,0,100
177,0,1531700,293500,157100,141400,130100,51000,890700,100,100
178,0,4630500,218900,158300,180000,167700,61100,3955800,100,100
179,0,1829200,217500,202000,171700,160600,45900,1174300,100,0
180,0,1941100,262800,191000,143500,131900,52900,1306600,200,100
181,0,1574100,205100,154200,141800,131400,52800,1033000,100,100
182,0,1430300,315600,147500,141900,130000,44100,790600,100,200
183,0,2012800,212900,156700,167200,155900,52000,1438500,100,100
184,0,1348100,276800,167400,143100,131900,50700,723700,100,200
185,0,1379100,203100,135700,141600,131600,47600,848000,200,200
186,0,1217800,211000,157500,143300,133000,51000,618200,100,100
187,0,1403400,327100,147800,143700,131800,45900,735600,100,200
188,0,1548400,186500,138700,141200,131200,49600,1012900,100,100
189,0,1808400,215900,169700,146800,136100,52700,1120100,100,100
190,0,1505600,319300,166900,143700,132000,44500,785700,200,200
191,0,2003300,222300,146500,174800,163700,65000,1415700,100,200
192,0,1638300,229500,177700,143000,132400,52400,1047700,100,100
193,0,1869800,395900,141500,142800,130500,47100,1146500,200,100
194,0,1468700,210700,164800,143300,132800,49800,911200,200,100
195,0,1610000,214600,154000,140600,130500,50900,1059800,100,0
196,0,1244900,228000,159200,142100,131200,50100,665900,200,300
197,0,1295100,212100,143300,140100,129800,42900,745300,100,100
198,0,1376100,172400,150700,138100,128700,47600,825200,200,100
199,0,1654600,277700,144700,172600,155900,51700,992800,200,200
200,0,1327600,187500,179600,145700,135100,51200,769400,200,200
201,0,1649700,222800,150900,143600,132300,50300,1049900,100,100
202,0,1510800,200000,158200,142700,132900,47700,932200,200,100
203,0,1626400,203000,139300,140100,130500,50500,1117100,200,200
204,0,1697600,189400,145800,141700,130900,47100,1191000,200,200
205,0,1344800,204200,206200,142400,131700,50100,764500,100,100
206,0,1662300,212200,151100,152100,140700,51600,1109400,100,100
207,0,1187400,188400,141300,139200,129500,44400,672200,200,200
208,0,1147200,189000,134600,142000,132300,48800,643700,100,0
209,0,1321900,204800,123100,143600,132500,49000,792600,200,100
210,0,1140900,200400,153100,140200,130300,52000,578900,100,100
211,0,1567400,269900,139600,152000,137300,52200,946000,200,0
212,0,1700400,282200,203800,144600,133200,50800,1009400,100,200
213,0,1653800,309400,150300,148200,136600,53900,991200,200,100
214,0,1698900,208300,148100,142100,131900,51400,1121500,100,100
215,0,1262300,239000,140000,142600,132200,50700,683200,200,100
216,0,1519300,339900,144200,158000,142300,51300,785900,100,200
217,0,1440200,260700,180400,147300,135900,50300,788000,200,0
