tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,2387900,417600,333700,270300,184400,255800,1133300,1300,1600
1,0,1467400,205400,133500,103200,92400,52100,984400,100,200
2,0,1134200,143900,105100,99700,88700,51800,755200,200,100
3,0,808700,113400,107700,96700,87300,51400,464600,100,0
4,0,1089800,221200,99500,103100,91500,50600,632100,100,0
5,0,1631200,132900,91700,102600,90400,52300,1259500,200,100
6,0,1271200,129700,129700,99500,88700,50600,872700,200,200
7,0,1499200,115300,103400,99300,88800,51700,1105100,200,100
8,0,775200,132400,85000,98200,88000,51500,415500,100,0
9,0,916400,95400,95600,98300,89100,50300,591700,100,100
10,0,726100,112900,90400,96700,87200,51000,374500,200,100
11,0,883700,118100,93900,97900,88400,50900,541600,200,200
12,0,848300,113700,73400,98800,88600,52300,526300,100,100
13,0,755700,111000,94100,97400,87100,49900,421600,100,100
14,0,728000,119000,99600,99500,88800,50800,379100,200,100
15,0,2547500,129900,98100,129000,114600,63600,2151200,100,200
16,0,758900,119000,117000,98600,88400,51200,379000,200,0
17,0,779700,150500,104900,100200,90100,51200,381000,200,100
18,0,1043000,104200,92700,98300,88000,52700,638200,100,100
19,0,1049100,118400,106900,98900,88400,52600,667300,100,100
20,0,1107200,111200,97100,99600,88200,50600,712200,200,0
21,0,914800,127500,91400,97300,87400,51700,516500,100,200
22,0,1087500,138200,97000,97000,87300,52900,690600,300,200
23,0,1072200,111500,87700,97600,87900,49700,752500,200,200
24,0,1286300,123000,73700,95900,86500,52300,903100,100,0
25,0,952500,114400,89100,96900,86800,52500,629800,200,100
26,0,907700,133900,78600,97200,87000,49900,577500,0,200
27,0,950400,125000,99300,98500,88700,51200,604000,100,100
28,0,979000,117800,101700,98800,88700,50400,634600,100,100
29,0,701300,122300,93100,97600,87700,50000,357500,100,100
30,0,921000,115900,81400,110100,99100,60300,574000,100,300
31,0,761900,117000,91500,94700,85000,49300,418900,200,200
32,0,692900,119500,87000,100900,90200,50500,344500,200,200
33,0,934100,169500,138400,97200,85900,50600,492800,100,200
34,0,1278400,111200,99400,102200,92200,53700,904600,100,100
