tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,2624300,427600,252100,411300,209500,392700,1347800,21100,1300
1,0,1317100,134700,167400,93500,83800,81400,882500,7300,100
2,0,1040200,113100,109900,95400,85900,85200,670100,6000,100
3,0,1055900,117300,112300,97900,88800,87600,695000,5600,100
4,0,1018000,115100,110800,106200,85100,95900,643900,5900,200
5,0,1174600,120700,126500,103200,91000,95000,774900,5600,200
6,0,1286900,114900,98200,97800,88000,87300,928100,5800,100
7,0,1359900,119400,107100,97800,87800,88600,956900,5500,100
8,0,1327500,114200,100700,97700,87900,88300,976100,5500,200
9,0,1279700,120500,101700,88400,83000,75500,934800,5800,0
10,0,1083200,128700,86400,93200,84900,84300,710700,6000,0
11,0,1074400,117800,99200,97200,87300,89400,725900,5700,100
12,0,963100,121200,92300,98100,88700,89900,623500,5800,100
13,0,2602500,141800,111900,119100,107800,80600,2193700,6100,0
14,0,1071200,119700,106200,98500,88800,87100,695100,5800,200
15,0,978100,114700,96800,92100,82900,82800,635500,5900,300
16,0,999300,126800,98200,107000,89700,95400,621500,5800,100
17,0,1035000,120100,109100,109000,90200,98000,650200,5500,200
18,0,1158600,172300,97000,102300,91800,94800,593800,6000,300
19,0,1117800,185800,107600,96600,87800,84400,637200,5800,100
20,0,914900,122600,99400,92800,86200,82200,554600,5800,0
21,0,980000,123200,89200,97300,88000,90100,602800,5600,0
22,0,990900,131000,99200,102700,85800,90500,583800,5900,100
23,0,1102900,252900,82600,99600,89100,89200,640700,5600,100
24,0,1235200,127600,104300,97200,87000,88100,879600,5800,200
25,0,1100000,273700,82700,92100,84300,80400,623800,6100,0
26,0,1385200,135300,97000,108000,89500,96300,1016200,6100,200
27,0,1008700,190100,84700,88900,82900,76000,611000,5700,100
28,0,1103100,135100,104200,102400,87800,92800,731700,5600,0
29,0,1028100,114200,114100,126100,96400,115700,629100,6100,200
30,0,976100,121900,92700,97400,87500,85900,617200,5600,200
31,0,984200,111700,92500,90300,83600,78800,647600,5800,100
32,0,1027600,116200,99600,106300,89600,94000,667700,5700,100
33,0,1307300,112800,101500,108800,88300,97800,942200,6100,200
34,0,1259700,119700,89000,88900,83400,73900,893900,5700,100
35,0,1301900,137800,90000,91500,84600,80200,945100,6000,200
36,0,1226300,104300,89700,94800,85400,84500,865100,5500,200
37,0,1111800,111000,106500,93500,83200,72700,745700,5900,0
38,0,1038000,112500,86300,92900,83600,84100,674800,5600,100
39,0,976600,122400,98700,107500,87400,96800,599900,5400,0
40,0,923100,123800,73100,120400,92100,108600,569400,5900,100
41,0,1255500,131400,125200,102700,93200,92300,832200,6400,100
