tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,3227400,469900,313800,320100,175100,307100,1860900,1800,1600
1,0,1546700,199600,184900,92300,82800,54400,1039900,200,300
2,0,1427400,234600,130800,97300,85800,58500,931400,200,200
3,0,1383100,159000,151000,99800,90300,51400,941500,100,300
4,0,1206200,151200,120500,91800,81600,51500,799400,200,500
5,0,1326100,140300,129700,92800,83500,62100,905600,200,200
6,0,1521700,149200,129300,91500,83500,54800,1109100,100,200
7,0,1235500,154400,107100,88300,79400,53400,807000,200,300
8,0,1178100,167000,105500,93200,83700,56900,766300,100,100
9,0,1152800,161500,118300,93200,83800,57800,742500,200,200
10,0,1145400,140300,139400,90900,82200,56000,703400,100,200
11,0,1215500,143400,107500,89500,80300,51500,843900,200,100
12,0,1112400,128300,109700,88800,80900,55600,751500,200,100
13,0,1008100,132200,107500,88700,81500,54400,645000,100,200
14,0,1018800,142700,105700,88200,79800,55300,648800,200,200
15,0,1129100,143100,106600,86600,78300,54600,756100,100,100
16,0,1235500,135100,103800,93200,82700,60800,856100,200,100
17,0,1085100,154000,121400,89200,80500,49800,674400,100,300
18,0,1222000,131800,120200,91400,82500,56700,748700,0,100
19,0,1260100,157200,114300,87700,79700,50100,806700,200,200
20,0,1175300,158700,104100,87600,79500,49700,786800,100,200
21,0,1200400,144000,105500,93300,83800,58700,792800,100,300
22,0,1329200,151600,104300,90300,81000,56400,915400,200,100
23,0,1297400,167400,114500,91100,81300,51300,904600,100,200
24,0,1124700,151100,109000,92100,83200,56700,735600,100,100
25,0,1275200,140800,97900,91000,82300,54600,920700,200,100
26,0,1256700,149500,107000,88600,80200,55700,889700,200,300
27,0,1288000,124200,103200,88700,80300,51400,946200,200,200
28,0,1359500,142700,107300,87600,79800,50900,998500,100,100
29,0,1109800,131100,100400,88100,80300,50200,757600,100,0
30,0,1073600,143100,95100,89900,80500,50500,709300,0,100
31,0,1111500,133900,109100,89700,80500,49800,733400,200,200
32,0,1081600,128500,116300,87700,79100,49200,707800,200,300
33,0,984700,138500,103400,87600,79100,50500,618000,200,100
34,0,1126000,174400,91600,89400,81100,51700,710100,200,100
35,0,1084400,129700,106800,90000,80700,51400,717000,100,200
36,0,1069000,142200,111200,87600,79200,51000,657500,200,200
37,0,1112200,118800,98400,129000,78600,69100,721700,100,200
38,0,1072300,132400,108100,88900,80600,52300,675900,200,100
39,0,1041000,147400,101200,86000,78500,53200,661800,100,200
40,0,1089400,140300,99400,88100,79200,50600,728100,200,300
41,0,1045800,128800,92600,88300,79400,53100,697400,200,300
42,0,996800,145500,90500,88300,79900,51200,643000,0,100
43,0,1046600,137500,92200,86500,78200,50500,699800,200,200
44,0,2799300,155100,89600,92400,83600,56200,2426700,200,100
45,0,1203800,128600,105700,88300,79400,50800,837000,200,200
46,0,983500,114000,94600,88900,80200,49500,614800,100,200
47,0,1046700,123600,88800,94700,82300,58800,710100,0,200
48,0,1055600,136700,102400,88700,79300,51400,688200,200,100
49,0,1000500,129100,105700,87100,78500,49800,632700,200,100
50,0,1020600,128100,92700,85800,77500,50100,628400,100,200
51,0,1185200,143100,100700,94700,86700,49300,741400,200,200
52,0,1301500,176000,105500,90900,82000,51000,882000,200,100
53,0,1095000,138000,94800,90400,81800,54300,732200,100,200
54,0,1105500,147100,90900,89300,80300,51200,743000,200,200
55,0,1114600,133100,82100,88700,80100,52900,779900,100,100
56,0,1061100,135300,85700,86700,78400,51800,722900,100,100
57,0,1212900,138100,94300,86000,77400,51300,865000,200,200
58,0,1254900,127400,90100,87900,78800,52700,865100,200,300
59,0,1151200,132700,93500,89700,80300,55800,760100,100,200
60,0,1190000,139800,88400,88800,80600,51000,739100,100,300
61,0,1048600,156900,77800,92900,82800,57400,624500,100,100
62,0,1053900,127500,90000,89900,81400,50800,724000,200,300
63,0,985900,126200,91100,89400,80200,50600,655700,200,300
64,0,1008100,119600,85800,89000,80000,50400,626600,100,100
65,0,932600,115000,92100,86500,78400,48500,611800,200,300
66,0,1061600,114300,94000,87800,79400,53900,715000,200,100
67,0,971400,124600,136200,90500,81400,53200,585900,200,200
68,0,800000,124300,86100,88900,80200,51300,464300,200,100
69,0,875600,125000,96200,86800,78500,50000,531700,100,100
70,0,972000,135200,78600,87400,79100,48800,612100,200,200
71,0,1065500,171600,91000,86500,78800,48600,683400,200,200
72,0,1091300,130900,88300,87800,78900,50600,753500,100,0
73,0,1120700,142500,67000,86500,78000,51000,794900,100,200
74,0,1066400,153600,91200,88800,79900,50800,707100,100,100
75,0,1086200,128800,79400,90600,80400,49700,752800,200,100
76,0,1188200,147400,81400,92300,81600,51300,827800,200,100
77,0,1161800,142500,95700,137500,126600,52600,752000,100,100
78,0,1245600,147400,110700,89000,80000,53400,824600,200,300
79,0,1218000,140100,96800,88100,79700,50500,845900,200,300
80,0,976600,135700,84800,90500,80700,52300,628700,200,100
81,0,1037400,163500,90300,89200,80300,53500,625600,200,200
82,0,1260800,137000,80800,104200,93700,52100,824600,100,100
83,0,1326000,158200,104500,135200,126000,53800,879500,100,200
84,0,1024600,147800,112700,89200,80200,49500,656100,100,200
85,0,997200,144200,79100,88300,79800,52000,665900,200,200
86,0,903700,155500,85200,87900,79700,48500,557800,200,100
87,0,1015200,132600,72800,86700,77900,51600,707700,100,100
88,0,1010700,130700,67900,87600,79000,54600,701600,200,200
89,0,1061400,131200,75700,86000,78000,49000,736800,200,200
90,0,1118300,166500,82800,104500,96200,91700,728400,100,200
91,0,1197500,162200,109700,95700,86300,58500,785300,200,200
92,0,1259800,138400,92300,89600,80800,53500,894600,200,100
93,0,1012800,152100,114300,87300,78900,53100,622500,100,0
94,0,971900,130800,89200,88900,79900,55000,607100,100,300
95,0,1099800,142900,87200,87100,78100,49500,752000,200,200
96,0,1192700,151800,94500,89900,80400,49500,796900,200,0
97,0,1049700,163500,108300,91700,81800,49900,651900,200,200
98,0,1187000,144600,94200,136900,126900,49700,747800,100,100
99,0,1197500,160100,102700,87100,80100,76400,800500,200,200
100,0,1093400,183100,105700,87400,78200,53100,680100,100,100
101,0,1233900,135700,92400,86800,78000,54800,881600,200,300
102,0,1266800,171900,74400,86400,77400,49400,900500,200,300
103,0,1336900,207900,85200,86300,78100,48800,927100,0,200
104,0,1562800,150200,86600,92300,81900,52600,1187200,100,300
105,0,1408500,163800,91900,91900,81600,50900,1005800,200,300
106,0,1293000,182000,98700,88700,80400,52700,848600,100,200
107,0,1420700,136100,86600,88600,80000,51000,1070200,200,100
108,0,1545500,140700,99300,86400,79000,50500,1180600,200,200
109,0,1244700,139000,106200,86900,78900,48700,873400,0,200
110,0,1185300,196700,98900,93700,82400,53700,746800,200,100
111,0,1166700,144800,119000,89500,81000,51300,733700,200,200
112,0,1125000,136500,108900,87900,79000,49500,732500,200,100
113,0,1141400,142200,101500,87900,79000,49700,753200,100,300
114,0,1128400,135900,98000,89300,80300,51000,715800,200,100
115,0,1119600,129800,96400,87500,79200,49200,736900,100,300
116,0,1011900,155700,95100,90500,79900,54100,636100,100,100
117,0,1101600,151900,125800,90200,81200,50100,698300,200,200
118,0,1169500,137200,97100,90700,80500,50700,748600,100,200
119,0,1032000,165600,105100,89400,80500,52900,626900,200,200
120,0,1178700,173800,95900,86800,78800,50300,793100,100,100
121,0,1283200,142400,83800,87800,78800,51500,932600,200,100
122,0,1317100,176300,91700,90600,81800,55500,934000,100,100
123,0,1297700,157700,94600,88300,79500,49800,933600,200,300
124,0,1396200,172100,87700,139400,98400,53900,967700,100,200
125,0,1401100,192800,97900,90800,81300,57400,983300,200,300
126,0,1600500,146100,93900,89800,80600,56300,1205800,200,300
127,0,1689700,182100,101700,88600,79400,65100,1279500,100,200
128,0,1729200,189900,123300,92900,80700,67900,1230000,100,300
129,0,1706900,150600,119400,90500,80900,50500,1310600,200,200
130,0,1521500,143600,133300,90100,80900,49600,1091500,200,100
131,0,1314400,151200,123400,88900,80600,51300,904000,200,300
132,0,1376200,140600,108700,86900,78900,47900,998400,200,100
133,0,1300300,130200,97500,87000,78100,51100,943400,200,200
134,0,1342500,140900,108200,89000,80500,49600,967200,200,200
135,0,1256700,167100,108700,86200,78700,50900,847400,100,200
