tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,4686600,409400,392500,245200,169900,228000,3465100,1500,1400
1,0,1609200,148300,214000,108200,95400,61700,1100100,100,200
2,0,1773800,166200,300600,91200,80300,43700,1185600,200,100
3,0,1056200,155400,139700,92800,82800,44800,632000,200,200
4,0,1950600,119700,251400,104500,93100,43800,1436500,100,200
5,0,2145000,143000,155900,89300,79100,44800,1705200,100,100
6,0,1562800,252800,125200,88700,76400,40400,1034300,200,100
7,0,1227300,135800,156500,135200,124700,44300,700100,200,100
8,0,1036900,105000,127800,83100,75900,40800,678600,200,100
9,0,800500,105900,132200,86400,79000,41800,430500,100,100
10,0,939800,150600,122700,84900,75000,37100,512400,200,100
11,0,1059200,115000,165700,90700,84100,54100,649800,200,100
12,0,2249100,174800,116200,90200,80200,44800,1831200,200,200
13,0,1004900,126000,138300,90300,80000,44800,618600,200,200
14,0,1077400,147200,158900,91000,77800,39800,636200,100,200
15,0,1568600,106800,147200,90800,83600,44400,1180800,200,100
16,0,999400,121900,139500,90100,79700,42200,575700,200,200
17,0,866700,114900,129900,88500,78400,40000,477800,0,100
18,0,987500,114400,127100,88800,78400,42700,509900,200,200
19,0,971200,120900,142700,91000,80900,40700,512500,200,200
20,0,914200,111900,128300,87200,77000,39700,544000,200,100
21,0,870600,123000,131700,88600,78700,41700,455000,100,200
22,0,1098300,134700,208000,89300,79100,38400,603300,200,200
23,0,818400,111500,120700,91400,81400,44000,468600,100,100
24,0,885600,121100,130000,90600,80900,44700,520000,100,100
25,0,1359100,128300,116300,86800,76700,39200,998400,200,200
26,0,802300,122200,122600,92600,83000,44000,438100,200,100
27,0,785400,128800,121700,87200,77200,43700,423900,100,200
28,0,1032400,159100,134500,87500,76800,37300,625500,200,0
29,0,991100,108500,129200,86600,79300,40800,619200,100,200
