tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,3084400,325000,298000,202000,163100,187900,2093400,1600,1600
1,0,1600400,128200,166300,89500,77900,37500,1186900,100,0
2,0,1330000,107600,113000,88500,78900,39300,993400,100,0
3,0,1569500,127000,129200,149700,77100,138400,1133200,200,100
4,0,1649500,155200,100800,92800,82300,37200,1261300,200,100
5,0,1289100,181100,105100,90300,76700,39700,867400,100,100
6,0,1092100,131900,120100,86000,75800,39300,711900,100,100
7,0,1183200,110100,103600,89300,78400,40800,754400,100,100
8,0,1115200,109000,102200,91200,81900,40800,771900,200,100
9,0,936700,111500,88400,90600,80200,39900,606700,100,100
10,0,1162400,271700,89300,90000,78900,40400,655000,100,100
11,0,1127100,116700,94300,86700,76500,37900,793900,100,100
12,0,1238200,108000,102000,86200,76600,39400,871200,100,200
13,0,1132900,99000,109800,88600,78300,40800,805600,100,100
14,0,2321300,123300,89500,107400,96500,49500,1970000,200,200
15,0,1319900,111000,119900,82900,73700,35900,970500,200,200
16,0,1099700,141500,128400,148900,78100,40400,638800,100,100
17,0,987800,108000,135300,89300,78700,40800,611200,200,100
18,0,985800,105400,103800,88700,78700,37600,556300,200,100
19,0,989900,104100,104900,91700,81100,40000,598300,100,200
20,0,1090200,111200,116000,87400,76800,37100,733400,200,200
21,0,1300700,123800,152800,88300,78700,39700,863400,100,100
22,0,1041100,115900,102000,87700,77600,37100,676100,100,300
23,0,905300,125800,115800,87100,77100,40300,557300,0,0
24,0,1308100,123000,108500,88900,79100,39800,964400,100,0
25,0,1120100,108100,111600,87800,78100,37400,774400,200,100
26,0,1032300,109100,100300,87200,78100,37300,713200,200,200
27,0,1030900,106700,105600,85800,75400,38800,711300,200,0
28,0,896700,99300,109900,83600,77200,39900,580800,200,100
29,0,855900,105400,112300,87800,78900,40000,515800,200,200
30,0,1005200,94800,117500,89700,79700,38600,665600,100,100
31,0,950300,105700,98600,85200,75200,40500,553600,200,100
32,0,890800,121400,86500,90800,79000,38600,553000,100,200
33,0,1008300,100400,111800,86300,75700,35100,672800,200,100
34,0,998300,112300,92800,87700,77800,34500,646700,100,100
35,0,1979200,124600,115000,92500,83200,49000,1610800,100,200
36,0,1149400,134000,129100,85600,76100,38900,733100,100,200
37,0,1080300,115200,168000,88700,78200,40500,665100,100,100
38,0,1101300,248700,84300,90700,79000,39300,614400,100,100
39,0,1633300,103600,116200,85000,74900,36100,1277400,200,200
40,0,995400,104200,99100,88800,78600,39200,670200,200,100
41,0,1050200,152100,98500,87200,77200,39500,666400,100,0
42,0,737300,106600,110600,86500,76300,35700,407400,200,100
43,0,907400,137000,99600,84700,76100,37800,553200,200,100
44,0,884000,109200,98100,88300,78600,40200,549400,100,100
45,0,769500,97700,98600,85200,75700,38300,452700,100,100
46,0,1094400,105100,91100,89500,79700,39100,752300,100,200
47,0,1063800,165500,116900,100400,88100,49200,647300,100,200
48,0,1061700,128800,130100,102700,89300,39900,664600,200,200
49,0,1119000,134600,156700,86600,75700,40300,691400,100,100
50,0,1375500,103100,136100,89200,78800,39800,949300,200,100
51,0,1152400,105800,99600,87100,77500,35900,748000,200,100
52,0,1053300,109000,89700,88500,78300,40100,718500,200,300
53,0,1091400,105300,110200,89100,78800,40400,739900,100,200
54,0,1211500,112300,114800,88500,78600,39400,866000,100,0
55,0,854700,100100,101600,91400,80000,46000,524700,100,200
56,0,1078100,115000,123100,86700,76000,35800,713400,100,200
57,0,2010500,114100,117100,86600,76100,39400,1657100,100,100
58,0,1011900,108500,87000,88700,78800,38800,637300,100,0
59,0,1210800,128200,97900,88900,78800,40400,785500,100,100
60,0,1575600,140800,93400,93200,82600,40800,1104900,200,0
61,0,1076900,99500,198200,89500,79400,40700,627800,200,100
62,0,1256200,174600,88800,91400,79400,39400,875300,200,100
63,0,1051500,117700,104400,89000,78300,39900,716100,200,100
64,0,1159700,126600,86700,87500,77300,40900,830400,200,200
65,0,1146400,122100,124000,87500,78100,36600,781800,200,300
66,0,1438800,117900,89500,89400,78800,40600,1081000,300,300
67,0,1115700,105100,101200,89500,78900,39900,783300,200,300
68,0,1035900,99500,96500,87500,77500,40200,715300,200,200
69,0,1215000,133500,127800,89000,79000,40400,826700,200,100
70,0,1100700,109100,90600,86100,75900,38600,755800,200,100
71,0,895000,99500,93700,86000,75900,37800,572500,100,200
72,0,939900,103300,83900,87700,77900,42200,629700,200,200
73,0,1071700,117200,104500,90300,79500,47500,719900,100,200
74,0,826200,108000,106700,85000,75400,36500,496900,100,0
75,0,899300,121400,120100,89600,79100,39900,529900,200,200
76,0,1062900,106800,99500,84400,74900,36500,727200,200,300
77,0,1272000,113000,147600,86500,76000,37700,890900,200,200
78,0,1017400,108000,85300,88300,78200,37900,658300,100,0
79,0,1930700,129200,87500,106400,94800,48700,1562200,200,100
80,0,1093600,107100,113800,88800,78600,39400,746200,200,300
81,0,886500,129200,94200,85800,75900,37000,511900,200,200
82,0,1267100,261700,137500,86800,74900,40200,680900,200,100
83,0,1576400,100600,97700,146200,79100,39900,1186300,200,300
84,0,1202700,141100,132300,89100,78100,40500,820900,100,100
85,0,871900,133300,102100,89200,79200,39100,528500,200,100
86,0,909900,112600,81100,87300,77800,38900,611500,100,0
87,0,1552500,111500,91400,88000,77600,38800,1242700,100,100
88,0,1088000,103400,111800,87000,76200,36800,763600,200,300
89,0,1186200,138000,121600,88700,78200,39400,805500,100,200
90,0,1003900,103300,102100,83600,74300,34400,682100,100,200
91,0,1131600,112200,92700,89800,79000,39900,799000,200,100
92,0,1032000,101400,112900,88600,78500,38400,691700,100,200
93,0,973400,105700,92500,87200,76300,39500,654800,200,100
94,0,932200,95600,110800,84900,74900,33900,592300,100,200
95,0,923000,95900,107300,84100,73900,38200,550400,200,100
96,0,892500,102200,105400,90900,80600,39000,539400,200,200
97,0,712000,97500,91900,83000,72800,37000,410000,200,100
