tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,9057100,629300,893400,513200,218600,490800,6837000,1400,1500
1,0,2810900,460100,122500,127700,114100,91900,2057200,200,200
2,0,3787800,233800,375100,152100,138800,100100,2994100,100,100
3,0,2629400,181700,71000,154800,141200,108400,2182800,100,100
4,0,1817600,171900,98100,140800,137100,129500,1358400,200,100
5,0,1562900,164900,75000,146800,141000,134700,1119800,100,100
6,0,3648800,187100,68400,152600,140200,105600,3161500,200,200
7,0,6152200,201900,84400,154200,142200,85900,5599100,100,200
8,0,3600600,193200,86600,163400,147100,87400,3112600,200,200
9,0,2080100,200000,108100,144100,116800,130600,1560900,200,200
10,0,2676600,189600,73500,152900,144200,96500,2179200,200,200
11,0,2318000,163900,92700,148400,140500,71300,1865200,200,200
12,0,1732400,165700,62900,170200,162700,159400,1292100,200,100
13,0,2013100,163500,81100,151800,139500,83500,1569700,200,100
14,0,3005000,190800,77500,154100,142100,109800,2539300,100,300
15,0,5048200,178900,95200,127300,116000,87600,4604000,200,200
16,0,3155700,192800,77300,157700,146000,94000,2679600,200,100
17,0,1535300,137400,71900,126600,118000,82500,1137100,200,100
18,0,4388900,177600,118100,147800,139500,87000,3756000,100,200
19,0,1875600,158600,86500,147500,139500,80300,1340300,200,200
20,0,1568800,167800,76700,138700,133600,127700,1139500,200,100
21,0,1668100,228200,71900,125400,113400,90100,1157200,100,200
22,0,2838200,162700,60300,145300,137200,75900,2393600,200,100
23,0,3807300,172200,64400,145900,137100,91700,3395300,200,200
24,0,2169000,311000,86300,150200,137400,84700,1593100,0,100
25,0,3727200,181000,83000,151000,139000,99400,3282600,200,300
26,0,2306800,227700,76700,137200,124600,82700,1834700,100,200
27,0,1892300,188200,81700,123200,113500,86600,1461300,200,200
28,0,1885900,178600,71900,157600,147700,82700,1446700,100,300
29,0,2180900,185300,101600,156400,143800,109800,1681400,200,100
30,0,3193800,175400,82600,120000,112800,79200,2752800,200,100
31,0,2680200,233400,56700,161800,143300,92000,2173600,200,300
32,0,1617400,159800,66400,121400,114700,73300,1209300,100,100
33,0,1707700,170400,75000,137300,125900,90000,1275600,200,200
34,0,974200,152600,86100,135900,133500,127300,516900,200,100
35,0,935100,149800,78700,116000,108800,78900,546100,100,100
36,0,785100,150100,76700,124200,113700,82500,338800,200,100
37,0,777000,160300,46200,124800,114300,86200,393300,200,100
38,0,1862900,166300,103100,143800,134600,128700,1356400,200,300
39,0,925500,183200,112000,132000,121300,97900,419800,200,100
40,0,907500,150700,138500,120300,113300,69300,436700,200,100
41,0,1725500,148800,73300,117000,109700,71300,1346200,200,0
42,0,728200,140600,94600,126300,115600,84700,328700,100,100
43,0,1364100,139700,52100,134100,131000,126800,999100,200,200
44,0,709900,153500,63700,123600,113400,87600,323700,100,100
45,0,802500,149400,91000,123800,114400,85500,307300,200,0
46,0,962800,160100,75600,120300,111800,81000,534000,200,0
47,0,1564700,163700,70000,127200,116400,85500,1167000,100,100
48,0,1340300,158400,81900,137900,130800,127500,924700,200,100
49,0,723400,156800,49900,119200,111500,81000,279700,200,100
50,0,3262900,161000,54700,120100,114100,70700,2838400,200,200
51,0,673500,156600,51200,118900,112100,79900,259700,100,0
52,0,1635800,173400,89000,143300,135200,75800,1177600,100,200
53,0,1394100,152200,75300,124200,113600,81600,984900,200,100
54,0,742000,156600,90500,118800,109800,71400,327500,200,200
55,0,644700,154600,60500,124700,113700,85300,271200,100,0
56,0,927600,152000,64100,123400,113700,84800,539400,200,100
57,0,696100,159100,55500,126100,116000,92200,320500,100,200
58,0,1547200,156700,89900,135800,133800,125200,1068400,100,100
59,0,734400,141500,68700,127500,116600,92000,270100,100,0
60,0,1548500,159400,90700,136600,133300,125000,992400,200,100
61,0,914500,168400,94700,118300,111000,75400,463500,200,100
62,0,754600,154800,77400,123500,113600,71700,372700,100,300
63,0,2150400,166500,70300,153200,141000,105600,1735900,200,200
64,0,821800,166300,88800,121800,110800,78600,405400,200,100
65,0,656800,151900,84800,122600,111900,80600,265500,100,0
66,0,744600,147000,65300,123000,112900,82300,338400,100,200
67,0,791700,142900,48700,116500,109700,75100,447200,0,100
68,0,1420600,145500,70500,121000,113900,71300,1051000,100,0
69,0,636300,152300,60200,118200,110900,74100,266600,200,200
70,0,915700,141200,58800,135900,130200,125500,511600,200,100
71,0,634200,155900,51800,125000,114900,92900,260500,100,100
