tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,4221100,943600,461300,441500,228400,427400,2195900,1600,1400
1,0,2748300,314800,245700,120100,110400,92200,2023800,200,200
2,0,1884100,410100,184900,119300,109800,81100,1129800,200,100
3,0,1932500,288200,169700,121500,110600,86100,1292900,200,100
4,0,1825600,250800,177600,118300,109200,82000,1231300,200,300
5,0,1855900,327600,177400,115500,105900,81800,1185600,200,100
6,0,2025300,311900,140900,126300,112100,80200,1400700,200,300
7,0,1901900,291000,167400,126000,114700,84800,1201100,200,300
8,0,1939800,247700,163100,114000,105200,77100,1373500,100,0
9,0,1807700,282600,139800,137900,128800,95900,1210400,100,200
10,0,1708000,243500,156600,113800,104200,74000,1110800,100,300
11,0,1781700,281300,151900,124800,114800,86400,1181300,100,100
12,0,1659200,310900,185500,116500,106700,76100,1002200,100,100
13,0,1907000,274700,145200,144000,133100,91400,1295700,200,100
14,0,1966000,304300,176300,119900,109300,84100,1316300,200,300
15,0,2733800,776800,163600,131900,120200,95700,1601400,200,100
16,0,2908100,345200,156100,132800,117300,98400,2219000,100,100
17,0,2583900,295800,161200,142500,130600,85200,1927600,200,100
18,0,2365200,272600,239700,123500,112200,82300,1527300,200,300
19,0,2578000,292200,232300,143700,133100,94100,1741900,200,0
20,0,2377400,259100,230500,116100,107700,80700,1719400,100,200
21,0,1991000,239700,172500,115000,106100,85100,1369400,200,100
22,0,2123100,249500,242800,120500,111000,78100,1400200,200,200
23,0,1864800,221500,171800,117900,108300,82200,1322200,100,100
24,0,2069300,241400,218600,118300,109700,91600,1466000,100,200
25,0,2073900,276100,165700,114800,105500,78800,1490700,200,200
26,0,4363100,320900,179200,126900,116400,104900,3701100,200,200
27,0,1937500,324700,211000,120300,110300,81700,1243700,100,200
28,0,2803600,264200,202300,140500,130500,100100,2169100,100,200
29,0,2268200,294300,176900,144600,134200,97200,1600300,200,300
30,0,2450100,288800,218100,144400,132900,97600,1653400,100,0
31,0,1976800,233100,182900,114900,106000,80800,1379400,100,100
32,0,1717800,249500,190800,116200,107100,78900,1105700,100,100
33,0,2117000,244700,222900,118200,108100,80400,1479400,200,200
34,0,1781100,255000,193400,117700,108100,81500,1125600,200,200
