tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,5833500,2009400,787700,1132800,124700,190100,1692600,39200,1300
1,0,2128300,781100,439300,192700,80600,51500,668900,10600,100
2,0,3434800,1018800,340100,351300,93700,41900,1679400,9500,100
3,0,1754900,532800,314600,168400,81400,50300,699700,6200,100
4,0,1650100,477500,361100,173300,79700,50500,596000,6000,0
5,0,1561000,473300,261900,174400,81600,51200,597600,6100,100
6,0,1631500,554900,327600,185500,87900,51500,521300,6000,200
7,0,1812300,559100,287700,172000,81500,50300,677500,6100,100
8,0,1957600,478400,266100,175400,80000,50100,988600,5700,100
9,0,1797700,467500,276400,183500,79500,48200,825300,6000,100
10,0,1479300,492300,255100,169500,79200,47100,500500,5700,0
11,0,1891900,458900,266400,169900,81600,47200,956900,6100,100
12,0,1575400,476100,267900,155900,79800,47900,628800,5800,100
13,0,1390900,443400,283400,171400,79600,46800,453900,5900,0
14,0,1413300,522200,260900,153200,80000,47100,439100,5800,300
15,0,1616500,441400,267200,159200,79500,47000,714400,6000,100
16,0,1592000,466600,235400,159400,79800,46600,681400,5700,200
17,0,1697900,678700,249700,179200,82700,52800,550300,5900,100
18,0,2944200,474500,238200,169000,79500,49100,1923800,5900,0
19,0,1420300,483900,252700,190000,79200,49000,408700,5800,0
20,0,1934500,1067000,284900,180200,90400,49600,365700,5700,100
21,0,3684900,521200,257000,182100,81000,49000,2649500,6100,300
22,0,2597800,525100,400000,183400,79900,50300,1417000,5900,200
23,0,2285400,542500,324000,187900,94100,62200,1205300,5800,200
24,0,2188100,472300,345200,177000,79600,50600,1168100,5800,100
25,0,1865300,462700,292200,181100,82800,52400,904000,5600,0
26,0,2548800,461000,481800,158900,79800,50200,1415800,5800,100
27,0,1598400,448800,296400,164100,79100,50700,667500,5500,0
28,0,1791500,462500,338300,173600,81400,50600,786100,6400,200
29,0,1923400,469000,349800,185700,79300,50400,871300,5800,100
30,0,2445300,495300,269900,183900,79500,49400,1446800,5900,300
31,0,2038200,517400,310700,187500,81600,51200,973100,5700,200
32,0,1787600,512600,285400,161800,79200,49000,785300,5700,200
33,0,1592000,444200,399800,154400,79900,46500,549700,5700,100
34,0,1428600,442000,307600,165200,79400,46700,449900,5700,300
35,0,1314300,472800,308000,154700,78900,46600,336800,5700,0
36,0,1738400,441300,350500,162000,79300,47700,711000,5800,100
37,0,1759200,460900,303600,173800,81600,48100,771200,6300,200
38,0,1566600,462700,343600,176100,80500,47300,502200,5800,0
39,0,1411600,465000,279900,154700,78900,47700,454000,5600,100
40,0,1907200,430100,354700,163800,79500,46800,911000,6000,0
41,0,2679900,476200,282200,157700,79500,46700,1730100,5900,200
42,0,1588000,438500,329400,157500,79800,47600,564600,6100,0
43,0,1557200,447100,282600,158700,79600,47100,632000,5700,0
44,0,1642100,438900,309800,165300,78600,47500,687900,5700,100
45,0,1493400,440200,270700,165400,79300,46300,571800,5900,200
46,0,1583800,487100,346500,167500,81600,46500,511200,8400,100
47,0,1433500,471900,281400,157900,82000,46800,480200,6400,100
48,0,1393200,442000,351000,162100,80000,47000,397800,6000,100
49,0,1800800,490900,262200,174000,82400,46200,777900,6000,200
50,0,1803600,490700,345300,168800,82100,47700,709800,6100,200
51,0,1601200,442200,313300,165000,81100,47500,575400,6100,100
52,0,1522900,462500,342600,166900,79300,46900,498200,5800,0
53,0,1552100,453500,300600,162400,81100,46700,583900,6200,100
54,0,1736700,483800,326200,154800,79800,47000,731100,5900,100
55,0,1615100,436000,293100,157300,79400,47200,691700,5600,0
56,0,1445900,424900,322800,151000,79600,46600,511900,5700,200
57,0,1794400,476600,304300,165400,82300,46900,803400,9200,100
58,0,1707900,473200,339600,166400,79800,47100,616400,6400,0
59,0,1803100,452200,299500,166600,79000,46000,763300,6000,100
60,0,2987800,489500,323100,165200,82000,46000,1850700,6400,0
61,0,1384200,454400,298400,164300,81800,47000,377200,6100,100
62,0,1362700,439000,327800,164300,80100,47000,389900,6100,200
63,0,2644300,487400,272800,172100,79000,46800,1683500,5800,100
64,0,1942700,480200,296600,208700,79400,48000,931400,5800,200
65,0,2037500,941900,274100,189800,91300,54600,594200,5700,200
66,0,3371600,502600,311700,198400,81800,48000,2256700,6500,100
67,0,1976400,681500,262500,170800,80200,48600,812000,6100,200
68,0,2286300,494300,297100,164000,79400,48500,1293800,5800,200
69,0,2355400,494400,281900,175300,82200,47800,1357700,6600,0
70,0,2655200,775600,313600,167600,80200,47600,1316600,6200,200
71,0,2641600,935700,323400,195900,79300,57400,1136800,5900,100
72,0,2684200,516800,304100,199900,82300,52300,1622100,6100,100
73,0,1994000,543000,296900,175800,79800,51600,936900,6400,100
74,0,2117400,494200,308100,203600,80100,51800,1071300,5900,100
75,0,1875700,543900,295000,171600,81700,55100,815800,5800,100
76,0,2085000,650800,293300,183400,81800,52200,902300,8900,400
77,0,2100400,529200,297000,188300,79900,51700,1037100,6300,300
78,0,1953400,650200,272400,193100,79800,52500,753300,5900,300
79,0,2267500,947500,288300,190000,79800,62700,781600,5900,200
80,0,1958000,515500,257100,198400,82200,56300,881100,6000,0
81,0,1903200,520800,267200,192000,80200,56800,815400,6100,100
82,0,1861100,511700,258100,213500,79600,56400,816500,5800,200
83,0,1950700,550800,367700,180400,79300,54700,831400,6100,100
84,0,1846200,467400,306300,170600,79900,53100,882400,5800,0
85,0,1980800,493800,377400,186800,79800,52100,903200,5800,300
86,0,2769900,600200,293600,181200,80500,51700,1672100,6000,100
87,0,1590400,630300,381000,176900,79900,52900,382800,5800,100
88,0,1535200,471300,334300,183300,81900,54200,525000,5800,100
89,0,1919000,514500,394000,172500,80400,52100,793700,5900,200
90,0,1505000,482700,308300,175300,80000,52200,498800,5700,100
91,0,1618100,512000,316000,185000,79600,48500,559300,5900,0
92,0,1699000,469500,276200,174800,79400,49800,740300,5800,0
93,0,2544600,458600,302700,187400,80000,49500,1555400,5700,200
94,0,1935600,629700,297200,215600,79100,48600,736200,5700,0
95,0,4149200,2996200,341500,185900,79800,106900,593500,5600,200
96,0,2721700,583700,266400,286200,81600,72200,1517800,6300,100
97,0,2277000,704700,284400,260900,80000,71300,980000,5700,100
98,0,2836100,646800,254400,235500,81500,71400,1621300,6100,200
99,0,2636000,640000,305200,213600,80200,70500,1415900,8900,300
100,0,2666200,602800,247300,227300,82300,70300,1551600,6100,100
101,0,2183300,567900,329900,217100,79900,69500,1024100,5800,100
102,0,2116100,577400,280600,213100,79500,68900,1000300,5700,200
103,0,3098700,908900,321000,216100,82200,70200,1616100,8400,200
104,0,2198100,563000,245500,223600,80300,69900,1113100,5900,100
105,0,2263000,734200,296700,215400,81700,69600,956600,6100,100
106,0,2193400,551900,240500,221400,82400,71000,1012300,7400,100
107,0,3334600,510700,320200,206400,80900,48200,2237000,6800,200
108,0,2162100,523200,236300,208000,79100,47700,1146300,6000,100
109,0,3783600,515800,306900,169000,81800,47600,2744400,6500,300
110,0,1706800,480500,232700,170600,80300,47500,769800,5900,100
111,0,1876900,704700,332400,156800,79600,47200,544100,5800,0
112,0,2336800,454200,225500,167500,79300,47400,1396000,5900,200
113,0,1724900,559400,288200,174700,81700,48000,655500,6000,200
114,0,1421100,506200,218000,167200,80000,47400,487500,6000,100
115,0,1476500,481700,274200,166300,79300,46800,515400,6000,100
116,0,1745300,460500,223100,195400,78800,46600,828200,6000,100
117,0,1799800,470000,292700,165200,79200,46400,835700,5800,200
118,0,1589300,487700,215700,162900,81500,46700,626500,6600,300
119,0,1367800,496100,307500,156800,79500,46800,354800,5700,100
120,0,1709700,449900,205000,171400,79400,48100,849300,5800,0
121,0,1735900,536600,250400,160100,78900,48000,754200,6000,100
122,0,1442700,453400,193800,158100,79300,47200,604800,5900,100
123,0,1372800,438200,233200,161700,82800,46600,509000,5800,100
124,0,1642800,440200,225500,182800,80800,47400,763400,6000,200
125,0,1868500,505700,235700,157000,79800,46700,930700,5800,100
126,0,1208100,423300,190600,164200,79200,46400,367400,5700,0
127,0,1533000,436300,266300,153300,79200,46200,637400,5800,100
128,0,1257900,434900,185900,153500,78900,46500,446500,5600,0
129,0,1272700,435100,240400,158700,79000,46000,395100,5800,0
130,0,1346800,520800,189200,160400,78900,46000,406100,5900,0
131,0,1327700,461700,220800,149400,79200,46200,451300,5700,200
132,0,2663100,421000,238900,166100,79200,46100,1796000,5800,100
133,0,1385900,490900,220500,193200,78500,45800,431200,5600,0
134,0,1778900,799100,186100,185000,81500,47500,576800,5600,0
135,0,2608500,496600,224100,167200,80400,47400,1670300,6100,200
136,0,2989200,456200,572700,164100,79000,46600,1737900,5900,0
137,0,2004800,460800,378300,157100,81400,48800,948700,5900,100
138,0,2267100,432800,445700,155000,80100,48700,1148400,6000,100
139,0,1758900,440000,352600,150300,79300,46800,753000,5900,200
140,0,2351500,428900,553000,162000,79500,52100,1169400,6000,200
141,0,1723800,473300,376200,155500,80000,46400,638600,5800,500
142,0,2183400,433700,330900,153300,79600,46100,1143000,5800,0
143,0,1407200,426600,313600,153600,79100,46000,446700,5600,100
144,0,1707900,429100,270400,165400,79200,46100,811100,5800,0
145,0,1755800,456300,281700,170200,79000,45900,757500,5700,0
146,0,1969800,518600,265900,163700,79200,46800,911400,5800,100
147,0,1346000,486600,282100,155800,79200,46500,401600,5800,100
148,0,1698100,436700,261900,171000,78800,47600,808000,5800,200
149,0,1611400,440300,282900,166100,78300,47100,688500,5700,0
150,0,1886600,484300,325400,162300,79400,47200,873100,5900,100
151,0,2521900,479700,281500,163800,83700,47100,1546500,9800,100
152,0,1676100,464900,336000,160800,79300,47600,669000,6100,200
153,0,1317300,457700,274800,157800,79500,47000,385500,6000,100
154,0,1515800,452600,317700,156700,79200,47400,530100,5700,300
155,0,2944500,453400,274700,165700,79100,46900,2019100,5900,0
156,0,1596300,468800,337500,171400,79800,47600,561800,5900,100
157,0,1494900,636700,268200,167500,79300,46800,391900,5800,200
158,0,1959900,459000,303300,164700,79200,47000,970700,5900,0
159,0,1483800,448900,276400,169700,79100,47400,539500,6100,100
160,0,1765700,518600,297000,175200,82000,47500,737800,6100,100
161,0,1451600,509000,268800,164300,81800,46900,456700,6000,0
162,0,2115300,458900,306700,175700,81100,48200,1130000,6100,200
163,0,1902100,461000,300800,170100,79700,48700,930700,5900,100
164,0,1967400,459800,324900,166100,79800,47000,970500,5800,0
165,0,2067600,445400,279000,165200,82000,47200,1141900,6200,100
166,0,1876100,454600,321000,176300,79100,47500,854600,5800,100
167,0,1667500,566400,290100,156000,79600,46500,622400,5900,0
168,0,1798200,433400,320200,165300,79600,46800,832000,11900,0
169,0,1631300,497200,264400,166900,89800,55900,665500,5800,300
170,0,1877900,660500,334400,159300,83400,50400,601300,6100,100
171,0,1455000,443700,268800,173500,79600,47900,491000,6000,100
172,0,1548500,492000,310400,178200,79100,47700,521400,5600,0
173,0,1524200,446700,262300,157800,79300,47600,560600,5900,200
174,0,1759500,437700,292300,167400,79700,47600,794700,5700,100
175,0,1495000,506900,368700,170700,78800,47500,416100,5800,200
176,0,1833800,515300,320500,172100,79300,48700,797700,5900,100
177,0,1658700,481400,386700,174900,78900,48800,587600,5800,200
178,0,2988900,714700,282600,171000,79400,53100,1729200,7700,200
179,0,1598000,462200,334700,164400,79700,50900,592200,5900,100
180,0,2992500,470500,281900,166900,79800,50600,2045800,5600,0
181,0,1714100,452800,396200,160400,79600,50600,676800,5700,100
182,0,1593000,445200,336100,162500,79800,49100,623700,5800,100
183,0,1645200,482100,329400,161900,79900,49200,643400,6200,100
184,0,2060200,462600,296900,177200,79600,49300,1098400,6000,100
185,0,1772400,475700,413500,163000,79600,48500,689800,5600,100
186,0,1546800,459600,310200,158800,79300,48400,559100,5700,200
187,0,1395900,446600,354400,161800,79300,49000,403100,5800,300
188,0,1397500,486500,288500,176600,90600,53500,420200,5800,100
189,0,1467400,491600,305700,167500,79200,48300,461700,5800,0
190,0,1958100,456100,275500,170900,80000,48500,976800,5900,100
191,0,1670800,471900,289800,181600,79500,48000,671300,5800,100
192,0,1534500,495700,272300,160900,79400,46900,554400,5800,100
193,0,2048100,464500,287400,165600,81800,47100,1078000,6400,200
194,0,1616600,456300,279200,158300,79900,47300,669400,6000,0
195,0,1400500,431500,295100,159600,79800,46600,455100,6100,200
196,0,1350500,453700,267700,157000,79100,46500,432500,5800,100
197,0,1476500,445800,270100,155900,81600,46300,556800,5700,100
198,0,1591300,431500,286600,165900,79600,45900,626100,5900,100
199,0,2123100,512200,279600,164100,82000,46700,1100900,6200,100
200,0,1506100,448300,284800,167400,80200,46900,557700,5800,100
201,0,2579600,464200,262400,156500,79800,46700,1629200,5800,100
202,0,1332400,443800,299000,168600,79500,46700,353400,5400,0
203,0,1935500,681900,279700,170400,81500,46400,772600,6100,100
204,0,2185700,501600,268600,171600,81500,47900,1160300,6100,300
205,0,1596700,467900,254100,174300,80000,47900,637200,6000,100
206,0,1549400,499200,252500,164000,79700,47800,605700,5900,100
207,0,1422800,445500,246700,160800,79600,47400,544200,5900,200
208,0,1526700,453400,239400,155600,81800,47200,650400,5700,0
209,0,1398100,437400,261200,164000,80000,47100,491500,5900,200
210,0,1467400,456000,252100,153800,79800,46600,560200,5500,0
211,0,1524400,433100,267300,153700,79400,46700,627900,5700,200
212,0,1924800,455000,259100,156700,79100,47100,1013000,5600,300
213,0,1515600,458100,233800,157600,79200,46000,625100,5900,0
214,0,1434600,494200,235800,166100,79600,45600,475600,5800,200
215,0,1527500,463400,274900,165500,82200,46000,580000,8800,100
216,0,1351000,475700,235300,158700,79900,45600,410400,6200,200
217,0,1371000,476100,222000,161500,79200,45400,477400,5800,100
218,0,2244300,475700,214300,165300,81700,47300,1320600,6000,100
219,0,1756400,461300,282900,176100,81700,47200,781300,6200,0
220,0,1574900,527000,217400,161800,79800,47800,633100,6100,300
221,0,1508300,437000,236100,161100,80500,46700,623100,5900,100
