tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,4673000,1339400,962900,672300,161400,648400,1458400,45200,1500
1,0,1991500,564400,461600,218100,105400,175500,704700,14400,200
2,0,2131500,369000,392300,203500,105300,176700,1133400,11600,200
3,0,1720700,355000,304700,203000,104000,174000,817600,11300,0
4,0,1774100,355600,568800,203800,106100,175200,596600,11400,100
5,0,1804400,349600,333900,200000,108700,177000,858700,16700,100
6,0,1814300,343100,377200,209100,106000,174300,825800,11600,300
7,0,1745500,393800,349200,209200,105200,172900,699100,11300,0
8,0,1801400,580700,394200,202100,104900,175900,517400,11100,0
9,0,1753400,340700,303500,195700,104900,173400,865000,11500,200
10,0,3915400,348100,445000,208800,105900,171900,2838100,11600,100
11,0,2263700,390400,450200,226500,105000,172500,1153300,11500,0
12,0,3074300,1054300,406000,222700,109100,175500,1342100,11800,200
13,0,7251000,451800,432900,207100,110600,186800,6109200,15500,0
14,0,4656700,394800,467000,210100,107100,187000,3529700,13900,100
15,0,4154000,396700,450200,208000,106400,184700,3044200,13000,200
16,0,4640000,370400,469900,204500,107300,185000,3526500,13000,200
17,0,3562100,371400,436700,220700,105600,179800,2470100,12600,100
18,0,3809500,403400,424900,246300,106900,178600,2537200,14900,100
19,0,2286500,554400,370300,207200,105400,178300,1013700,11800,200
20,0,2905500,388700,442500,202500,108300,180700,1812600,12000,100
21,0,1857900,349000,338300,205500,107000,181700,870900,11700,300
22,0,2339200,335800,455400,206700,105900,181600,1241800,11500,100
23,0,2506100,341600,346100,205100,105300,178900,1583000,11400,300
24,0,3587300,363900,405000,206700,106800,180700,2577000,11100,0
25,0,1407900,343000,352500,198700,104700,177700,459100,11400,100
26,0,1525200,337900,471300,204600,104400,177900,477200,11300,200
27,0,1376000,346000,363500,204600,104700,177300,421700,11100,200
28,0,1406200,359500,394900,203200,104500,177900,411500,11200,100
29,0,1968100,365600,419400,197000,104000,178500,937400,11600,0
30,0,1716300,329200,422200,205700,104300,179100,703000,11100,0
31,0,1395100,334000,332800,201500,104700,178600,475500,11300,200
32,0,2040900,334600,419400,211900,105000,180300,1022300,11200,100
33,0,1480500,341200,324000,201200,104300,178600,568900,11100,100
34,0,1350500,335000,398000,216500,110500,188500,326800,10900,0
35,0,1285500,347900,330200,199100,104900,177000,359900,11000,200
36,0,1442400,321500,387200,197500,104000,174100,446000,11300,100
37,0,2374200,330900,312900,196300,104600,173700,1473500,11400,200
38,0,1416700,334100,381600,196900,104400,174400,418300,11300,200
39,0,1319200,342200,326000,201100,103800,174600,393300,11100,100
40,0,1447000,366000,434200,198900,104900,174700,392100,11200,300
41,0,1460600,349100,304400,200300,104200,174500,564200,11100,100
42,0,2626000,342900,345400,200100,104200,173200,1691500,11400,100
43,0,1496800,348400,331500,195800,103900,173100,576200,11000,0
44,0,1346100,385800,355600,193700,106100,174200,349800,20000,300
45,0,1887000,339300,332200,196900,105200,175200,967000,11300,100
46,0,1322500,336500,330700,200800,104700,174300,381800,11400,0
47,0,1402200,341900,369900,196900,104000,174400,450700,11000,100
48,0,1797400,333700,329900,198900,104200,176100,895900,11100,200
49,0,1524300,335700,341600,198600,104300,174800,557600,10800,0
50,0,2483400,349700,333400,211200,111100,180200,1509900,12300,100
51,0,1490500,350900,354100,192700,105000,174000,504100,11300,0
52,0,1220300,337800,312000,197800,104700,175000,318600,11100,0
53,0,1257900,343800,335000,194100,104300,174000,339100,11400,200
54,0,1365600,360600,310400,198600,104700,174200,449600,11000,100
55,0,1395900,347900,338200,209500,108200,175700,460400,11300,0
56,0,1401200,379500,302000,200400,104300,175600,473500,11200,100
57,0,1860900,351700,333400,206900,104600,175500,919400,11100,100
58,0,1579300,345700,340900,204400,104500,176800,587300,11400,200
59,0,1363600,364200,304600,201700,104400,174800,426400,11200,300
60,0,1572000,340900,292700,196800,104700,173600,600200,11100,0
61,0,1546200,334100,315100,200000,104500,173700,551500,11200,0
62,0,1336100,338600,294300,196200,104200,173200,476200,11300,200
63,0,3749200,378300,298700,213200,118900,185000,2828800,11500,0
64,0,1577200,361500,294200,204600,113500,177200,675000,14300,200
65,0,1671100,356500,328500,204600,107200,176200,721700,16800,200
66,0,1482300,353600,306600,204400,105400,174200,536700,12100,100
67,0,1420300,359400,307500,198500,104800,174300,508200,11300,0
68,0,1759900,340500,662100,198000,105200,173800,519600,11200,0
69,0,1382000,338700,291600,197300,105000,174500,509700,11100,0
70,0,1873200,359000,554700,196500,108900,175400,679300,14500,100
71,0,1610900,333100,327000,208700,107400,176200,677800,11800,200
72,0,1928900,368900,618600,213600,105000,175000,631600,11500,200
73,0,1704600,614900,293400,204000,104800,175900,553100,11200,100
74,0,2174500,341900,526700,206400,104100,175900,1051900,11100,0
75,0,1701700,371600,298700,216900,108600,175900,762100,17200,100
76,0,1621700,416500,257900,200600,105800,175800,684600,11300,100
77,0,2606400,339900,251500,203400,104700,175500,1759900,11300,100
78,0,2167300,342100,275500,204900,105500,174200,1259700,11300,100
79,0,2066200,350000,368600,211900,106500,176700,1077600,11500,100
80,0,1899200,369300,340900,198600,105100,176800,892300,11600,100
81,0,1726700,330400,352900,199900,105100,174700,745700,11100,200
82,0,1807200,339100,353300,209900,105000,172300,818300,11300,0
83,0,1590800,413900,350500,225100,114600,188200,573700,11400,100
84,0,1887200,333200,360500,206300,104900,175400,956000,11700,100
85,0,3106900,339300,406000,205700,104900,176800,2124100,11200,0
86,0,1803100,338100,308500,204500,104500,178100,926000,11100,200
87,0,1581400,339500,256900,202200,104800,175200,758300,11000,100
88,0,1579000,348100,314300,208000,106700,174600,676600,11400,0
89,0,1381400,333200,263600,199500,105300,172900,533500,11200,100
90,0,2448900,340200,302200,197700,104100,175200,1562400,11200,0
91,0,1298100,331800,251600,197700,104300,174900,474100,11100,100
92,0,1281100,327000,336500,203200,104500,176200,370200,11100,0
93,0,1312300,332300,241700,207100,104000,174400,482400,11100,100
94,0,1343700,352000,283500,192800,104600,173200,451900,11300,0
95,0,1341900,324400,216200,196600,104700,173800,571600,11100,0
96,0,1327100,325100,330100,192100,104200,173300,409500,11100,300
97,0,1295400,322800,217700,197000,104400,173900,510100,11300,100
98,0,1502900,331500,300700,196700,104300,175600,603700,11100,0
99,0,1346100,358300,222600,213100,107300,174400,488800,17000,100
100,0,1340400,388600,319700,203200,107600,173800,381800,11500,0
101,0,1275300,345800,227200,199700,105000,174900,452500,11800,200
102,0,1474800,351500,323600,204600,104400,173300,547400,11100,100
103,0,2353200,349300,227300,199000,104700,174100,1548300,11000,100
104,0,1487900,342500,314100,202600,109400,176300,578200,11500,100
105,0,1505200,342500,238700,199300,104700,176400,659300,11400,300
106,0,1425700,339800,317300,196600,104500,175600,500400,11000,0
107,0,2617100,339400,249100,199600,104400,174400,1778700,11100,200
108,0,1312900,347400,300800,197700,103800,174900,425200,11000,0
109,0,1431700,347000,233000,225200,122100,187200,578200,11700,100
110,0,1440600,345800,349400,208300,116700,184000,484100,11200,100
111,0,1411100,360400,235700,201600,105100,175100,487100,11500,200
112,0,1841300,339300,271900,205300,105000,178600,949800,11200,0
113,0,1599000,341200,249900,198500,104500,175800,764500,11200,200
114,0,1260200,332600,273600,203600,104300,174500,409400,11100,200
115,0,1426400,343400,264700,200000,104200,174300,582800,11200,200
116,0,1164400,350600,251400,197000,103900,173800,322400,10900,0
117,0,2237700,335400,261600,212200,104700,172100,1387900,11200,100
118,0,1364500,358100,269300,199100,105300,175700,442000,11400,0
119,0,1344800,373600,268500,207800,109500,177700,448100,10900,100
120,0,1328300,386600,281100,199300,104300,175500,424300,11300,300
121,0,1330300,343900,263300,207500,104700,179300,476900,11100,100
122,0,1318200,351600,249200,201100,103900,173800,479700,11200,200
123,0,1187500,342900,263000,193200,104000,173400,355800,11100,0
124,0,1275900,330600,252600,197300,104200,174300,460300,11200,200
125,0,1250900,325300,253500,194200,103900,174300,436400,11300,100
126,0,1283600,334100,242100,195500,103600,173900,442600,11300,0
127,0,1390200,329300,266500,196700,104700,174100,552200,11200,100
128,0,1342600,325000,279200,198100,105100,175600,500600,10900,200
129,0,2427000,324800,243600,199500,104400,174400,1613100,11200,0
130,0,2324400,349800,242400,202000,107700,174100,1446400,16300,100
131,0,1384400,365000,279300,198400,110800,174900,471200,12200,300
132,0,1323400,341100,259900,203500,106300,176300,460300,11900,100
133,0,1315100,342400,258900,197400,105200,174300,460600,11500,100
134,0,1387800,338800,244400,200300,106400,176200,557600,11600,100
135,0,1289600,331500,262200,196500,104700,174200,448900,11200,100
136,0,1251100,332300,241200,199800,104400,174200,353400,10900,0
137,0,1330400,330400,257700,209100,104400,174300,471000,11300,200
138,0,1381400,401700,260700,203900,106400,175800,411600,11600,200
139,0,1676300,339500,240800,209400,105100,173700,819600,11600,300
140,0,1355800,364900,242900,205100,105400,175000,496000,11000,0
141,0,1380000,353100,231400,201800,104400,174800,517000,11300,0
142,0,1572600,338100,253200,201900,104300,174600,665100,11000,200
143,0,3248800,362300,220900,208200,108700,176000,2390700,12100,0
144,0,3577500,361400,272600,201900,106000,175300,2698700,11300,300
145,0,1455000,346200,241300,195300,104800,174600,557500,11100,0
146,0,1507200,341600,248600,205900,104700,174500,600600,11100,100
