tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,11419800,1862500,713200,2528800,358300,2504200,5329700,742900,1600
1,0,4951600,866700,821300,583300,249500,559700,2129900,503100,200
2,0,5033200,637900,385400,596600,252500,572900,3030000,339100,200
3,0,3441900,767000,697600,561100,245200,536500,1118300,245800,200
4,0,2235800,622200,358600,520300,240800,496100,465600,223400,100
5,0,2203000,454800,501600,516700,241900,493500,478600,199700,200
6,0,7903200,589300,288200,578900,253500,555100,6114800,283800,200
7,0,2156400,478600,395500,517200,240700,494300,401800,182900,100
8,0,1870100,457800,271000,571500,250000,549100,332600,184000,300
9,0,2619300,476900,328500,524100,241400,501000,1056700,183900,100
10,0,2142100,489700,591700,531600,242000,507200,266600,183000,0
11,0,1931300,466200,393400,533500,254300,510200,311100,182700,100
12,0,1916300,471400,365800,517800,241400,494900,330700,183000,200
13,0,2026000,447400,455700,516500,241000,493400,385100,175900,100
14,0,1909500,443600,341700,514200,241000,492000,382700,180100,100
15,0,1914300,431600,398900,517500,242100,494800,339700,179900,100
16,0,1866200,463700,346800,520000,243800,495800,251200,239100,100
17,0,3707400,438400,423500,522400,241000,499400,2071200,186600,200
18,0,1948200,468300,312500,516600,242700,494000,302700,183800,100
19,0,2051200,446400,468200,512600,241400,489800,315600,181200,100
20,0,1867100,446300,313800,519100,240900,496600,362200,184400,0
21,0,1936300,430800,418100,514900,241600,492400,315800,178600,100
22,0,1884400,431500,310700,515300,239900,492800,368700,180700,100
23,0,1856800,456200,394700,533500,243600,510700,265100,179100,0
24,0,1707900,445700,263100,523200,244800,500300,271400,179300,200
25,0,1956300,469500,482700,520400,241300,498100,269300,187000,100
26,0,1742300,463900,252200,515100,238200,492800,301700,182400,100
27,0,1754700,438800,379500,513100,240600,490300,215000,179300,100
28,0,1632000,434100,248900,514300,240100,492100,232500,179700,0
29,0,1788700,442100,360400,511600,239300,488100,255300,180100,100
30,0,1742900,433200,249400,513100,238500,490500,324100,177600,300
31,0,1951600,447900,437000,512300,239700,490100,324300,177200,0
32,0,1726800,515100,229400,517000,243500,494200,237900,179600,300
33,0,1923700,488900,385000,527700,247200,505700,268500,205900,0
34,0,1802500,499300,241500,523500,244600,500700,255600,201400,300
35,0,1794000,470800,347600,515300,242900,492900,216300,195300,0
36,0,1845400,454000,279700,516500,240400,493000,320100,189000,200
37,0,1788200,474000,307000,516800,240600,493900,254500,183500,0
38,0,1774200,499200,252000,522300,252300,498800,240600,184100,0
39,0,1758100,451600,267000,510500,239000,487300,286100,186100,100
40,0,3417700,441500,247400,526600,240600,504200,1979900,184500,100
41,0,1713900,485400,257400,515000,240400,492200,227900,181000,100
42,0,1753000,513100,263500,521400,246800,497900,227300,194200,100
43,0,1880200,455700,271700,522400,247000,500200,367700,204800,200
44,0,1687900,461500,222100,511500,241000,488400,257700,192800,100
45,0,1855400,451800,297200,533100,237800,510300,334200,190200,200
46,0,1739400,459200,219700,513900,238600,490900,287800,186200,300
47,0,1772300,479900,260500,535700,243600,512700,258700,193000,100
