tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,5445600,1658200,1248700,458200,167700,330900,1849000,1400,1700
1,0,2858600,628800,753500,165200,95200,83500,1279200,200,100
2,0,2196400,459700,616400,156800,93100,82700,935500,200,100
3,0,2165400,445200,559800,166600,94400,82400,961200,200,200
4,0,1997300,460800,547900,161400,93400,82200,783800,200,100
5,0,2146900,468400,557800,167800,94800,82800,888400,100,200
6,0,2309700,475400,529600,157200,93000,82400,1107900,100,100
7,0,2014800,466000,496400,167300,92300,83400,798500,100,200
8,0,2247700,493700,491400,175600,107500,90200,1036600,100,200
9,0,1959800,466200,522700,165100,94400,82700,755200,100,0
10,0,1843500,448400,485300,155600,93400,82600,695700,200,300
11,0,2020700,454000,478600,163700,94200,83000,887800,100,100
12,0,1921000,431400,476400,228800,88900,69700,752500,200,0
13,0,1752600,420800,478900,165400,97700,85100,653400,200,100
14,0,1738400,458600,455900,153100,92400,82200,636600,200,100
15,0,1879300,456500,471000,157300,92700,82200,762900,100,100
16,0,1872000,421800,480900,160200,92800,83800,766000,100,300
17,0,1831200,455800,473200,157500,96900,84400,684200,200,200
18,0,2012000,445900,495500,154600,94200,81200,769300,100,200
19,0,2067100,450500,511600,154500,92500,81900,834600,100,100
20,0,1979500,477600,495100,153800,92600,81900,810300,200,0
21,0,1991800,459400,484300,162300,92800,81700,814800,100,100
22,0,2135700,493000,473600,160600,94600,82500,933400,100,0
23,0,2130100,489200,499200,164900,92900,82600,951300,200,0
24,0,1906200,465900,471900,161600,92500,82300,773800,100,100
25,0,2058600,481400,468200,161100,96400,86500,927300,100,200
26,0,2040900,463200,478600,159800,92400,83500,918900,200,100
27,0,2022200,433500,454100,154100,92400,83100,958200,100,0
28,0,2138100,438000,465100,153600,92800,82300,1055200,100,200
29,0,1856600,435200,441300,157300,92100,82600,783600,0,100
30,0,1935900,438700,490500,154600,94600,82900,808500,200,100
31,0,1829000,421300,457600,157400,92500,82900,749600,100,100
32,0,1783000,433100,430000,156600,92500,82400,723500,100,200
33,0,1667600,433700,429300,156900,92300,82400,617800,200,200
34,0,1798800,438000,434900,150400,92300,81900,706100,200,100
35,0,1795900,428200,454000,152600,92300,82500,725000,100,100
36,0,1758400,434800,458100,149000,92500,82900,632900,100,100
37,0,1762400,414400,444000,149600,92600,83000,710600,200,100
38,0,1760400,415300,444200,165700,107000,88400,667500,100,300
39,0,1830300,454000,486800,157700,93000,82600,683900,100,100
40,0,1803300,456700,431000,151900,92700,82500,728800,100,100
41,0,1752600,421400,422600,160500,92400,82900,709500,100,0
42,0,1718200,459800,417100,153300,92400,82500,655300,100,300
43,0,1740000,443300,410200,150300,91900,82700,707100,100,300
44,0,3465200,438700,425300,150500,92700,82200,2412700,200,100
45,0,1907900,447600,429100,149100,92900,81900,835700,200,0
46,0,1660400,414800,424300,150500,92500,84300,608000,200,300
47,0,1793200,429700,463200,148800,92400,81900,710900,100,200
48,0,1688900,410300,413000,149200,92000,83700,686400,100,100
49,0,1629800,411300,407700,148300,92100,81500,620900,0,100
50,0,1693100,429400,396500,148600,92000,81600,626800,100,300
51,0,1865400,439200,406700,156700,92100,85000,748300,100,300
52,0,2054100,481000,400800,158700,93900,82200,965000,100,200
53,0,1758200,429800,391600,152900,92900,81800,745800,100,200
54,0,1751100,435100,382300,154700,92100,81700,739300,100,200
55,0,1828600,453900,383200,182500,121800,103100,772600,100,0
56,0,2401300,727700,412900,164300,96400,83000,1037600,200,200
57,0,2017000,466500,415900,152200,95000,83500,933500,100,100
58,0,1985600,435800,398900,149800,93500,83100,903500,200,200
59,0,1797600,420300,391300,150800,92500,82600,770600,100,100
60,0,1876200,439300,388500,150700,92200,85400,748900,100,100
61,0,1705900,417900,387500,148100,92600,82600,622200,100,100
62,0,1675400,405200,375200,147500,92700,82900,725300,100,200
63,0,1595800,410700,370900,146900,92000,81900,649100,100,100
64,0,1640300,409300,371600,145900,92800,83900,624400,100,100
65,0,1564000,396100,373100,149900,92500,82100,621600,100,200
66,0,2019700,417400,389900,157100,95600,81800,992200,200,200
67,0,1595500,419300,392800,147500,92900,81900,598700,200,100
68,0,1442900,423900,379800,145200,92600,81200,460600,100,100
69,0,1493700,415700,370400,149100,92700,81600,528300,100,100
70,0,1596400,418300,351800,151500,92000,81300,612700,100,200
71,0,1903700,494400,362900,152800,94000,82300,855500,200,100
72,0,1758300,430600,361200,158300,92800,81800,775300,200,100
73,0,1803600,451000,372300,154200,92200,82000,796700,100,100
74,0,1733900,471200,354200,149200,92000,82100,727800,200,0
75,0,1698200,425000,365600,155200,92400,81700,722600,100,100
76,0,1851700,431800,384600,153100,93100,84100,841300,100,200
77,0,1775400,425700,394700,149200,92100,81500,757800,100,100
78,0,1779200,439400,363900,147600,92500,82300,758800,100,0
79,0,1841000,414100,371000,148800,92300,82700,860700,100,0
80,0,1675200,449100,356000,159200,99300,82200,679400,200,100
