tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,10378700,1139700,331100,3105000,314500,3087400,4933900,630600,1600
1,0,5073800,856500,243200,613200,237800,598000,2761100,550200,100
2,0,3704900,621300,254200,612700,241700,606100,1709300,453700,300
3,0,3448700,498900,157800,536000,200500,528700,1805100,394300,200
4,0,3246500,457500,162000,614600,239900,602100,1611800,325200,100
5,0,2732700,498500,124700,561200,211500,545000,1187100,291300,0
6,0,4453200,554100,177500,638300,215500,620900,2653800,363000,500
7,0,2606000,430000,129700,521000,209500,509400,1076700,315400,100
8,0,2371400,420800,139200,510700,236800,496500,986500,273300,200
9,0,2254100,387400,148100,481200,195800,469800,932100,255500,0
10,0,2564700,406100,106800,566600,237500,559700,1127600,255300,100
11,0,2295400,373700,117200,567100,239200,559500,932500,254100,200
12,0,2276600,391800,128100,485900,201100,474800,960000,256100,300
13,0,2027200,372300,96600,481900,193000,475300,793100,248800,100
14,0,2503800,413300,110900,580000,236400,572400,1111300,243400,100
15,0,2090500,399000,100400,491900,202100,480500,804600,235700,0
16,0,3419100,423000,127600,481700,197100,470900,2079600,247800,0
17,0,4506100,436900,97500,592900,201600,579000,3066300,254000,400
18,0,2518700,382600,161900,476100,199600,464600,1017800,260700,200
19,0,2379700,441800,111000,495300,204900,483700,892300,260100,200
20,0,2319700,380900,143100,478900,200700,468200,1004700,251600,100
21,0,2370200,402400,97700,483700,202300,476400,962500,306600,100
22,0,2409700,378500,137800,472900,194900,467300,1053100,249500,200
23,0,2091200,370500,97000,470700,194200,464700,883000,239600,100
24,0,2105100,362500,113500,463900,194300,458500,907100,230800,200
25,0,2067400,374400,153100,476600,197600,464800,806200,232300,200
26,0,3210000,419200,125300,472400,197000,461600,1928900,229400,100
27,0,2059800,366600,94200,468000,191600,461200,871600,226000,0
28,0,2520700,428100,115400,528400,222900,517000,1102100,241500,200
29,0,2059100,382800,112800,491000,204900,480000,766100,249300,200
30,0,2103400,372200,119500,475000,198300,469300,843400,237500,200
31,0,1998600,368600,87400,472000,194500,460800,782000,231600,0
32,0,2101500,366900,125900,478300,196400,470800,841300,235200,300
33,0,1838700,364600,84900,470000,193800,463700,640700,225000,200
34,0,1938500,360800,94300,462000,191200,456100,711800,222300,200
35,0,1864100,368300,80900,498400,193300,488200,657300,215400,200
36,0,2059300,391200,100800,501700,217100,490600,731000,227000,100
37,0,2473400,371000,79400,470200,196000,464400,1260500,230600,0
38,0,1965100,363000,92000,461300,192300,455800,734700,223400,100
39,0,2728300,1104700,76300,477500,199400,466400,783300,214800,200
40,0,4269900,442000,77500,501700,205400,490000,2960200,239300,0
41,0,3659200,1196600,84200,525300,211600,514100,1550900,245200,200
42,0,5442500,586900,92600,575700,224400,562800,3776100,357700,100
43,0,3744100,490300,99300,560800,247700,553400,2195800,340100,100
44,0,3805400,525100,124800,539900,214600,525200,2216300,333000,200
45,0,3021000,449800,97400,568600,244500,558100,1531700,311100,0
46,0,3975200,462400,100400,657300,273300,650300,2254200,370900,100
47,0,2957700,464900,116700,590000,215100,582600,1421500,320400,100
48,0,2943400,440800,105400,581200,243800,569100,1462300,305700,100
49,0,2588300,425700,114400,512700,206400,500700,1166900,305000,200
50,0,2602000,388500,103100,586000,243500,580100,1169700,282400,100
51,0,7572100,5270800,93000,678600,273800,661600,1139500,267000,200
52,0,17517800,847800,118400,752000,246000,736900,15113800,446200,300
53,0,9003000,788300,145200,687700,242800,673800,6801500,427900,100
54,0,6936400,1029200,147700,624700,211400,611100,4673700,397000,300
55,0,5402600,631500,135000,608200,212400,595800,3486700,479500,100
56,0,8477400,527800,163000,575600,253100,564600,6771700,376500,200
57,0,6253000,522600,157700,726900,330900,719500,4422000,366100,300
58,0,5233500,537500,175300,558700,216800,546900,3417400,368900,200
59,0,3895200,488100,159200,541200,243000,533800,2254100,347600,200
60,0,4972300,495300,176800,539100,208800,528000,3208600,335600,100
61,0,4600100,636600,128700,609800,241700,597200,2523700,490400,200
62,0,3227200,469100,195900,547000,215000,538700,1612300,352200,200
63,0,3270000,472100,146800,528800,207800,522700,1751900,331500,300
64,0,3314400,458600,241900,536800,210000,524600,1695700,337000,100
65,0,2515300,468300,126000,511400,198000,500200,1055700,303300,300
66,0,4129500,472000,147700,580400,232400,563600,2504600,329200,200
67,0,2701500,429800,144500,523300,213000,511600,1218200,322900,0
68,0,2844300,444200,159200,689000,299600,682400,1201100,310300,100
69,0,2268700,407000,119900,502200,205800,496000,910200,285700,200
70,0,2555900,408800,128100,501200,251900,490500,1121200,289600,200
71,0,2315200,382000,105100,500600,197900,489600,994300,277200,300
72,0,2432500,389200,113600,572000,240700,565600,1048200,258900,100
73,0,2535200,423300,286200,617300,263600,604900,885500,268100,200
74,0,2516900,394400,124500,584400,201400,571500,1086100,255700,200
75,0,2134200,369800,108200,475500,195500,464900,881100,244100,0
76,0,3406700,394800,117900,491500,201000,478000,2091200,250600,100
77,0,2135200,371000,98900,575000,240100,569300,798000,238700,100
78,0,2545100,417100,143100,565500,239400,554100,1085300,234400,200
79,0,2103100,418200,94800,505300,231800,493200,769600,232000,400
80,0,2280400,392900,142900,480700,203700,474700,956200,247800,300
81,0,2114300,374700,99000,473700,199100,463200,841000,239800,0
82,0,2314500,368400,128100,485600,193400,475100,995200,232900,100
83,0,2072800,380800,87200,478600,194000,468200,862800,228400,200
84,0,2291700,371000,117900,568500,240100,562300,964600,234700,200
85,0,2030300,369500,86200,470300,193100,459400,845000,225600,100
86,0,3217000,408100,108700,473300,197200,466500,1857600,229400,100
87,0,2193500,389600,94600,476300,242000,463400,930200,230400,0
88,0,2286600,367900,118900,466300,196400,454600,1071900,222000,0
89,0,1816100,371000,87000,464500,191100,454800,635100,218800,0
90,0,2185000,359400,113000,608500,191700,600000,834500,215000,100
91,0,2000100,382200,106200,487400,203800,475300,724300,236900,100
92,0,2114300,371500,127900,475700,201500,469700,806700,233200,0
93,0,1911100,363900,92200,468500,194700,457100,701800,226300,100
94,0,1928900,359900,106700,466000,194300,457600,691400,217800,100
95,0,1916700,370400,91100,473100,197000,466500,709400,234400,100
96,0,2017700,363000,96800,465400,196100,459900,793000,217700,300
97,0,2416600,363900,85800,468700,192800,459000,1241100,216400,200
98,0,2006600,378600,87700,487600,204900,482000,772100,207200,100
99,0,2648800,1117800,86200,492300,203500,478000,672900,228100,0
100,0,4190100,432900,84400,573200,241800,567300,2825300,244700,100
101,0,3735200,1197900,80700,527800,210500,515900,1651700,243900,200
102,0,4910200,524600,85500,577800,236600,561800,3418800,275100,100
103,0,4012600,537200,111000,590800,238500,578200,2370700,361800,100
104,0,3869000,532100,111800,542600,214900,529700,2292700,341800,100
105,0,3213400,465900,103700,541300,217700,528700,1702900,323800,100
106,0,3816900,442400,109500,617900,247200,611900,2215100,310700,200
107,0,2809500,401700,104700,525000,211500,515600,1415600,305600,200
108,0,3333400,492300,268300,547900,218000,536400,1591400,362300,100
109,0,2640500,438200,107100,517000,206900,505100,1178000,329500,100
110,0,2726500,436300,107500,558600,244100,545200,1242500,315000,400
111,0,7429200,5022300,105900,680200,284700,665200,1189000,312000,100
112,0,17808000,841500,113600,828400,317400,814300,15472000,437000,700
