tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,5351400,1000600,657900,285800,260600,270000,3220300,1400,1400
1,0,2372100,426400,387400,164600,153400,53600,1353600,200,200
2,0,1894900,368600,329400,150600,138700,63700,1005400,200,0
3,0,1749200,273400,244600,160000,149300,50100,1035700,200,100
4,0,1734200,301300,267400,145200,134400,52100,979100,200,200
5,0,2083900,348400,235100,140200,130100,50900,1309500,200,200
6,0,1793400,292300,246600,142100,130600,52500,1065700,100,0
7,0,1664000,412700,218500,140900,129800,51400,786300,100,100
8,0,2738700,421200,250600,159000,142900,62000,1869400,200,200
9,0,1837500,480400,241100,143000,131200,50300,934400,100,100
10,0,1869600,323700,256400,150600,137300,63600,1047800,100,200
11,0,1826200,317400,258100,142600,131200,51500,1068500,200,100
12,0,1628600,389400,263000,147600,133100,50900,780900,200,100
13,0,1824400,286100,280400,143900,132700,52100,1067600,200,200
14,0,1580500,276400,272300,142000,130400,50000,844500,100,200
15,0,1547500,276000,233800,138800,128600,51800,857000,100,0
16,0,1798300,368200,253200,139600,128800,51800,996000,100,0
17,0,1754400,300000,232800,147100,134800,52100,1020600,300,200
18,0,1837600,290200,267700,148000,137600,51400,960900,100,300
19,0,1850200,556500,246100,146400,134100,47900,724900,100,100
20,0,1815000,255900,253600,141500,131300,52100,1116200,100,100
21,0,1605200,312700,231200,139200,128800,51700,828600,200,200
22,0,1643200,320900,258200,145000,133600,51900,819800,100,0
23,0,1766600,276000,228900,224000,130600,50500,1010100,200,0
24,0,1561700,275100,248200,141400,130700,48800,870300,200,300
25,0,1499700,242600,230300,141200,131100,49600,835100,200,200
26,0,1381200,259800,236200,140900,130700,48100,717600,200,300
27,0,1858500,268100,232200,142000,131700,51100,1190500,100,100
28,0,1570300,265300,255300,141000,131200,51900,866400,100,100
29,0,1352500,282100,221100,139400,129800,49300,663700,200,200
30,0,1720200,292500,229300,141200,129900,48200,1008900,200,400
31,0,1249300,240500,216500,138600,128600,51500,601100,100,100
32,0,1365600,261500,229900,139100,129200,49300,687100,200,0
33,0,1248700,253900,213600,142100,131700,48200,601300,100,200
34,0,1593800,280100,258400,165600,152100,49400,781500,200,100
35,0,1375900,247600,275100,143700,132300,50600,670700,200,200
36,0,1363500,309700,241600,140800,130200,47000,580700,100,300
37,0,1307600,237800,212600,141100,131000,51000,658900,200,200
38,0,1578400,417900,250000,156600,145700,49300,667500,100,0
39,0,1785000,366000,316500,146700,132600,50300,892300,100,100
40,0,1769000,263100,244500,141600,130700,49400,1076600,100,100
41,0,1490500,287600,260400,138900,128700,49300,757000,200,100
42,0,1404800,289800,232600,141000,130800,49700,698800,200,0
43,0,1416700,311100,242700,140800,130800,46300,683200,100,100
44,0,1519200,270300,231200,158600,147200,50200,816100,200,100
45,0,1637500,287700,255800,143200,132400,51400,836400,200,200
46,0,1310000,269700,261600,141900,130700,48500,533300,100,100
47,0,1326500,269700,218400,141100,130600,47100,656500,200,300
48,0,1281100,255700,225200,139300,129800,48100,621200,100,100
49,0,1783100,338200,215900,139800,129400,48300,1042500,100,300
50,0,1737600,274400,256900,144900,132100,50800,1008400,100,0
51,0,1709500,391800,212900,142700,130600,50500,840100,100,100
52,0,2054700,272300,231800,142900,133100,61300,1317900,200,300
53,0,1524800,325300,239500,141400,131000,50400,673800,100,0
54,0,2004300,321000,233200,144300,132700,49500,1263800,200,300
55,0,1442000,255100,222800,139600,129300,49400,791000,100,200
56,0,1486100,269200,230800,141900,131500,48200,802400,200,200
57,0,1321200,253800,217900,141200,129600,47600,673300,100,100
58,0,4383900,283500,233900,173100,161800,52000,3564200,100,100
59,0,1510800,282000,237100,142400,131400,51000,718100,200,100
60,0,1736700,395000,232600,140600,130600,50900,780200,100,300
61,0,1814900,382400,216200,141000,130300,52400,959100,200,200
62,0,1957600,336900,224600,163400,149500,51800,1206600,200,100
63,0,2616900,744700,270200,162100,149700,51700,1397700,300,100
64,0,2761300,515700,279200,152800,139100,51700,1776100,200,100
65,0,2424600,307800,266400,147000,136100,66800,1660500,200,200
66,0,2791100,803700,296500,163600,147200,53500,1436500,200,200
67,0,3077600,326400,271200,147900,137100,51700,2284400,100,100
68,0,2737800,359800,295900,183100,167600,55100,1867300,200,200
69,0,2565700,335300,277400,149400,137400,53800,1758400,200,100
70,0,2388200,341600,288900,142800,132500,52500,1518100,100,100
71,0,2233300,280900,259000,142400,131300,49900,1500200,100,100
72,0,2111000,275900,258400,185800,171700,80100,1343800,100,100
73,0,1987800,316600,291600,174300,162700,50300,1160300,200,100
74,0,2249400,324800,253400,188800,175500,61900,1435800,200,100
75,0,1914500,290200,270400,156300,145200,51200,1146100,100,200
76,0,1833800,314200,243600,141700,131100,49800,1077900,100,100
77,0,1767600,295600,336600,147000,134200,52500,934600,100,100
78,0,1669800,337400,261300,141900,131000,48000,793900,200,100
79,0,1429000,257300,232900,142300,132000,50700,720700,200,100
80,0,1446600,308300,254200,141000,130300,49900,702500,200,100
81,0,1589800,297800,225900,139600,128500,49000,840800,200,200
82,0,1708000,369500,258000,145600,132800,50600,843000,200,200
83,0,1586600,263100,232900,141500,130800,50100,911100,100,200
84,0,1710900,279100,249300,139200,128500,50600,1018000,100,0
85,0,1643500,285700,226200,141800,131400,48800,963600,100,0
86,0,1475400,289500,244100,138200,127700,48300,747200,100,300
87,0,2017800,257200,222800,146200,134300,50300,1267900,200,100
88,0,1750400,311400,263100,144700,134000,51900,1002600,200,100
89,0,1504700,329500,245600,143000,132100,48800,743200,200,300
90,0,1298700,248500,239600,139200,129000,50200,628100,100,100
91,0,1301300,275800,213600,138200,127500,48800,632200,100,100
92,0,1628800,330300,224300,159700,146200,58300,867500,100,100
93,0,1583800,246100,216800,142700,132100,50000,929200,200,100
94,0,1436800,374100,238600,144900,133200,48500,602300,100,300
95,0,1985300,265300,206600,142000,131800,49700,1342400,100,200
96,0,1551500,312900,237700,141700,131000,50000,782300,100,100
97,0,1554700,296300,206200,167800,132300,155600,847700,100,100
98,0,1735900,287800,235800,147600,136200,49700,989900,100,200
99,0,1456800,313200,235500,142100,130500,49800,705500,200,300
100,0,1334800,256200,242100,140600,130400,48900,660400,100,0
101,0,1337600,275100,192200,143000,131400,50100,693000,100,100
102,0,1339000,288400,239600,140800,129800,51700,644300,100,100
103,0,1737800,495900,194800,150600,137800,52200,863600,200,200
104,0,1890300,363200,264900,141900,130500,51100,1069900,100,100
105,0,1802700,238600,214600,144000,133100,52600,1147600,200,0
106,0,2181200,827600,257700,144400,132000,51400,853000,200,100
107,0,2808000,279500,211300,142100,131700,51100,2123800,100,100
108,0,2563400,301600,291400,143100,132300,52500,1774100,200,100
109,0,2084600,342400,239300,141900,130800,52000,1241000,200,0
110,0,2603200,360200,257000,151000,140100,51900,1775100,200,0
111,0,3063200,323300,271700,178300,166000,51700,2154800,200,100
112,0,2199300,289000,299000,140600,130500,52300,1400200,100,0
113,0,2513000,310500,243100,158300,146500,66300,1743000,200,200
114,0,2709000,361000,295300,146600,135200,53200,1837100,200,100
115,0,2568900,328100,268700,149200,137800,62200,1767500,200,200
116,0,2511900,756400,309100,179300,161700,56400,1189600,200,100
117,0,3467200,480700,289200,181900,167900,54700,2449100,200,100
118,0,3068500,489200,398400,153700,141400,55700,1858500,200,200
119,0,2551800,442000,319900,166200,153800,63000,1519500,100,100
120,0,2771300,439700,408800,153700,139900,64700,1682900,200,100
121,0,3675300,402700,344600,182200,169300,82000,2522500,200,100
122,0,2731200,365600,378100,163700,149700,64200,1772800,200,200
123,0,2179200,381700,326900,162100,148800,55300,1268200,200,100
124,0,2209800,308800,375000,166200,153400,52000,1300000,200,200
125,0,2293700,374400,301800,147500,135600,53200,1417400,100,100
126,0,2194800,429700,374000,149200,136000,51300,1107400,100,200
127,0,2224400,307000,249700,144400,132900,51700,1468300,100,100
128,0,1925600,302500,301400,148400,136900,64000,1137300,200,100
129,0,2010900,336500,246100,140300,129200,51700,1251500,200,100
130,0,2419500,371800,283800,171000,156100,51600,1499300,200,100
131,0,1623500,297100,266100,165700,153700,52100,846300,100,0
132,0,2505100,302900,341000,177600,165100,72500,1644500,200,200
133,0,1594400,302600,301400,142000,132300,52600,815800,100,200
134,0,1530600,316600,324800,170500,159100,51700,681800,100,0
135,0,1911500,379800,268000,151900,141200,56500,1070500,200,0
136,0,2123100,348600,339700,143900,133000,52200,1233400,200,300
137,0,1770900,287200,283800,144200,134300,52200,994600,100,300
138,0,1823900,384300,317500,141000,129700,50200,865800,100,200
139,0,2168300,294900,251100,145700,132500,51400,1381800,200,200
140,0,1549700,344200,284000,142000,131200,51600,726000,100,200
141,0,1761700,285100,224600,138800,128600,49100,1016600,200,100
142,0,1653100,281000,261800,141500,130900,51000,864400,200,0
143,0,1528400,278500,228700,140600,130600,49100,842500,100,100
144,0,2217500,296100,277700,172000,161000,50500,1426500,200,200
