tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,6555300,178100,142800,601000,201800,583700,2028100,3405100,1400
1,0,3251800,85800,95100,133300,123800,122100,1460800,1437200,200
2,0,3148900,75500,77900,108200,100200,97700,1659400,1196200,100
3,0,2943200,114600,102100,152600,111400,139400,1337700,1200000,100
4,0,3292900,87700,70400,149400,136600,101400,1785300,1153100,100
5,0,3381000,80400,285900,137600,104000,121100,1519900,1245300,100
6,0,2754400,64700,75200,172000,132300,162700,1237700,1148000,100
7,0,2747600,113300,78800,152400,118300,132500,1086800,1198100,200
8,0,2730500,90800,98100,114000,102500,101100,1167600,1213400,100
9,0,2384700,67400,103500,127600,99700,113600,864600,1178000,100
10,0,3069200,80800,76500,181700,134900,165500,1027000,1618200,200
11,0,2336600,80200,87600,135100,125800,98300,822600,1165400,100
12,0,2750300,70700,74400,188000,147200,179500,917900,1456900,200
13,0,2297300,63400,78300,185700,145600,178500,811700,1116700,100
14,0,2954300,108800,111000,110000,102500,95000,1225200,1360400,100
15,0,2877400,89800,84500,134200,123100,91300,1180700,1347800,100
16,0,2659000,70700,80700,126900,122000,113600,1262000,1077500,0
17,0,2432600,76500,88400,122600,119400,111900,952800,1143500,100
18,0,2618100,69800,85400,121900,99800,114500,1115000,1065100,200
19,0,2699200,70300,95000,129100,121400,114700,1182100,1130700,300
20,0,2634600,70200,86700,108500,103800,96300,1158700,1082200,200
21,0,2667400,73100,85200,111400,101100,95200,1221600,1098500,0
22,0,2323400,66900,81200,138100,120800,125500,838700,1120000,0
23,0,3052900,79500,87200,106100,102700,97600,1170800,1576500,100
24,0,2585800,70000,78800,123900,99800,115600,1172700,1112400,100
25,0,2383400,66400,87800,105700,98500,96200,991300,1102300,100
26,0,2292000,70000,90800,125700,99800,117400,907200,1053400,200
27,0,2711900,89100,85500,135800,101000,121100,1287600,1079800,100
28,0,3327100,72500,83800,130200,122500,93100,1034900,1977100,200
29,0,3328000,71200,84600,154400,121100,147400,1508300,1469600,200
30,0,2468000,74600,82800,132400,123400,94500,1116500,1003300,300
31,0,2195000,73800,92300,128500,120300,95900,881600,969600,0
32,0,2379400,71600,83700,128400,120700,93500,1030000,1017200,200
33,0,2295600,72300,96400,110400,101600,97500,947500,1022000,100
34,0,2375800,72300,97300,128600,98900,114900,974300,1032000,100
35,0,2190300,84200,93100,128900,122400,113700,788100,1048800,100
36,0,2840400,78600,82700,113800,105600,100800,1311400,1156400,200
37,0,2951500,77800,80700,132200,123000,120300,1002600,1596800,100
38,0,2361900,76600,96100,113900,99500,96000,890500,1125400,100
39,0,2298600,73700,81600,132000,124300,91800,718600,1206300,100
40,0,2515000,67500,100500,128900,120200,92600,998100,1144100,200
41,0,4601200,77000,93900,135500,101300,122200,1262600,2964400,100
42,0,3586000,78500,87300,156500,123700,148000,1926200,1286600,200
43,0,2725200,72500,84600,131500,121900,95000,1109100,1279600,200
44,0,3053000,139000,96500,339200,99500,137300,1303100,1122300,0
45,0,3204500,95100,87200,113200,103300,97800,1725300,1119000,200
46,0,2566200,70000,83700,132200,124100,124400,1110300,1089400,100
47,0,2830000,72300,82900,110300,102600,99000,1296500,1216800,100
48,0,2563400,69300,89200,138600,130100,114900,1078600,1142600,100
49,0,2652200,64300,78900,127100,119500,96500,1244900,1097000,0
50,0,2579700,65300,77400,111900,109100,102800,1059800,1134900,100
51,0,2425400,75200,76400,107200,100400,90400,898400,1124700,200
52,0,2422200,71300,81100,129100,121200,99000,972200,1109900,200
53,0,2349400,79200,86100,135900,122600,94000,923600,1072400,100
54,0,3068700,86500,80100,128300,120600,96000,1464900,1253500,100
55,0,3177800,80600,85400,278800,266100,97700,1587400,1106500,100
56,0,3000800,77600,77400,139300,127100,105000,1225000,1427600,200
57,0,2370500,69800,93500,103200,100500,95100,987800,1071700,400
58,0,2458300,103800,80200,125700,99100,111000,969700,1101300,100
59,0,2694700,90800,88600,130100,121900,114200,1163800,1086500,100
60,0,3184100,69500,77600,128200,115100,102900,1233800,1460600,200
61,0,2410400,73500,82700,121900,102600,115200,901400,1117500,100
62,0,3439100,74100,76500,125400,114900,116900,1591500,1534700,200
63,0,3952600,75000,100500,190600,150100,181300,1491700,2064300,200
64,0,3515400,71100,85700,149700,122100,137500,1555600,1619600,100
65,0,2717300,112500,90600,153900,104500,138500,1048800,1273500,100
66,0,2604400,95700,82800,157800,118600,144900,1078000,1111500,200
67,0,3131100,78700,88000,132600,124500,95400,1343600,1437300,0
68,0,4308200,86000,80300,152700,124200,136600,2365000,1572500,200
69,0,3908900,85700,99400,167200,147900,151400,1870200,1547300,200
70,0,3259000,82300,84200,195200,149100,181700,1517600,1277000,100
71,0,2513700,71200,88100,132700,125400,116600,1072400,1095900,100
72,0,4016900,91000,85400,144700,135800,127100,2102300,1532300,200
73,0,3489500,78600,97600,186800,147600,179600,1525400,1536400,200
74,0,2472700,75900,78500,132800,121700,125100,1073300,1063600,400
75,0,3229800,87000,109900,173700,146400,157300,1318100,1470500,200
76,0,2511400,69400,171300,112500,105500,101100,982100,1096200,200
77,0,2534600,80000,86900,152400,100800,137400,1096500,1063200,200
78,0,3748400,81400,85000,133600,125500,99100,1793200,1594100,100
79,0,2550400,77000,84600,189300,147400,177000,934000,1152500,100
80,0,6921300,77600,87900,113300,105300,106300,4903000,1645000,200
81,0,3008000,83600,90300,127500,123900,112200,1443200,1168000,200
82,0,2809600,69300,93400,202600,130500,137000,1157300,1096300,100
83,0,2385600,76200,95500,140200,131500,94000,911500,1057100,200
84,0,3433900,66500,85400,129600,121700,111200,1094800,2032900,200
85,0,3451200,70600,82000,110600,102200,96400,2104200,1061200,200
86,0,2545800,77900,80700,131800,122100,116900,1171300,1061200,100
87,0,2202100,80000,86600,103000,100400,90200,931700,975700,0
88,0,2272200,72500,70400,186600,144500,177600,891400,1025100,100
89,0,2405100,78300,81000,125900,113700,99400,1076100,995700,100
90,0,2293200,77900,81800,135000,126400,121100,992300,950600,200
91,0,2200100,70600,77100,126900,121700,118900,945900,924900,100
92,0,2175300,71700,78800,133800,124800,114500,828800,1011900,100
93,0,2592600,161400,79100,129100,98700,114700,1223200,950900,0
94,0,3505900,102200,73000,108100,101000,95200,2198800,945000,0
95,0,3217400,137200,126900,130500,117700,99700,1687500,1102900,200
96,0,3439100,102100,97400,132400,122900,116200,1921500,1113700,100
97,0,2681900,69100,86000,132200,124700,113200,1414700,937100,200
98,0,2962500,83900,75600,183400,140500,170900,1659400,925900,100
99,0,2692000,67900,93800,185900,145200,178800,1314000,951300,200
100,0,2549600,72900,92300,131800,123400,94100,1229200,954600,0
101,0,2402300,99200,84600,114300,102500,91000,1114700,941200,100
102,0,2516200,64000,84900,108700,101200,96400,1227600,989600,200
103,0,2306100,71200,78000,130300,122000,94300,1061600,926900,200
104,0,2517500,64400,81100,154500,119800,146300,1214700,948700,200
105,0,2394700,68600,83500,132200,122400,94500,1150400,900700,0
106,0,2752100,76100,102100,127500,119900,100800,1389800,963300,200
107,0,2449400,70300,88900,155500,120500,144200,1098700,977900,200
108,0,3267000,70600,83900,147600,128400,131000,1454400,1456700,200
109,0,3319200,70600,84900,124900,101300,117100,1901000,1086500,200
110,0,2646600,73200,81700,120700,98400,112400,1347100,972900,100
111,0,2652300,71800,82000,190400,149300,182200,1217400,995900,200
112,0,2693300,68400,78800,187300,148000,179800,1269300,1028000,100
113,0,4199100,84200,89000,138800,129600,97800,1788900,2051500,100
114,0,2741300,74400,86200,112200,103500,96600,1255500,1085300,100
115,0,2629100,73400,87100,170500,134800,157200,1177700,1036700,200
116,0,2614300,98600,87100,109500,101900,96100,1239400,1038300,100
117,0,2530500,72300,86200,109000,101500,101700,1237200,979300,100
118,0,2898600,80200,87700,136200,123700,120100,1495300,1013700,100
119,0,2536300,67000,89600,110200,104100,96900,908100,1273800,300
120,0,2835900,88200,84500,155900,122800,145000,1323700,1117300,100
121,0,2966400,73600,82400,132700,123900,98200,1584600,1058800,0
122,0,2732300,73200,76100,122100,103600,114100,1138700,1278300,100
123,0,2570200,67100,90000,118000,105500,105000,1215800,1048400,200
124,0,2924400,69300,77600,189900,146500,177500,1477200,1072700,200
125,0,3017800,72500,83400,119900,106900,108500,1677500,1022900,100
126,0,2750100,67400,87200,132000,124300,111900,1324100,1056800,300
127,0,2537800,69400,86700,132400,124500,122000,1061600,1145700,100
128,0,2552300,69800,83300,104900,102000,95000,1119100,1137900,200
129,0,2618100,73200,77900,132300,123500,96300,1237400,1063600,100
130,0,2655500,68100,86600,155000,119400,143000,1216100,1049900,200
131,0,2735700,73900,79300,129100,121600,100400,1343300,1067700,0
132,0,3053100,72200,83500,130700,100500,117700,1592200,1121000,200
133,0,2509300,78700,90600,130200,122500,114300,1010900,1091600,200
134,0,2726600,76600,88100,160900,120600,144900,1197400,1150900,100
135,0,2509100,70800,84600,128900,99600,115200,1072200,1095800,100
136,0,2428200,89400,87600,140600,99600,128400,967100,1079300,100
137,0,2335300,62200,107800,104000,98800,96400,881000,1108200,100
138,0,2807200,68400,85500,133900,101300,121900,1284200,1168600,100
139,0,2931800,72900,81800,123900,120700,111200,894000,1654600,200
140,0,2410900,65100,94900,132000,121900,122500,931400,1100800,100
141,0,2573900,71400,74800,112300,104500,107900,1131700,1089000,200
142,0,2428000,69100,115000,123000,119600,113000,923000,1127400,0
143,0,2464200,68300,95300,127200,124400,116600,1010400,1122500,100
144,0,2780800,72400,87100,111800,104600,102100,1347900,1119500,100
145,0,2822400,73000,87300,190800,149300,178700,1065300,1296900,200
146,0,2855600,69000,78200,132300,123600,96600,1259200,1110200,300
147,0,2649100,71200,75600,127900,120500,92300,1191700,1113600,200
148,0,2807100,69800,73700,126700,100400,117600,1408300,1106100,200
149,0,2699400,84700,73400,147300,113700,133400,1251900,1108300,0
150,0,3475700,75600,88400,121500,113700,103300,1642300,1497400,300
151,0,3007400,71800,76900,112400,105200,97700,1448600,1255000,200
152,0,2617400,73700,72700,130600,122200,94800,1124500,1168600,200
153,0,2540500,73800,80200,124500,101800,115400,1020900,1190800,100
154,0,2592000,71300,68500,127800,121800,113000,1088400,1147500,200
155,0,2510900,68400,79800,144000,136500,94700,1061700,1122600,0
156,0,3489500,131100,72600,112400,104800,94300,1866600,1223500,200
157,0,3470000,110600,74800,142200,128200,101800,1284700,1817500,100
158,0,2415200,72200,68300,130800,124000,118600,1006400,1102200,100
159,0,2763400,69000,83800,133600,124800,96900,1332500,1072300,100
