tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,2571900,466300,395900,227000,180800,211800,1312200,1300,1600
1,0,1709400,291000,197100,126600,113800,50900,1058600,200,100
2,0,1519600,179400,149200,101300,90400,46100,1057400,100,200
3,0,1039000,151000,153100,96100,86300,45400,610300,200,0
4,0,984900,204300,118100,91600,81000,41800,522900,300,200
5,0,1075300,126300,137800,89900,79000,40300,683500,200,200
6,0,1376400,123000,111300,87000,80800,41300,1016900,100,100
7,0,1451800,122300,149000,90600,79800,40400,1008200,100,200
8,0,1453300,136800,120700,98700,83100,40000,1064300,200,200
9,0,1196900,125400,182600,89400,78200,39300,755900,200,100
10,0,2236800,133000,165300,106100,93900,46500,1766200,200,200
11,0,994100,122900,140700,85500,75200,38600,598400,100,100
12,0,986800,118700,124600,84800,74600,38000,615500,200,0
13,0,2379600,145300,143200,111800,96300,43000,1951700,100,100
14,0,1301100,133100,300200,91800,81700,42200,736200,200,300
15,0,1494000,577400,104700,90100,79100,41800,690100,100,0
16,0,2282500,164700,123500,90000,80400,51000,1866900,100,0
17,0,1657800,167800,120800,88700,78800,42800,1178400,200,100
18,0,1951400,610000,122800,91600,77100,39400,989600,100,100
19,0,1733300,125100,109400,101500,90500,44200,1307600,200,100
20,0,1313900,150300,121100,86200,75800,40800,911300,200,200
21,0,1512900,123500,107000,88300,78100,40700,1127900,200,100
22,0,2862400,182900,135200,105500,94500,42200,2375100,0,200
23,0,1536100,136200,170400,92500,80600,37500,1114100,200,200
24,0,1174200,129600,154100,88000,77100,40300,776800,100,100
25,0,1265500,124000,174300,88800,78700,39400,849200,100,100
26,0,973200,128200,119000,85400,75300,39600,614300,100,100
27,0,2730800,136300,149800,108300,96700,42500,2312000,100,100
28,0,1070100,133600,112800,92100,79100,42500,702700,100,200
29,0,1082000,126000,108300,86600,76000,41600,719400,200,100
30,0,873700,163000,97200,88200,76400,38000,486600,200,100
31,0,1096800,122000,117500,89300,79300,40100,726000,100,0
32,0,1153800,124000,110900,86000,75300,38600,787800,100,200
33,0,1676500,115600,101800,85300,75200,40200,1336900,100,200
34,0,1101400,119200,109400,88100,78100,37800,722000,100,200
35,0,2464900,204700,96200,87900,77800,39200,2039200,100,200
36,0,926400,124200,116000,89200,77700,38400,523300,100,200
37,0,734900,115700,129800,88200,78400,37600,353500,100,200
38,0,979100,123800,116900,85500,75600,38500,586200,100,300
39,0,926200,119700,88300,88000,77900,37200,581300,200,0
40,0,960800,144400,112300,86200,75800,38300,583700,100,100
41,0,1048500,150500,90900,95300,85600,51400,668800,200,100
42,0,871800,127900,129900,91500,79000,40500,480200,100,0
43,0,823100,179700,100400,88500,78300,37400,415600,100,100
44,0,1081000,121300,114300,110200,100500,48700,700800,100,100
45,0,1213000,125800,91500,85500,76500,38600,872100,100,200
46,0,1049600,121600,122700,86800,76500,39100,654500,100,100
47,0,1023400,120700,98000,86900,77500,41600,683100,100,100
48,0,1075900,118000,103000,88400,77200,39100,737000,200,100
49,0,975300,119600,107200,87200,75900,40300,579200,100,0
50,0,939700,124900,108500,87500,77500,40100,547100,100,100
51,0,1111200,128200,94700,109700,100300,57800,706400,100,100
52,0,1349300,137500,208100,88500,76500,40200,870600,200,200
53,0,985600,135200,96600,86900,76800,38800,623700,100,100
54,0,976500,126300,86200,87800,78400,40400,641600,100,0
55,0,1100300,130300,103800,86700,75900,43200,748200,200,100
56,0,987300,166500,89100,88600,78700,42700,616700,200,200
57,0,2483600,161900,99400,166800,97100,148600,2017800,200,100
58,0,1617300,139100,121000,94800,82800,44200,1120000,100,100
59,0,1643400,469600,122600,90100,77700,39600,870600,100,100
60,0,2788200,169400,99700,93900,81000,44300,2271100,100,100
61,0,2422700,225800,161500,143300,110200,67300,1794300,200,300
62,0,1892200,174400,151100,93200,81700,39200,1443100,100,200
63,0,1680400,129000,171100,88500,77400,38400,1264600,100,200
64,0,1540200,122200,118500,90200,79900,39000,1180900,100,200
65,0,1470500,124600,126400,93800,79600,38100,1086700,200,100
66,0,1333800,117800,112100,89400,82700,50600,946300,100,200
67,0,1655400,139800,309900,95600,83400,40700,1067600,100,100
68,0,1365800,128200,116300,89500,78400,38400,994800,200,200
69,0,1109700,144900,102900,88800,78200,39900,734200,100,100
70,0,1223700,142400,134500,86600,75800,38100,788900,200,0
71,0,1169300,116700,116400,85000,75100,39600,816000,200,100
72,0,1009700,117300,107200,88700,78500,38900,665100,100,200
73,0,919800,113200,143100,81200,74700,41000,547400,100,200
74,0,1414200,139700,156600,88600,77900,37600,791700,200,100
75,0,942200,119900,147000,89800,79200,36400,547700,200,200
76,0,790100,115800,137500,90000,78900,39500,405900,100,200
77,0,975900,118400,153000,88500,77700,38200,577600,100,0
78,0,1035700,123900,118300,87800,77800,38900,628500,200,200
79,0,2026000,145300,150100,86500,75600,38300,1602000,100,100
80,0,1106600,119800,139000,83100,76200,40000,676200,0,100
81,0,1068900,137600,140000,92400,80200,41400,538200,200,100
82,0,944100,138800,177600,89200,78200,39200,478400,200,200
83,0,768800,170000,127200,89000,78400,35700,363600,100,100
84,0,830700,112900,152100,84900,78800,37500,464100,100,0
85,0,892700,115000,115000,84100,77400,37800,557600,200,200
86,0,998500,112500,166900,83100,76200,38200,619300,100,200
87,0,963700,115200,120100,81900,75200,38100,629700,100,0
88,0,880300,112700,141600,79900,73600,37400,529600,100,100
89,0,805600,122600,127400,91400,79800,39300,431700,200,100
90,0,788300,119500,134400,85300,76300,38000,411600,100,200
91,0,709200,116200,114200,84500,78000,37800,355300,200,0
92,0,719200,114500,112400,81400,74900,38000,380600,100,0
93,0,756900,119800,110000,84500,77300,39600,409300,200,100
94,0,835000,152800,109600,89900,79500,37200,427900,100,200
95,0,830900,114000,99400,80600,74300,40500,511200,200,100
96,0,813900,140800,93200,88400,78200,38700,436700,200,0
97,0,929100,141300,121900,87200,76700,37900,541300,100,0
98,0,999900,129500,106300,88100,78200,42300,611900,0,200
99,0,1140000,118300,116000,87700,76400,38200,775500,100,200
100,0,1201000,128200,153500,93500,80100,38200,794400,100,200
101,0,2084700,126900,144400,86600,76400,40800,1693300,100,100
102,0,1121800,280200,117200,102400,90900,40900,590200,200,100
103,0,1538700,116500,133300,84500,78000,39500,1167400,200,200
104,0,1086400,123500,122600,88900,77900,40000,688100,100,100
105,0,963400,160700,112900,87100,77300,37800,554300,100,0
106,0,867100,122000,92800,89500,76900,37500,500300,200,100
107,0,1022100,121300,101200,87600,77800,40900,666100,100,0
108,0,980500,119600,95000,87200,76400,40700,645900,100,100
109,0,965200,164200,100500,88700,77100,39000,570000,100,100
110,0,984200,121200,87200,87600,77500,38300,643300,100,200
111,0,1081700,115800,92500,82400,75900,39000,674700,100,0
112,0,1032200,117800,157000,89800,78100,37800,599800,100,200
113,0,928100,115100,134400,83000,77200,34800,559000,100,200
114,0,872000,111600,121200,81400,74700,38500,527400,100,200
115,0,902000,142800,120900,95900,80900,40100,508900,200,100
116,0,765000,157900,125700,93700,83000,50300,354000,200,200
117,0,1144500,125500,105200,81600,76000,39600,785500,100,300
118,0,945000,127900,104900,83800,78200,40900,525900,200,100
119,0,1007500,131300,112300,86200,75700,38400,629700,200,200
120,0,803700,128500,102700,89500,79300,37800,450200,200,200
121,0,851400,118000,100600,82400,75700,40300,517100,200,200
122,0,2140100,226200,92400,92800,81600,42000,1695000,200,200
123,0,1264800,135000,136700,87200,79300,38300,873500,200,0
124,0,911700,133000,104800,95000,82800,50700,546900,200,100
125,0,1193200,114600,108200,88500,81000,39000,842400,200,100
126,0,930600,129500,100100,90100,83600,38300,536400,200,0
127,0,1232400,122800,118400,93000,83000,50700,855900,200,0
128,0,750400,124600,105700,81300,75700,36400,397100,100,100
129,0,826700,121600,114800,83000,76800,38400,460400,200,100
130,0,1087400,134400,108800,93400,86200,45600,645400,200,100
131,0,816600,127300,131900,89100,78700,41100,411300,100,200
132,0,625000,113700,105900,84700,78900,40200,277300,200,100
133,0,737100,121800,118300,87700,77000,39100,369200,100,100
134,0,890100,121000,94300,98400,89700,51100,526400,200,300
135,0,796400,195700,104800,91100,80100,43300,359400,200,200
136,0,847500,138100,100700,83500,77500,38400,449500,100,0
137,0,896900,123400,93500,81100,75400,39700,537500,100,100
138,0,945900,140800,121900,97800,86500,36900,484600,100,100
139,0,876600,121700,107500,87200,81000,50400,499500,100,0
140,0,975400,137300,127800,90900,84500,43700,564100,100,0
141,0,1040900,140900,128700,93000,80300,41800,579000,300,200
142,0,830600,122500,122000,86200,78800,41400,341100,200,100
143,0,906900,124300,123600,81300,75300,40800,509000,100,100
144,0,1997000,147300,103800,93300,82000,51200,1618000,100,0
145,0,1380500,130100,129200,93700,87100,42300,811000,200,100
146,0,1038400,314900,105800,108200,97700,59200,411800,100,100
147,0,3419500,147100,114700,107600,99600,38700,3024300,300,300
148,0,1446300,158400,110700,100400,87900,39600,1047900,200,200
149,0,1139400,172600,149400,101700,88900,37600,678200,200,200
150,0,1140900,125200,113200,94400,82700,51100,768500,100,200
151,0,1479700,131200,116800,89100,78300,42600,1094600,100,200
152,0,1211500,128500,134200,94400,82700,50300,809700,200,100
153,0,1603200,141500,205200,87700,81200,41600,1119400,200,300
154,0,1268600,130900,137000,83900,77700,40100,836200,200,200
155,0,1332700,162700,133000,92600,81200,51800,907000,200,100
156,0,1363200,127600,132600,94100,87200,41500,930000,200,100
157,0,888100,136300,119500,98200,88000,41300,499500,200,100
158,0,868200,160000,127100,88600,78000,42500,434600,200,100
159,0,1185300,150900,115600,102000,89200,51600,761900,200,100
160,0,1112600,160500,120600,91400,79900,37500,705200,200,200
161,0,787400,133400,98500,89200,78900,40700,429800,200,100
162,0,755500,162100,109100,98000,87500,38500,351800,100,200
163,0,886100,118200,86000,86000,75200,38900,562600,100,200
164,0,1122700,131500,108600,83600,77700,38100,762000,100,100
165,0,999400,118900,117500,97000,86000,38500,632300,100,0
166,0,2444700,137800,123000,96500,84200,52000,2016700,100,100
167,0,1585400,129200,148900,93900,78700,37400,1174100,100,100
168,0,865200,124200,111400,87900,78100,37100,514600,200,200
169,0,947400,117100,160100,84000,77900,39700,552000,200,100
170,0,904300,126800,104400,87100,76400,37600,551500,100,300
171,0,935000,121000,131000,87500,78300,39600,505700,100,0
172,0,932200,126900,106300,87200,77600,39300,575100,200,200
173,0,1078200,124100,127600,86800,76400,37700,655500,200,0
174,0,1128400,156100,100300,90100,77600,38300,721000,200,100
175,0,993300,149300,111900,90600,79700,37400,612600,200,100
176,0,1099200,122300,101200,88000,76700,39000,759300,200,100
177,0,1055700,125600,98800,87700,78000,36600,715900,100,100
178,0,961800,113200,100800,82700,75200,38300,582200,100,100
179,0,976000,115000,105600,83300,77400,38100,634100,200,0
180,0,1033900,115700,99900,82000,75300,40200,714300,200,200
181,0,1024800,120800,113200,83800,76300,37700,679700,200,100
182,0,977200,125200,115600,89100,77200,39900,619200,200,100
183,0,1237600,136000,97600,87700,77700,40900,890000,200,200
184,0,1054000,133000,93300,90600,79800,41400,711900,100,100
185,0,869600,126300,100100,88900,77400,40200,521200,100,200
186,0,921800,127000,104600,85900,75300,37200,547700,100,100
187,0,865800,130600,104400,84800,75700,42600,522100,100,200
188,0,1908200,162400,92100,88500,78100,38500,1545600,100,100
189,0,885100,121000,107500,88900,79500,42300,521100,100,200
190,0,1494700,635600,107100,92000,79900,39400,586800,100,100
191,0,2549500,137100,124900,108700,96000,39600,2128600,200,100
192,0,2706800,136300,122200,106200,98500,50900,2284100,100,200
193,0,2707400,598800,166400,205300,94800,48400,1685700,100,200
194,0,4383500,134300,125900,90100,80200,44700,3981400,100,300
195,0,3135700,134100,558700,112000,98700,52500,2280800,200,300
196,0,2834400,150600,164600,94500,83100,42300,2371200,200,100
197,0,2538000,178400,308400,108500,97000,40500,1887300,200,100
198,0,1962200,119400,170200,84000,77200,39500,1483100,200,300
199,0,2118200,133200,229100,88600,77700,41300,1611600,100,200
200,0,2262900,129500,193000,91200,81100,45100,1799200,100,200
201,0,2745800,159400,202100,105000,93700,39000,2207800,100,100
202,0,2987700,149800,143100,127900,115200,54200,2479200,100,300
203,0,2863900,134000,319300,89500,78600,44800,2281000,200,200
204,0,2703000,134600,242100,87500,77100,46800,2143300,200,200
205,0,3023900,151900,255300,89500,77300,40900,2452800,200,200
206,0,2888000,131500,240400,89800,79400,47000,2396900,100,100
207,0,2359100,134100,223900,101800,93500,46000,1871700,100,200
208,0,2562100,124600,261300,101500,86200,40200,2040700,200,300
209,0,1824300,136000,284400,93100,82400,43900,1187900,200,300
210,0,3240400,157600,252000,121300,104800,53400,2658500,200,100
211,0,1937700,234900,231700,90800,78900,48600,1316500,200,100
212,0,3632500,156600,199000,138500,95100,38100,3089100,100,100
213,0,2390500,134400,248900,112500,104500,64500,1843300,200,100
214,0,2426500,191500,253500,108800,95600,42000,1788200,100,100
215,0,2828300,151300,285000,97800,85300,43700,2250600,200,100
216,0,2842900,137600,271700,108200,98800,56100,2239300,100,100
217,0,2851100,153300,311700,94900,82600,42600,2242100,200,300
218,0,3076600,141600,206700,97900,82200,42500,2549300,200,200
219,0,1972500,134400,298100,91400,80700,41800,1389100,200,0
220,0,1977100,144400,212500,89100,78400,49400,1494600,100,0
221,0,2041900,165200,288700,121700,108900,55500,1413300,100,200
222,0,1802500,134000,237800,95000,82200,44000,1263700,200,100
223,0,2853100,139200,237400,110100,98700,52900,2316700,200,100
224,0,1824900,148100,240100,90000,79500,41000,1289300,100,200
225,0,1408100,133700,240800,88500,78200,39800,897100,100,100
226,0,1700200,137300,295900,91600,79600,42100,1087300,100,100
227,0,1389500,155600,243000,86100,75900,40100,865300,100,200
228,0,1189300,126300,217300,84800,75200,39100,716900,100,200
229,0,1287500,131500,220400,90200,79600,39300,787500,200,0
230,0,1704900,120400,218400,87100,76100,42900,1155100,100,100
231,0,1743200,159100,223600,92500,79900,44700,1082700,200,0
232,0,2762600,158400,217600,93800,82600,52700,2247400,100,100
233,0,1915700,320100,262200,91900,80100,42700,1195800,200,100
234,0,2022800,147800,224600,99500,89700,43400,1519500,100,200
235,0,3196500,136800,257100,92900,80300,44900,2598900,200,100
236,0,2096500,203900,250100,108900,96900,43900,1459600,200,200
237,0,1534900,138900,240400,88000,77300,39200,1032900,200,100
238,0,1934800,126400,206900,86100,76500,39700,1417600,200,200
239,0,2323700,144000,218300,96100,84200,51600,1820000,200,200
240,0,1725700,137900,239800,92400,81200,41500,1223100,200,0
241,0,1118700,176000,220800,89900,79000,38400,602800,200,0
242,0,1395600,114800,197400,84400,77200,43800,976700,100,0
243,0,1390800,120400,214600,87800,76900,39100,943900,100,100
244,0,1467700,123100,238800,111200,96800,41600,973000,100,200
245,0,1536700,126300,223300,89000,79500,42500,1065500,100,100
246,0,2906700,141700,190800,107200,96000,44500,2408200,200,100
247,0,1454700,122000,266200,88600,77600,39400,947600,200,0
248,0,1120400,129100,193700,87900,78500,38600,686900,100,0
249,0,1436400,127600,243100,96000,81900,40100,942600,200,0
250,0,1184300,161800,203900,94600,77800,39700,658500,200,100
251,0,1337600,122200,228300,90100,79700,40500,863600,100,100
252,0,1382500,133000,205500,86400,75900,41900,919700,100,200
253,0,2637100,155400,208600,106000,93900,43100,2131000,100,100
254,0,1501300,236200,230700,89800,80000,39300,901700,100,200
255,0,1683800,123300,238500,87100,76600,38900,1195900,200,200
256,0,1849700,123900,227100,87600,77200,38500,1365300,100,0
257,0,2797500,138300,209300,109500,96900,44300,2291700,100,100
258,0,2027000,149900,275500,116300,102600,47000,1392200,200,100
259,0,1322800,126600,242400,88800,77700,39700,802800,200,100
260,0,1253700,128200,243200,90400,79500,37200,745000,200,100
261,0,1303000,119600,204000,89000,79200,39000,829400,200,100
262,0,1335300,121500,194600,86800,76600,41000,868000,100,200
263,0,1086300,127100,187500,84800,75200,38900,667600,200,0
264,0,1235000,127300,178700,89100,78800,38500,816100,100,0
265,0,1098200,137600,157700,89100,78900,38400,689200,100,100
266,0,1288100,127400,173000,89200,78500,41500,817400,200,200
267,0,2990400,185700,176700,120400,108500,42900,2434500,100,100
268,0,1382400,148800,177500,88600,78400,39400,943500,100,0
269,0,3273900,197900,153800,100200,89600,47500,2771500,200,100
270,0,1726100,171600,175500,91000,80300,40400,1244700,100,400
271,0,1487900,135500,159900,92000,80700,42700,1055400,200,200
272,0,1426800,130500,197500,88500,78500,39200,970900,200,100
273,0,1398500,129600,179900,88800,77900,39500,896700,200,200
274,0,1262900,117100,194000,126400,81100,43200,749800,100,100
275,0,2616000,140000,216700,93000,79600,41500,2111200,200,200
276,0,1411700,133000,172900,87800,77300,41600,943200,100,100
277,0,1479500,319500,188100,94000,82200,43000,828400,100,100
278,0,2007000,137800,167000,92200,78800,41300,1536600,100,0
279,0,1707700,155100,149600,116600,82500,98800,1236900,200,100
280,0,2965100,225600,152200,110700,97200,45200,2433300,200,200
281,0,1940400,156100,158900,90800,78600,44400,1493200,200,0
282,0,1795000,145800,157100,90300,78400,41000,1366100,200,100
283,0,1468900,140500,155900,89300,79000,44100,1034300,100,200
284,0,1425400,143200,157700,88100,77500,39600,988400,200,200
285,0,1228800,115700,159100,86800,80000,41200,817600,200,100
286,0,1160200,120700,163300,88400,78400,40200,712200,100,100
287,0,1262500,123500,191500,86200,75800,39100,807500,200,0
288,0,1369500,124900,172400,88900,79600,41300,943300,100,100
289,0,1149500,167100,157500,92700,80700,42900,688600,100,100
290,0,1213400,142000,151600,88900,78000,41700,756600,100,100
291,0,2712000,151400,148300,110700,98300,49300,2212300,200,200
292,0,1561200,136300,153900,90300,80300,44100,1132400,100,0
293,0,1315800,230300,140500,89700,78500,43100,808600,200,100
294,0,1554300,128000,128500,163800,76400,150600,1095700,100,0
295,0,1703400,153000,139200,96800,85100,47200,1268100,100,100
296,0,1199700,149300,161100,89700,79900,41400,755200,100,300
297,0,2573300,139100,127900,86800,76700,51400,2122700,200,100
298,0,1472700,121400,162400,90300,79800,42500,968300,200,200
299,0,1198600,306800,141500,85600,74700,36800,616700,200,100
300,0,1327900,124700,142700,92200,80300,40600,938400,200,0
301,0,1885700,137600,131200,88500,78400,38100,1489900,200,100
302,0,1921800,126700,182000,88000,78300,38900,1500900,100,200
303,0,2962700,140100,137800,90100,79900,49900,2568400,200,0
304,0,2786200,152200,187900,89900,78700,41200,2325000,200,100
305,0,1272100,126200,147700,86800,77000,41900,869400,200,100
306,0,1201900,146000,161600,91300,80500,41200,731200,100,200
307,0,1306900,133500,151200,89900,80500,44800,884600,100,200
308,0,1484900,157500,203600,88100,77400,42900,1005500,100,0
309,0,1958600,158400,142000,91400,79800,40100,1525100,200,100
310,0,1287100,117800,160100,87000,80500,40300,855100,200,200
311,0,1170100,127900,141600,86900,76800,38100,780500,100,100
312,0,1074400,125400,158600,85800,75400,37400,670200,200,200
313,0,929700,132500,143100,90300,80300,41700,530200,200,100
314,0,2403600,158100,134600,111500,97200,44000,1947300,200,100
315,0,1460000,139000,171900,89000,78100,41700,916600,200,200
316,0,1302900,156000,167000,87000,76000,40500,719600,200,100
317,0,1414000,127500,134000,84200,74700,39500,1022300,200,200
318,0,1352700,126700,137900,90400,80100,44400,925500,100,300
319,0,2298800,188800,145300,107100,94400,45200,1805800,200,0
320,0,1206400,138000,162300,91000,77800,41100,776500,100,100
321,0,1547400,288200,134900,89200,77800,41700,971900,100,200
322,0,1805700,121400,143400,89400,77700,40500,1385200,100,100
323,0,1428400,125800,164300,84900,75500,40400,1037600,0,0
324,0,1399900,190800,149100,101000,83900,42800,931100,200,100
325,0,2116300,139400,140800,91900,78700,41000,1716200,200,200
326,0,1657200,159100,146000,90100,79500,40300,1234300,100,100
327,0,1585100,126100,133500,88600,79000,42000,1214900,200,200
328,0,1590600,130100,135900,88400,78700,41300,1160300,200,0
329,0,1360200,130000,135900,87900,76800,39700,943300,200,0
330,0,1302400,126200,150800,86800,77300,39800,904100,200,200
331,0,1340100,131600,116700,92100,80300,42000,959100,200,100
332,0,1129500,131500,146200,87300,77100,44100,727700,200,100
333,0,1239500,143900,139400,89100,78600,39700,832200,200,200
334,0,1219400,118800,142300,85900,76200,38800,818300,100,300
335,0,1197300,124600,118300,97000,84900,52100,830900,100,100
336,0,1301100,145400,165700,103700,91500,42800,821700,200,200
337,0,2696500,165100,127900,108300,96000,44700,2148800,200,200
338,0,1265500,141500,228500,91600,80400,40400,725700,200,200
339,0,1273000,136000,136500,91900,79900,41800,855800,200,100
340,0,1322600,134900,144200,89900,80000,43800,927700,100,100
341,0,2456000,150700,128100,105700,93800,40700,2042600,200,100
342,0,1227400,135100,175900,93400,80300,41000,794900,200,100
343,0,1225500,147500,125100,92800,82200,42500,831600,200,100
344,0,1097200,140500,172300,91000,80600,42600,656400,200,200
345,0,983200,141200,136000,94300,83100,43500,563600,100,200
346,0,1054100,222500,185400,92600,78600,42000,462400,200,100
347,0,1023000,119400,133400,95300,83300,51400,634000,100,200
348,0,2426000,136300,187000,101400,88100,41900,1961000,200,200
349,0,1203600,145200,176400,91200,79800,38500,733900,200,200
