tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,9230200,858400,962200,503100,219900,484800,6734400,1400,1400
1,0,3019700,563400,194500,139500,124300,98500,2081200,200,200
2,0,4313300,365300,524900,156000,142300,105700,3227500,200,100
3,0,2984400,265700,138100,165000,152600,95100,2371400,100,100
4,0,2097800,258500,161600,131200,119300,84300,1490600,200,200
5,0,1702700,221300,116700,121700,112500,79900,1185200,100,200
6,0,3677100,245900,82800,148700,139300,82700,3121600,200,200
7,0,6413800,264400,103000,161200,143300,104300,5751000,200,100
8,0,3952400,243900,97600,151200,136000,103500,3418100,100,100
9,0,2104600,220600,135100,128600,118000,84000,1559500,200,200
10,0,2751300,238000,89600,151100,138100,83300,2188700,100,200
11,0,2362600,233400,105700,146700,138100,97000,1832300,200,200
12,0,1816200,214100,91900,126900,112400,78400,1337600,100,100
13,0,1948600,209700,86800,117800,110600,77600,1487800,200,0
14,0,3038100,230900,77700,166900,163800,155700,2516400,200,200
15,0,5291500,263900,93800,152000,139400,86500,4742400,200,100
16,0,3221200,236600,92800,152400,139000,101700,2685800,100,200
17,0,1813100,206400,92600,195200,109400,183700,1260800,200,200
18,0,4539100,251000,92200,163900,148400,109500,3856600,200,200
19,0,1999000,216300,111300,118400,111100,79000,1396800,200,100
20,0,1408600,209600,86300,124900,114200,80900,946100,100,0
21,0,1921800,297800,88400,127900,115600,79100,1324100,100,0
22,0,2970700,220700,84600,119600,113500,78600,2455100,200,300
23,0,3995400,234900,89900,299300,282800,84400,3347100,100,100
24,0,2156900,348800,107700,123500,111800,75900,1547500,100,200
25,0,3712800,234600,85600,155000,141000,97500,3209200,200,200
26,0,2095800,252300,82100,122300,112700,77700,1611800,100,200
27,0,1969700,213700,192200,118900,111600,83100,1417000,100,0
28,0,1791500,204500,86100,124300,113800,77800,1347000,300,100
29,0,2064200,216000,105100,122500,111900,80700,1577200,100,100
30,0,3230600,243900,77000,130300,115500,79600,2725900,200,200
31,0,2578100,232400,82500,153500,140500,81000,2053700,200,200
32,0,1550400,205800,87700,136900,131000,127800,1059900,100,0
