fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
design_hybrid_06_abucnasty,0,1091551.8011677978,107129.26740896612,87475.75077690603,84014.22957399071,76774.15237113115,58918.9369974498,771462.4952967572,119.55991582937332
design_hybrid_06_abucnasty,1,1094052.8505135244,109835.20534009671,89413.40737747181,83779.10087933221,76596.39627085104,59206.95243802171,769603.0449142267,122.1477445337867
design_hybrid_06_abucnasty,2,1103080.1780961272,111441.44288521301,91615.19251940523,86142.8643097033,78561.11567886955,62432.54644016778,771606.5134686938,117.90298081076938
design_hybrid_06_abucnasty,3,1107396.924427598,112685.25202413634,91921.80074973174,90890.67573405427,82254.37227386112,67969.85047171783,768861.0292785574,124.037402973843
design_hybrid_06_abucnasty,4,1104488.3275965385,111309.26434314859,90904.41756434733,90348.79666662021,81679.66248136123,68442.1368748171,769128.5455482936,118.18447860198721
design_hybrid_06_abucnasty,5,1103063.508410095,113488.47531320112,93648.34654886495,90805.59372343539,82112.24376036455,68126.6029348235,762964.4156133726,128.1177273930796
design_hybrid_05_thaeln_abucnasty,0,1092213.715352778,114659.52145375493,85626.93181343107,87487.56532281665,77439.41944564445,46452.805919814935,753892.8705806937,6108.040803244192
design_hybrid_05_thaeln_abucnasty,1,1108222.3693195279,114464.83089229226,86086.40031215597,87361.14633704483,77225.09232291419,47558.183642469936,768897.4832425201,6030.989840995555
design_hybrid_05_thaeln_abucnasty,2,1103435.163533494,116112.02775958416,87221.19734110007,87298.66915648211,77192.45948243426,48034.018032581276,761704.3646093173,6118.608118842236
design_hybrid_05_thaeln_abucnasty,3,1109508.5926503993,117028.3546314748,87491.76827993701,87717.77616744938,77519.36063769004,47913.26662857621,766361.3553700581,6037.159101994175
design_hybrid_05_thaeln_abucnasty,4,1117196.9077049568,115142.02399698993,85969.3766635544,87630.47840688973,77451.94191669338,47796.08690199139,776605.0599924749,6029.416519182263
design_hybrid_05_thaeln_abucnasty,5,1100657.470143118,113701.15804289357,85574.32377820204,87841.75504117951,77806.20688694101,46739.774801767024,762317.3622820831,6090.476455914937
design_hybrid_04_thaeln_abucnasty,0,1217220.3737510277,143347.9229086247,105808.97448403685,96739.4041165568,85812.7119943143,53948.602962694575,823641.3704204351,157.26947142518708
design_hybrid_04_thaeln_abucnasty,1,1224731.477584693,144671.40567733665,107063.74113351635,96901.88269067295,85930.07288284396,53733.88146434593,828023.9384606809,136.81210719212922
design_hybrid_04_thaeln_abucnasty,2,1222384.0075809306,145186.8281330565,107249.32761047395,96703.21074708398,85702.96408812831,53675.04424532114,825975.0832648169,152.602461015343
design_hybrid_04_thaeln_abucnasty,3,1231764.8308922923,145698.9604091473,107995.73015231539,98941.23106509288,87849.95192240695,58248.4705751195,830242.6106829805,157.75164090915425
design_hybrid_04_thaeln_abucnasty,4,1224871.9003888015,145952.80731336836,106765.01066068368,98949.64534065414,87883.92814838557,58559.53956994941,825462.6248972254,151.6701737761117
design_hybrid_04_thaeln_abucnasty,5,1223847.5954235706,144741.53485973884,106264.46578129573,98947.07284103736,87828.8716397943,58318.354492119455,826684.3740854806,152.2930921556878
design_hybrid_03_thaeln_abucnasty,0,1216966.6230019927,144398.13681907495,106473.38173608885,102784.33924664502,91749.49204977773,58421.5304003679,816652.3446536323,156.07937680290974
design_hybrid_03_thaeln_abucnasty,1,1240181.5089396453,146024.2575844145,106179.470170989,100812.3301606767,89875.99882941513,53713.8268370518,838749.3303975808,159.12429102969662
design_hybrid_03_thaeln_abucnasty,2,1221412.5113226215,144549.3624493095,106222.76787580652,100823.83394417424,89830.77105310831,53459.43365988935,822283.1324293817,156.15323513426887
design_hybrid_03_thaeln_abucnasty,3,1226305.7456207583,145744.02653325716,106238.31435778091,100791.6331052551,89855.43416156858,53855.344974149586,825597.3034741287,155.43416156858373
design_hybrid_03_thaeln_abucnasty,4,1223549.3847461643,145184.9496230438,105329.75515266378,102841.00112877827,91812.30089605485,58639.75529201912,821841.4094399309,153.78419431708915
design_hybrid_03_thaeln_abucnasty,5,1221064.1578059895,144570.39395755235,106397.76752741817,100574.53420476874,89565.28797781463,54055.33661282905,822634.9182680919,140.66110174333534
design_hybrid_01_abucnasty,0,1108156.3218550982,113951.43605680123,89510.56313493778,90213.36557086917,80762.06886941011,68745.66535208127,769444.4696832453,148.00652183001435
design_hybrid_01_abucnasty,1,1109695.5392354967,116260.95402667261,90812.41656098886,90610.19663038783,81389.44661993618,68255.58466533814,767567.9691745983,147.97168299446759
design_hybrid_01_abucnasty,2,1119667.6333282236,116713.05480845609,92150.64451845762,90375.52362769826,81083.40417229895,68227.9463203222,774974.0994161011,145.60124862386598
design_hybrid_01_abucnasty,3,1121775.5891247091,117754.16463440126,92528.53300631279,90327.85434579635,80842.47968895888,69195.23265374378,775555.2181607882,153.00101729399796
design_hybrid_01_abucnasty,4,1114102.1377109492,115887.32563162809,90458.81352861662,90363.72301732187,80794.58186429577,68454.34858345294,772235.3795342745,148.39811034155994
design_hybrid_01_abucnasty,5,1118144.9532462826,117073.92104126312,91150.05504536016,90471.84604021795,81367.23477194498,68779.20678939226,773889.0243732494,130.47561978288437
design_35_henryjk,0,1177407.3286974456,176048.91233155422,71885.53212837414,120487.63500048775,112601.89662620716,77500.34142058836,758553.3326830084,140.6206886941011
design_35_henryjk,1,1198652.4714669937,185396.59554899036,79551.28555303167,129283.10595186666,119643.88578436154,93192.26577850862,755652.8616619518,145.42984155297594
design_35_henryjk,2,1202258.2129070917,183750.8410094901,79453.45949636979,129748.59599492747,120081.26924845664,93305.86407279923,759498.2106774063,141.96546774620606
design_35_henryjk,3,1196600.9936035897,180888.94354715088,77983.17284243091,129749.34015245474,120061.40971864156,93286.90477849469,757613.3460611212,149.06144177037027
design_35_henryjk,4,1186383.8083027913,184013.52582951268,78947.32089354645,129768.3635502167,120090.3217714851,93980.1906381081,745715.7262503658,141.86652545325325
design_35_henryjk,5,1198604.7450494014,185038.69340431166,78582.32556195042,129578.6228905085,119786.03798826628,92866.72055073231,756141.1502389944,151.01938432809823
design_27_geist_fixed,0,1207729.69662342,135023.74336320182,128890.94190275784,91469.2554244067,81085.93068465279,44987.40645772656,803259.5158795413,155.58466533814573
design_27_geist_fixed,1,1213905.3805097619,136433.8034253543,129468.69242882426,91256.02642177288,80796.69170417648,45275.1877813236,808540.7405342883,151.42630192728438
design_27_geist_fixed,2,1196126.1402750874,133499.28231998775,127310.96169121643,91069.07008180159,80678.2912247941,45051.8541228278,796656.746888892,148.08595437506096
design_27_geist_fixed,3,1197952.6317256372,134244.91283323345,128858.01502250589,91189.38948424588,80750.6877186137,45104.50675176633,797045.5538678075,131.82876015552057
design_27_geist_fixed,4,1209137.9952340473,134396.4380774537,129178.6228905085,91584.28907872183,81243.35065984755,44279.36286737552,805811.0508786354,149.84322524003957
design_27_geist_fixed,5,1197466.613247119,133002.2171434942,126935.2555080199,91368.57118967656,81033.13033905155,44269.02270098524,797612.6325617692,148.81199570785546
