tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate
0,0,18061200,32500,244000,1014200,283200,999100,16531900
1,0,10033800,63900,155200,253700,215000,245100,9505200
2,0,7392700,43900,136400,219100,212800,166700,6953300
3,0,7948200,31600,122200,239400,190700,229300,7509400
4,0,8877600,43300,132400,240600,218100,229900,8398600
5,0,7651300,35900,131500,237700,202200,225500,7180300
6,0,8047300,35300,104100,214000,205600,210400,7606800
7,0,10517400,60600,118600,218900,212200,171200,9981100
8,0,16612500,65700,127300,249600,212700,239200,16105900
9,0,9918100,84600,117200,210700,203800,186400,9442800
10,0,7598500,39500,115000,212000,207100,192400,7131000
11,0,8573000,60400,112800,216800,209100,196900,8118400
12,0,9192700,63100,108900,234300,216800,226500,8725000
13,0,7399100,52200,116800,231000,177600,221200,6948300
14,0,7917700,62700,113500,222400,177000,213900,7462300
15,0,8266800,30400,108700,218800,165500,208700,7845300
16,0,9575600,52900,121800,217200,212700,213300,9112500
17,0,7061900,74000,124300,232100,200900,221900,6571800
18,0,7986200,84200,116200,230100,211600,220600,7354100
19,0,5870800,57800,136600,213300,153400,202900,5287400
20,0,6841900,35300,120600,210100,204500,155300,6422200
21,0,5418300,62900,117000,227500,207800,218800,4919100
22,0,6871200,16500,115200,228700,174200,221800,6407600
23,0,9467400,94200,113800,230900,210600,220600,8979100
24,0,11206800,41300,118600,242600,209500,232900,10754300
25,0,7001100,60700,140400,233100,213800,227300,6528900
26,0,7765800,40800,128900,218800,197300,211300,7328000
27,0,7193900,65200,103900,219300,209500,163400,6767000
28,0,8763500,40400,130700,226200,212600,221200,8316300
29,0,7290000,39200,118100,231300,214600,221800,6851400
30,0,8127800,45400,115100,222600,172600,216700,7686300
31,0,10508300,62200,108400,230300,222700,224700,10043500
32,0,12062400,53000,112500,243000,188800,238100,11609400
33,0,9481800,37800,121000,232700,223000,170400,9032400
34,0,7117700,52600,128500,237300,180800,226400,6589300
35,0,7751000,42600,144700,185200,179800,162200,7300800
36,0,9018200,23300,108500,230600,216500,225000,8541700
37,0,7636000,58000,121600,210300,204100,155900,7176600
38,0,8246500,64600,131900,239700,212900,227000,7714500
39,0,7600400,46400,121900,214900,208500,144700,7131100
40,0,8764000,38100,121400,222900,201900,216100,8318400
41,0,7769900,62500,123400,197000,154000,187200,7337700
