tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
0,0,2929100,214500,227100,208100,131900,191800,2094500,26500
1,0,1870600,138600,122000,68200,57700,47300,1521200,6500
2,0,1802400,100300,156700,66900,57000,44800,1432200,5900
3,0,2618600,107500,138000,64800,57900,53600,2285400,8100
4,0,1792500,94500,136600,65300,55600,41600,1474600,5500
5,0,1801500,94500,127500,69300,59800,48400,1485400,5500
6,0,2131100,128800,132000,64300,58000,46300,1771500,5300
7,0,2151500,106800,151200,77800,59800,45200,1785200,5800
8,0,1926100,217900,154500,174600,56200,30100,1354500,5700
9,0,2531400,127900,137600,74800,71000,49600,2095700,7700
10,0,1722800,120200,133300,68600,58400,45900,1317400,5700
11,0,2426600,102100,116500,76900,70200,50200,2098600,8100
12,0,1837800,80600,138200,64000,57100,47500,1481400,5600
13,0,1764800,89700,116400,67800,57600,45400,1461100,5900
14,0,1288700,87400,109900,61900,55600,48800,1002300,5800
15,0,1933400,131000,116800,68800,58700,44100,1591000,8200
16,0,1365800,103100,103800,66500,56900,46900,1066400,5700
17,0,1803500,91900,97300,66600,56200,40400,1517900,5600
18,0,1398500,81800,126800,60300,58100,48700,1083100,5700
19,0,1639700,104200,116700,65000,58700,39900,1299500,5900
20,0,1238700,101900,121700,66600,57300,39400,926700,5600
21,0,1157400,96600,123200,66800,57300,46500,850700,5600
22,0,1086900,76400,99700,63900,57600,45800,802600,5400
23,0,1266600,81300,111100,64300,58100,47300,991100,5700
24,0,1572800,89000,120600,63300,56600,47200,1281500,5600
25,0,2166200,114400,107200,66000,55700,45600,1859400,5800
26,0,1513100,79200,125800,65400,62500,56900,1223300,5800
27,0,1309500,82900,115700,60300,57100,42400,1034600,5400
28,0,1021900,78900,112000,60400,54300,42600,750800,5600
29,0,1260600,118100,109000,152300,54800,39700,852600,5500
30,0,2138100,105000,119100,73600,55200,42100,1810700,5500
31,0,1466700,80800,100700,57300,55200,46400,1154800,5600
32,0,1228600,180100,109900,67400,56900,45700,844200,5500
33,0,1671400,91000,108200,66400,56600,46900,1377000,5700
34,0,1087600,77700,123400,61000,58000,45200,775800,5700
35,0,1396400,110600,109000,69000,59300,45700,1088900,5600
36,0,1589100,88700,100600,72000,57600,55800,1304500,5700
37,0,1726600,103000,112300,66900,57400,41900,1421800,5600
38,0,1295600,139700,107400,67500,57200,41200,927600,5700
39,0,1508500,123900,122500,67800,57800,47700,1160100,5700
40,0,1177200,79200,117500,64100,57600,48000,894400,5600
41,0,1329800,109100,112400,66600,56500,42300,1017500,5600
42,0,1255600,83700,102600,66100,56600,47800,973100,5600
43,0,1294500,100900,97700,65700,56100,40000,1009000,5600
44,0,1427000,136600,103500,66600,54200,44900,1098800,5700
45,0,1922900,207900,104900,64600,53600,45300,1524500,5600
46,0,2325900,90800,108400,69400,58600,43600,2010900,5500
47,0,1901000,99600,94400,69800,59000,50000,1618600,5500
48,0,1525600,102300,91600,71000,59700,41000,1244500,5500
49,0,1584200,85800,121100,64500,57400,49400,1288800,5600
50,0,1492100,103300,108900,65400,58100,40600,1186500,5600
51,0,1726600,95000,122000,62200,55100,43900,1419700,5600
52,0,1619600,88200,122400,65000,55600,46200,1318300,5500
53,0,1719400,94300,109400,66400,57100,42100,1418600,5800
54,0,2530100,117100,118800,66000,57700,49900,2200300,5600
55,0,2157800,97800,104500,60100,57000,46500,1869900,5600
56,0,1648600,177300,129700,67900,57800,40800,1246000,5600
57,0,1756200,81000,114600,67800,58900,44500,1466900,5800
58,0,1497800,103000,117900,60000,54200,47100,1127000,5600
59,0,2640000,93700,112000,62200,59400,54800,2333800,7700
60,0,2151400,106700,132900,69200,58400,42400,1823600,5600
61,0,1854400,89400,134200,83100,74900,58800,1529600,5800
62,0,2350400,112000,126900,66000,58000,49400,2029200,5500
63,0,2194600,135800,126300,69000,58700,48400,1843900,5600
64,0,1853300,89800,179900,68600,58400,48100,1493000,5800
65,0,1605800,92900,111100,68000,58500,43000,1309300,5300
66,0,1963800,106100,110300,66600,56800,45800,1652900,8000
67,0,1980100,82100,91600,71100,60200,42600,1713000,5700
68,0,1792000,92500,116100,66800,56800,43200,1493600,5800
69,0,1550200,93600,92000,67800,56700,40000,1270900,5700
70,0,1627300,95500,107200,70900,59900,43500,1299300,5700
71,0,1770000,75400,112800,68500,62100,43900,1485800,5700
72,0,1163600,119600,107000,67400,57300,46900,845800,5600
73,0,1571900,111200,116800,164000,54400,41300,1153200,5800
74,0,1565500,90400,104000,68000,58700,44300,1271300,5600
75,0,1637500,99400,111500,67500,57300,49100,1336900,5700
76,0,1632300,96900,118800,63600,57100,46500,1325700,5900
77,0,1706000,109400,127000,80500,70100,54100,1360400,5800
78,0,2401900,121500,124000,67100,59900,51900,2033000,5500
79,0,1539600,81100,162500,66500,60000,42900,1188400,5600
80,0,1499300,163300,115000,66400,56300,48200,1132200,5600
81,0,1508800,81000,102800,67700,61200,43900,1236100,5600
82,0,1724500,115200,118800,65300,55200,45100,1378800,5500
83,0,1820600,119400,92700,67300,57200,46500,1521900,5800
84,0,1696100,96600,134200,69100,59100,40700,1377600,5600
85,0,1801600,92900,103000,84100,57600,47600,1502500,5800
86,0,1944300,127900,94200,76800,58400,44300,1628600,5600
87,0,1686600,131600,100400,66900,55700,46500,1368200,5700
88,0,1375800,101500,113400,63500,57600,42100,1076100,5900
89,0,1662400,89300,102000,65800,59500,44800,1378000,5400
90,0,1375900,102300,93000,67100,57400,47900,1077600,5500
91,0,1459000,93400,100700,64000,54500,39800,1173900,5500
92,0,1527100,84100,105300,63600,57600,46900,1249400,5400
93,0,1764300,92700,100400,176100,166600,47500,1366100,5800
94,0,1551000,82300,114100,64400,58000,48000,1239500,5900
95,0,1379700,95200,122300,66100,57200,44000,1073100,5700
96,0,1709600,78700,117300,68500,60500,45200,1421200,5700
97,0,1186700,85900,107700,69600,61300,41600,897800,5700
98,0,1207500,91900,100400,65500,56200,41700,898500,5500
99,0,1360200,89200,108400,67400,57100,40000,1061200,5600
100,0,1560800,98300,97900,59000,55200,47000,1284100,5600
101,0,1414200,126400,105900,67600,57400,41600,1090300,5700
102,0,1879400,93100,102700,60400,57600,49400,1600000,5800
103,0,1613900,128600,105900,66700,56600,45000,1293000,5300
104,0,1512700,173700,92900,67800,56700,40600,1110300,5600
105,0,2170400,102600,123800,68400,57500,41100,1854200,5800
106,0,1221700,83200,95500,62400,56500,43200,931800,5600
107,0,1462700,98100,103300,66000,56200,47300,1176700,5800
108,0,1281500,108100,105800,61700,53700,39400,988700,5700
109,0,1941600,86500,97600,74700,68100,44200,1652400,10400
110,0,1342600,97200,102100,67400,58200,46200,1051100,5800
111,0,1508800,105200,92300,67300,56700,46800,1217100,5700
112,0,1490200,92200,97500,61700,55100,45300,1210100,5700
113,0,1315300,79800,97200,64500,62100,56900,1042900,6000
114,0,1436800,82500,96000,67800,58100,46600,1163400,5600
115,0,1119500,132200,97100,66600,57200,43500,798900,5900
116,0,1245100,123400,100000,62700,56500,43600,934600,5600
117,0,1460000,94200,97400,60700,58000,43700,1182500,5700
118,0,1607900,90800,110500,63000,57200,50400,1266100,5700
119,0,1504600,96000,110400,63800,54600,41100,1197800,5600
120,0,1552500,84700,109800,63100,59600,46100,1222900,5700
121,0,1564000,104700,120800,68800,57000,47900,1250400,5800
122,0,1231800,84200,95000,67800,57800,42500,966600,5600
123,0,1311600,118800,95000,67400,58500,40000,1011800,5800
124,0,1364000,106600,102700,65800,56200,47700,1068500,5700
125,0,2026300,102400,118800,78200,68100,47000,1704300,5600
126,0,1464100,100400,119000,61500,53600,44900,1164000,5600
127,0,1406400,132200,93900,68000,57700,42900,1091500,5600
128,0,1273100,95700,93300,69300,55300,45500,993200,5500
129,0,1571400,91200,100000,62300,57100,43300,1252700,5400
130,0,1598100,110900,99600,66200,56600,47700,1266900,5700
131,0,1910500,87000,110700,58500,55800,48100,1627100,5700
132,0,1814700,92800,91300,63000,57200,42300,1543100,5300
133,0,1497900,195800,110200,66900,56800,45600,1098700,5800
134,0,2294600,116800,160500,67800,57800,42700,1925500,5800
135,0,2021700,126000,133200,82400,71300,47700,1657900,5800
136,0,1742300,126100,124500,70300,56700,58500,1391900,5700
137,0,1673800,96900,109200,69200,58500,44900,1369200,5700
138,0,1698100,113200,123800,66100,56800,40400,1334500,5800
139,0,1625100,100600,90000,68300,58300,45900,1327600,5800
140,0,1693400,104200,118600,66800,57000,40500,1381200,5700
141,0,1479100,92900,111700,66300,57000,45400,1186900,5800
142,0,2074200,96400,95900,68400,58500,44900,1765500,5800
143,0,2094500,87500,157800,63900,58200,54400,1765700,5700
144,0,1470700,110000,133100,67100,57000,41300,1135000,5600
145,0,2617900,102900,110100,74700,67500,45800,2311300,5700
146,0,1677700,89300,124800,84400,77200,40800,1359700,5900
147,0,2463000,117900,112300,78400,67700,47500,2131400,7900
148,0,1789500,101400,123000,65800,56400,40400,1464000,5800
149,0,2220200,82200,132900,77800,71300,45900,1899300,5700
150,0,2097600,104700,151400,66700,56700,44300,1745600,5800
151,0,1859100,177200,101400,66500,56000,47800,1474400,5600
152,0,1800900,93200,124300,66100,57500,42800,1486500,5900
153,0,1384700,93500,97000,68300,57900,46200,1097100,5600
154,0,1460800,74600,122600,64500,57900,43000,1148500,5500
155,0,2048700,104500,104600,67900,57700,42800,1750000,6000
156,0,2070600,103200,100300,74600,67800,44200,1758200,5600
157,0,1529400,87700,108700,77100,67300,55000,1232900,5800
158,0,2003200,112700,130300,68800,58000,49800,1638500,5800
159,0,1894400,148700,104700,70800,58500,49300,1535500,6100
160,0,1530600,108400,114200,66100,57000,40800,1222900,5300
161,0,1368600,75900,107000,60800,54900,42000,1105100,5400
162,0,1459500,114800,101000,64800,54800,46400,1155700,5500
163,0,1761900,90600,101500,69700,59600,46800,1478000,5900
164,0,1577800,94900,112700,67600,59000,43300,1280100,5600
165,0,1464200,98000,220300,67200,58300,44400,1058100,5700
166,0,2042000,83700,121800,66600,56600,46100,1724000,5700
167,0,1685600,84800,111300,66800,57700,45300,1405400,5500
168,0,1403800,164300,96600,69200,59200,47700,1056400,5700
169,0,1690400,83200,119400,65300,58900,42700,1402000,5400
170,0,1609000,76200,99600,66300,59900,48400,1337100,5700
171,0,1471400,93300,105900,68500,57600,43100,1176400,5700
172,0,1604900,99100,110900,59700,53600,46000,1301100,5800
173,0,2031400,111600,101900,81800,70700,54000,1706300,5800
174,0,2005500,110200,132700,67100,57100,43800,1667400,5500
175,0,1653600,187700,99500,62900,55900,49100,1278600,5800
176,0,1743900,82900,107700,64500,57800,46700,1461100,5600
177,0,1581300,107700,128200,66800,57400,40700,1254300,5600
178,0,1527600,120000,126400,68500,58400,49400,1133800,5800
179,0,1770900,153100,115600,64600,57700,47700,1406300,5600
180,0,2123600,60300,139000,81100,72600,51400,1824200,5600
181,0,1647800,97100,112400,68000,58200,47100,1351100,5800
182,0,1311200,115000,109700,67900,57500,42700,984900,5800
183,0,1500300,118700,100300,66600,56400,41100,1195400,5900
184,0,1418800,83100,109600,68000,57300,41400,1136500,5800
185,0,1338200,73400,119800,64500,55000,48600,1056000,5700
186,0,1226400,85900,106700,65100,58500,46100,944900,5600
187,0,1701800,121800,104900,67600,58100,42600,1385400,5800
188,0,1740900,87000,131600,63800,56400,40900,1392400,5600
189,0,1250500,96400,112000,64800,56000,41500,951000,5600
190,0,1537500,92900,108100,65600,55000,40100,1219400,5800
191,0,1395700,97700,126900,68300,58000,40700,1075600,5700
192,0,1440700,86900,107800,66900,56700,44800,1152900,5700
193,0,1359300,92600,119800,67500,57300,46500,1052600,5500
194,0,1326800,97800,137500,62900,53300,46400,1004200,5700
195,0,1435200,97200,92100,65200,55800,40000,1128700,5600
196,0,1259600,168500,130000,70200,58600,41500,863500,5700
197,0,1669500,101600,114100,62800,54800,40300,1362400,5700
198,0,1509900,95800,113700,64700,58000,46500,1180900,5700
199,0,1714600,156300,117400,64000,54300,40500,1341000,5700
200,0,1395300,111700,82000,60000,54800,40600,1122700,5400
201,0,1471200,106800,106100,67500,57300,47900,1169900,5700
202,0,1451300,114500,104100,66200,58600,45200,1116000,5600
203,0,1388400,103400,114000,67000,56600,43900,1087500,5400
204,0,1766800,86700,112400,68900,58100,45800,1484100,5200
205,0,1372600,76400,107300,63000,56200,46100,1107300,5700
206,0,1601300,150900,100800,66300,56300,46200,1217700,5700
207,0,1329200,149300,104800,68300,58100,43400,988100,5600
208,0,1477800,124500,106500,66500,56100,43600,1158600,5600
209,0,1321600,84500,106200,67100,57600,46600,1010200,5700
210,0,1228600,109200,101000,61300,54600,46400,927200,5600
211,0,1189900,89700,107800,67900,57900,44100,894100,5500
212,0,1350100,106700,102900,70900,62900,44800,1041000,5700
213,0,1513200,95600,90300,66700,57200,45500,1233100,5600
214,0,1345300,87000,179000,61400,58600,38400,967000,5800
215,0,1251500,100700,105400,64700,58300,46100,958200,5600
216,0,1307300,128300,105200,63700,54500,43100,985900,5800
217,0,1599300,89900,81700,66000,57200,40700,1338400,5600
218,0,1520800,87100,107400,67900,57700,44500,1206200,5600
219,0,1475500,79900,97500,61000,58000,49100,1203200,5600
220,0,1530600,100200,109600,74500,55500,43400,1224600,5700
221,0,1950000,202600,118400,68900,57700,43900,1536100,5700
222,0,2256200,99000,121700,66000,56700,47200,1946200,5800
223,0,1972800,156200,103300,67700,57400,47200,1623300,5600
224,0,2090900,92300,93600,65700,56800,54000,1817700,5500
225,0,1393800,77100,111600,66700,57300,46200,1117200,5700
226,0,1691100,92900,101300,80600,77900,71400,1370700,5700
227,0,1817900,116500,113700,64800,57800,44700,1503700,5700
228,0,1551800,80000,100600,60200,57300,49000,1292200,5800
229,0,1607600,100800,89900,77800,55600,41600,1316700,5500
230,0,2154000,130200,111100,81900,70400,54900,1805000,5700
231,0,2091400,100000,103600,66900,58200,48500,1794800,5800
232,0,1467600,95300,125400,67700,55600,41700,1141400,5800
233,0,2131500,149300,101900,67200,56800,45500,1777600,8000
234,0,1805000,98200,129200,64200,57900,42000,1482500,5800
235,0,1710600,130500,106400,67600,58800,41800,1383200,5500
236,0,1752600,120100,98200,64300,58000,46900,1441500,5600
237,0,1705700,115500,119500,66400,57300,41200,1375000,5600
238,0,2433900,119800,111700,65100,58600,50800,2061900,5400
