tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
0,0,2671800,182300,171400,268800,86100,253200,1861700,34200
1,0,2643400,116700,108100,68400,61600,57100,2317600,16300
2,0,2069800,112200,143600,54000,45200,41600,1718900,11100
3,0,2174500,97500,102600,76200,54100,65400,1873500,10500
4,0,1977600,185800,143000,60200,51400,46900,1558800,10500
5,0,1935700,89500,99500,74500,66200,45300,1637800,10700
6,0,1412900,107400,120800,55200,49200,47400,1100200,10800
7,0,1131100,77200,93800,61600,50900,50900,874400,10300
8,0,1015400,92000,107800,53600,45100,43900,732100,10600
9,0,1198200,83500,86400,58100,49200,41500,941300,10800
10,0,931200,78400,91700,63600,48700,53900,629100,14900
11,0,1838200,72000,89700,60900,45800,51600,1586200,10500
12,0,1380800,127100,94300,57800,51300,44200,1076200,10200
13,0,1295600,93000,87800,56900,51100,45900,1028200,10700
14,0,1275100,96100,95200,68000,51500,57000,988000,10500
15,0,884900,87800,92300,55400,47400,42400,622000,10600
16,0,893700,128000,104700,58300,50300,46900,567400,10700
17,0,842100,78900,108900,56500,52900,50100,559200,10400
18,0,899200,87800,93800,61500,45900,52000,614400,10600
19,0,1361600,81900,87700,54500,48400,41000,1071900,10600
20,0,1238500,100000,90500,58300,49100,48100,961600,10400
21,0,1357600,85100,92800,54900,47800,45100,1097200,10500
22,0,1159300,81600,85000,56700,48400,50600,886000,10400
23,0,733100,110200,101600,54700,47000,45200,443300,10700
24,0,800900,78300,110100,56200,49200,45500,533100,10200
25,0,889200,90000,88600,55500,48700,45600,630800,10800
26,0,582200,104800,92400,54000,45100,45600,308300,10600
27,0,1495500,75900,99000,55800,48200,45300,1244600,10400
28,0,1123000,77100,96600,55900,46400,49300,856400,10700
29,0,1356200,73800,89000,57700,51200,49000,1101400,10400
30,0,984400,96100,74400,54400,50700,45800,727000,10600
31,0,910100,81900,83400,59800,52300,43200,652800,10400
32,0,835000,72300,86900,51800,48400,44200,593100,10700
33,0,935800,73400,90800,59600,53300,42600,681100,10500
34,0,668800,110700,78000,53300,46600,43200,372500,10700
35,0,1612100,91400,76700,53500,47100,41600,1362600,10700
36,0,1209600,83600,83000,55800,48600,49500,956200,10600
37,0,1305600,199900,80100,55800,48900,47600,939300,10400
38,0,1939400,71000,77200,71400,50500,64500,1662800,13200
39,0,1615200,72200,70900,55800,53500,46800,1381100,10500
40,0,1081400,76000,78900,55400,48500,48800,847600,10500
41,0,859100,95400,70200,53900,46200,42600,609200,10600
42,0,956300,70000,77800,53400,48900,47900,729800,10600
43,0,3464300,84000,76700,57200,44500,46500,3213100,15000
44,0,1477400,180600,89600,57400,48700,46700,1122400,10600
45,0,2091900,81000,81800,62400,51200,52700,1839100,10700
46,0,4457300,101200,99300,71400,51500,60200,4128100,14900
47,0,1755800,79900,93600,59800,49900,51400,1498600,10500
48,0,1193400,76500,86000,63500,49000,53100,943700,10600
49,0,1216800,87000,94600,56700,47300,47400,950400,10800
50,0,1194800,73500,86700,53300,44900,47500,953900,10200
51,0,2065700,108600,88500,52400,46200,44600,1786500,10700
52,0,1586800,173600,75900,54600,46900,42900,1250100,10700
53,0,2685400,95100,84800,60000,49000,52400,2410400,10700
54,0,2474600,151100,96400,67600,50500,57500,2125900,10600
55,0,2533800,78500,111500,63600,57400,45800,2246500,10900
56,0,1602200,86100,105300,53100,46800,47200,1323100,10500
57,0,1578800,100600,106200,54800,44400,46900,1282500,10600
58,0,1361000,92400,101500,53800,46100,43900,1031800,10700
59,0,2282300,94100,95500,66000,57000,54400,1989500,10700
60,0,1513300,81800,96200,50600,45700,42100,1259300,10300
61,0,2616800,74800,91300,54900,48600,38900,2374100,10300
62,0,1885400,89500,92200,70600,61400,58300,1607700,10600
63,0,2073700,123000,93000,60000,48100,51700,1772900,10600
64,0,2038600,109500,101900,57100,48000,49500,1746300,10200
65,0,1552900,80500,98800,62400,46600,51800,1283900,10400
66,0,1213600,106400,106800,55200,48900,47000,917700,10800
67,0,2316000,92500,92800,75800,51000,61600,2027400,10800
68,0,1765500,105000,105800,64200,50400,47400,1463500,10300
69,0,1892700,98100,104200,67900,48300,57500,1591900,10600
70,0,1685400,77200,108200,54700,48300,49900,1388800,10500
71,0,1546500,78200,101600,73700,53400,67800,1263400,10600
72,0,1601200,109900,94500,69200,48300,58800,1301500,10800
73,0,1553600,83200,107700,49800,45900,41200,1280400,15400
74,0,1117900,102000,94300,57000,47700,45900,838800,10600
75,0,1340600,76000,88800,55000,49700,47200,1093300,10500
76,0,1232800,89700,88500,54800,46600,46400,970400,10400
77,0,1319600,72600,101800,54300,47900,46400,1057100,10400
78,0,1497400,115700,92000,58200,50800,48100,1170100,10600
79,0,1187500,82200,94000,52600,46500,42300,920600,10400
80,0,1162300,88600,99000,52100,46100,42000,895900,10900
81,0,958900,69900,95000,60700,46600,51200,706700,10600
82,0,863400,76300,92000,51100,45900,41500,596400,10200
83,0,1200000,118700,95700,59100,50400,48200,902400,10500
84,0,1217200,72700,96700,51900,48700,45600,972900,10700
85,0,1206200,73700,101800,51300,48600,42000,956000,10600
86,0,864000,88400,90800,57500,48700,50200,605500,10400
87,0,1120500,74500,101700,57200,48300,47000,866600,10500
88,0,1200500,99200,93000,55900,47500,45800,929900,10400
89,0,1044300,72400,104300,63100,47800,52400,772800,10600
90,0,947200,79300,81800,52200,44400,45300,700000,10600
91,0,963800,102400,91000,55700,48000,45100,684400,10400
92,0,1094200,73500,88100,56600,48900,49700,839600,10600
93,0,960300,98000,93600,58700,49900,49100,680800,10600
94,0,851900,91800,85600,56500,50200,45000,569000,10400
95,0,1057300,74700,97700,59800,52800,38600,796400,10500
96,0,889100,71700,107200,52700,46100,34900,626300,10700
97,0,774300,76800,103400,66000,48200,56600,497300,10700
98,0,1268200,88400,84500,54200,48300,46800,978600,15100
99,0,945900,103500,89200,53000,46300,41300,665000,10400
100,0,794000,90200,96700,58400,49900,48300,521700,10700
101,0,1115500,82000,96000,52700,44200,47200,854600,10700
102,0,811100,78100,94300,52700,46100,45800,558700,10800
103,0,905500,87400,103800,51800,45800,41400,634400,11000
104,0,984100,258200,84000,58300,48900,44300,558000,10600
105,0,2809500,177400,72600,69600,47800,58700,2463100,10700
106,0,2705200,100700,97800,57500,50700,48200,2392000,15000
107,0,1529300,72800,97300,57100,48300,50100,1279300,10500
108,0,1282500,148500,86700,57400,49400,46700,966600,10700
109,0,2015700,80700,91200,54900,44300,48300,1761500,10700
110,0,1452400,72700,97400,55600,49000,46300,1197400,10300
111,0,1349200,80800,99300,67200,48700,56500,1072300,10600
112,0,1199600,111800,93400,57400,51400,43900,906200,10600
113,0,2795000,85800,94700,66000,59600,57300,2513500,10500
114,0,3023500,85300,97900,87100,67400,75200,2715500,15200
115,0,1756300,86000,120400,53100,46800,44100,1462300,10600
116,0,1351400,100500,96800,58300,49700,47700,1060700,10500
117,0,1831900,71100,111300,62200,50000,52200,1552600,10600
118,0,1311800,73200,89700,53900,48100,50900,1010500,10800
119,0,1684300,92400,102900,54200,50800,46000,1395900,10600
120,0,1043900,71300,90600,63200,48000,54500,794400,10700
121,0,2669200,117700,109600,67100,51100,56100,2350900,10600
122,0,3176600,87200,110800,63500,57300,43100,2888900,11500
123,0,1906900,89700,113000,56000,52900,47300,1622900,10800
124,0,1806200,131200,109600,69200,49200,57500,1463300,10500
125,0,1969500,192700,103300,55200,46200,44000,1586800,10600
126,0,2170500,129300,111400,71100,57900,46600,1829200,10800
127,0,2653800,109000,120500,60600,46000,51500,2328500,15200
128,0,1605400,92000,98100,57900,48300,47300,1328100,10400
129,0,1957100,91500,100800,58300,48700,47800,1675800,10500
130,0,2452600,85900,104600,67300,59300,59300,2124900,15100
131,0,2554500,123400,136600,55500,49300,43400,2206400,10700
132,0,1577500,83300,101900,54000,44800,44500,1310600,10400
133,0,1578900,68700,99000,58100,46300,49100,1327700,10300
134,0,1796900,88900,110200,83100,46300,45200,1486300,10500
135,0,2079500,91500,111800,100600,47100,48600,1737800,14900
136,0,1014700,83000,104600,55800,49900,49100,733700,10700
137,0,1784600,75500,94600,52900,49700,45800,1523200,10600
138,0,1933800,81400,92100,63700,57000,45100,1633800,10700
139,0,1706000,92000,102000,53000,44700,44900,1417200,10700
140,0,2201100,89900,86200,59400,46000,51400,1932400,14800
141,0,1121000,81200,125700,60900,44200,51200,824800,10700
142,0,1620300,109000,87000,58100,50400,48200,1314400,10600
143,0,1406200,82000,105800,51900,44400,42000,1142700,10700
144,0,1051200,83700,87200,52500,50400,46800,804400,10700
145,0,1816300,82900,97500,61900,54900,40800,1550700,10500
146,0,1407100,89300,96400,53000,45800,43200,1144500,10500
147,0,1720500,82200,106400,55200,45900,48600,1455200,10300
148,0,1270700,78800,108700,56300,48900,46000,995600,10700
149,0,1734900,108200,104700,56000,48700,45400,1432500,10300
150,0,1292600,78400,115700,67800,54200,56400,993800,10500
151,0,1342600,83200,109500,52400,46100,42600,1063700,10800
152,0,774200,94400,96200,61300,49000,49500,493100,10300
153,0,1936200,84800,131300,63800,49400,52700,1618800,10700
154,0,1381000,129500,156500,60400,50900,43300,980700,10500
155,0,1784500,69300,95400,71900,50000,61900,1517900,10600
156,0,1220300,86600,102500,56100,48200,49800,939100,10600
157,0,1615200,79100,78800,53200,48400,47300,1371900,10600
158,0,1458500,110600,191100,54800,48400,45900,1045000,10700
159,0,1226100,81800,78300,52500,46300,45800,975700,10300
160,0,773700,74000,85300,48300,45600,38500,538300,10600
161,0,1658300,82400,91500,56100,47400,49000,1397200,10800
162,0,1263100,72900,99100,59600,44500,50000,1007300,10000
163,0,1476900,74400,75100,51400,48200,40900,1248500,10400
164,0,1247900,193500,84700,53100,46000,42100,888500,10700
165,0,1636400,84900,81300,59000,51800,43800,1385200,10600
166,0,1379700,94300,86900,52800,46500,43600,1094900,10400
167,0,1167500,73600,101100,54400,46200,46000,914100,10700
168,0,915200,69900,85700,53500,49700,47200,682300,10300
169,0,1757700,70000,80500,54800,48700,46800,1529100,10300
170,0,1412900,102200,79200,59600,52500,47500,1141000,10600
171,0,1659300,93200,83900,52700,46800,43400,1398900,10600
172,0,1297600,212400,92100,58000,49400,46800,900900,10500
173,0,2166900,117100,81900,69100,59500,59400,1867500,10100
174,0,1405700,62300,105500,58600,49200,41700,1149800,10900
175,0,1511300,74400,90400,66400,51300,56300,1247300,10700
176,0,1344300,102800,96100,58800,48500,51100,1051200,10700
177,0,2039500,69500,95700,50500,44300,43800,1789700,10400
178,0,1506400,69700,93900,59800,48800,49600,1200400,10500
179,0,1559000,74300,99100,58100,48800,42200,1293500,10300
180,0,1386800,74200,105700,55400,48900,45800,1127900,10600
181,0,1762700,78000,97300,52600,46100,42800,1511100,10600
182,0,1447700,109900,134300,56100,45900,44700,1126000,10500
183,0,2271700,102900,105800,68600,60900,57600,1963800,15200
184,0,1201700,97200,101500,57700,48700,43300,917800,10800
185,0,2238100,80600,96100,57500,48300,51100,1973200,10500
186,0,1728200,80300,101000,61100,49700,51200,1452400,10500
187,0,1962800,85100,95500,55700,46300,49300,1701700,10500
188,0,1327600,78400,93800,56000,47700,41500,1068500,10600
189,0,1383200,130700,84800,53200,46200,42300,1083500,10900
190,0,1129500,135800,98400,57500,48000,46900,779200,10500
191,0,1227800,77600,102800,57100,48500,49800,960100,10600
192,0,1176300,96400,91800,53700,46100,43600,904500,10500
193,0,2032200,102900,100200,60500,48500,50300,1740600,10500
194,0,1646900,73200,90500,54000,44500,47400,1402400,10700
195,0,1626600,84000,104300,57900,48500,47500,1351900,10300
196,0,1460800,77200,83700,57000,48500,49800,1208000,10900
197,0,1149000,95000,101900,54900,49100,42800,858900,10600
198,0,1309700,73500,90800,59500,44200,49600,1026200,10600
199,0,1093400,76200,94300,53900,46500,44800,828000,11000
200,0,1624400,80300,78400,63300,50200,53400,1376000,10700
201,0,1838400,82300,100000,55500,46400,46100,1576900,10500
202,0,2158700,77700,91900,77000,52900,69900,1854700,15100
203,0,2296700,92300,125500,59800,56800,47600,1994500,10600
204,0,1419700,116100,110200,54600,48000,42400,1117900,10300
205,0,1507600,76300,104800,50200,45600,43600,1252500,10500
206,0,1035900,81700,88800,57000,48000,40900,784200,10500
207,0,1215400,71100,89300,55200,48700,44700,977100,10600
208,0,1271500,100300,92600,55400,46000,36900,996600,10900
