tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
0,0,2600600,174400,182700,162600,71500,144600,1917800,2400
1,0,1832700,85600,127600,49100,42700,29500,1544100,200
2,0,1733400,113200,112200,51900,44100,33700,1441900,100
3,0,1558000,123900,110900,51100,41500,33000,1258400,200
4,0,1359700,80200,117500,49000,40600,25500,1096800,200
5,0,1408300,69000,96500,50600,42700,30200,1171400,200
6,0,1381100,117400,102100,48000,38300,27100,1095000,200
7,0,1484700,78000,93300,46500,38400,27700,1248900,100
8,0,995900,76600,88700,150400,38100,140900,663300,100
9,0,1044200,67900,102600,41000,38300,31600,815300,200
10,0,979100,79100,102500,46900,44300,42500,702000,100
11,0,1675200,71400,88600,43000,37100,26100,1430900,200
12,0,868600,102200,96500,45300,36200,25900,604300,200
13,0,1175600,90300,96200,174900,166300,26300,796400,100
14,0,1238000,60400,107600,41100,38100,30000,1006900,200
15,0,1202500,71000,109900,48400,42400,25600,946800,200
16,0,1058200,81200,168700,53500,41900,29400,736900,200
17,0,916000,200600,123500,51000,41500,31000,518000,200
18,0,1444400,108800,113200,46700,37900,26200,1153800,200
19,0,2287500,86000,102500,67400,51700,35200,2002700,200
20,0,1822200,92900,118300,47600,37800,29100,1472800,200
21,0,1082400,74600,106700,57900,40300,27400,825700,100
22,0,1631600,91200,111500,60000,41700,28000,1327300,200
23,0,1536300,140900,99800,50400,37900,28600,1230600,100
24,0,1753100,98900,107200,46300,37500,27900,1487100,100
25,0,1652800,113700,101300,59200,47200,28100,1364700,100
26,0,2050100,107600,91300,49500,39600,29900,1789000,100
27,0,2067800,82000,92400,47700,41100,36000,1832100,200
28,0,1559400,72500,106200,45600,39400,28800,1318900,200
29,0,1443200,98000,107900,47600,38200,26200,1171100,200
30,0,1587100,72500,100400,41700,38900,32000,1351100,200
31,0,1158100,81000,99100,40900,38100,29000,914000,100
32,0,1373500,90900,105700,52200,41300,33600,1101900,100
33,0,1318800,79500,87500,47800,38700,28500,1082600,200
34,0,1813800,81600,99000,43400,40600,32100,1545700,200
35,0,1521300,113400,98400,47900,38300,27900,1240700,100
36,0,1500300,81900,105100,45600,39800,27400,1250400,100
37,0,1458100,96800,103500,54200,40300,27500,1183400,100
38,0,1723200,72900,107200,41300,38200,30900,1483100,200
39,0,1398500,67900,107200,50300,38500,27300,1127700,200
40,0,1637100,64100,107600,46400,40000,29400,1387900,200
41,0,1699000,107000,97100,45500,38900,28700,1432800,100
42,0,2192100,92300,87800,55700,48200,32100,1940100,200
43,0,1652500,72900,121000,47400,41300,34400,1397400,100
44,0,1615700,70600,135000,44300,37900,31200,1346200,200
45,0,1662300,82300,107300,48400,39100,28900,1406600,200
46,0,1402700,82100,109100,44100,40500,33700,1129500,100
47,0,1335300,81100,94900,50800,41700,32600,1096200,100
48,0,2169700,81800,99000,57500,50100,36200,1917900,200
49,0,2312600,80500,100400,63800,39300,27700,2054300,200
50,0,1851800,83000,119800,46100,40100,34500,1587100,100
51,0,1361800,65700,87000,43600,40100,30900,1144600,200
52,0,1678900,100800,161000,47500,37600,28900,1349400,100
53,0,1380600,71600,88200,56700,39000,34800,1136600,200
54,0,1335000,79000,98700,46100,43600,41900,1086900,200
55,0,1261200,130200,83300,49200,39500,28900,979600,200
56,0,1954500,107400,95200,45300,37400,34100,1686300,200
57,0,1667600,95700,103500,54000,47200,28500,1394200,200
