tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
0,0,4216700,214800,177600,171600,79300,155600,3464000,44800
1,0,1921800,97100,107300,72600,65400,47000,1612400,18100
2,0,1889900,111000,101000,63300,53700,40700,1574900,18100
3,0,1744200,118400,95800,60800,51000,40600,1437000,17900
4,0,1632100,87900,77800,65600,55200,42400,1367100,18100
5,0,2275800,201900,100700,76200,65500,52600,1857300,18100
6,0,1631400,73300,90400,60500,54200,36900,1360700,18000
7,0,1714500,106200,98600,61200,50900,41800,1414100,17900
8,0,1772700,92300,94100,58300,49700,40000,1491300,17700
9,0,1521200,93000,165900,62800,53500,42500,1160900,17800
10,0,1403700,108600,85200,65000,55200,45000,1079500,17900
11,0,1549200,172600,89400,62200,52300,39100,1186600,17700
12,0,1583000,90700,78400,61400,51400,41600,1316700,17800
13,0,1650300,98800,78000,64400,54200,39700,1367000,18100
14,0,1418600,80800,79000,64000,53100,41300,1159800,18100
15,0,2229700,131400,93500,64700,54500,45100,1905400,18100
16,0,2214900,124300,85100,61100,52000,40700,1872600,17800
17,0,2049000,99100,74900,60600,53700,42500,1771400,18000
18,0,1915800,125200,78400,66400,56200,48300,1590500,17800
19,0,1764800,111100,89900,66600,56000,43900,1427500,17600
20,0,1601400,80800,64400,59600,53500,40500,1359000,17800
21,0,1967600,123900,76300,61500,52300,40800,1672300,18100
22,0,1486700,109500,83100,61800,52700,42000,1175800,17800
23,0,1368600,93100,90400,65900,55300,42300,1087600,17900
24,0,1699700,93700,89300,64300,54400,45800,1422400,17700
25,0,1570800,103500,66200,60500,52300,42000,1313400,17700
26,0,1515600,90000,77200,58700,50900,39100,1263200,17500
27,0,1639300,179900,73800,65500,54600,46400,1289400,17800
28,0,2609300,118900,77400,63900,53400,44700,2305400,25900
29,0,1556200,105000,65100,63200,53600,40700,1281500,18100
30,0,1474100,92300,87300,63100,52900,39600,1189900,17500
31,0,1464300,74500,96000,71100,64400,41000,1136800,17800
32,0,1847100,112300,92100,70200,59200,39800,1530800,17900
33,0,1319400,96800,75800,62700,52200,39000,1047200,17700
34,0,1551900,87000,94000,67600,61000,38000,1240200,17900
35,0,1633600,90900,94200,88400,55700,43100,1326200,17900
36,0,1684400,124600,113200,67000,57500,48000,1339800,17700
37,0,1719300,129300,103200,65000,54400,45100,1383300,17800
38,0,1583200,106900,87100,61700,52500,39500,1257500,18100
39,0,1268800,89200,85000,58600,51000,38700,994500,17700
40,0,1263000,85900,89500,59700,52500,38400,993900,17900
41,0,1249900,103200,75500,65000,55100,38900,968400,18100
42,0,1295300,102800,79500,60900,51700,42100,1016000,17700
43,0,1826100,166300,70600,65100,54700,43100,1488400,17900
44,0,2660800,130100,80000,62200,52800,40400,2342400,25600
45,0,2035600,103000,72000,75300,64800,48200,1751800,17800
46,0,1815900,96200,113000,62100,52700,39200,1491000,17800
47,0,1747200,82000,61500,58700,52500,41800,1514400,17600
48,0,1583300,98800,88400,62200,53200,39100,1306600,17800
49,0,1330500,93800,86200,67100,56300,39500,1046900,18000
50,0,1322100,76900,75300,66700,60700,60800,1066100,17800
51,0,1566500,153600,90300,62700,52500,41300,1179800,17600
52,0,1419500,98800,69400,64500,54900,39300,1148600,17900
53,0,1704900,119400,77200,62300,53000,38600,1404300,18000
54,0,2692800,117400,74200,75300,65000,47500,2374500,25700
55,0,1736500,102600,79700,62000,52300,42600,1455200,17900
56,0,1675500,90000,82800,62800,54100,40500,1399300,17700
57,0,1686200,135700,78700,63100,54400,44000,1370000,17800
58,0,2226000,123200,70200,59300,53600,46700,1883400,18000
59,0,1192700,64800,87200,62500,55800,52100,933200,18000
60,0,1478200,85200,74900,62300,53600,38000,1221300,17800
61,0,1053500,95500,74200,63200,53900,36100,789900,17900
62,0,939400,96600,78000,60300,50900,36000,673000,17800
63,0,964100,97700,87700,61600,52400,36300,688900,17400
64,0,980700,74800,74300,58000,52700,36500,741500,17900
65,0,1163900,75600,68900,61900,55000,42300,921700,18000
66,0,988600,92100,71500,63300,54300,39200,726600,18100
67,0,1006700,78500,72000,57500,54500,43800,764500,17800
68,0,1101700,196900,77200,65200,55000,37300,729700,17700
69,0,1355600,97100,74000,64500,55100,41000,1081400,17700
70,0,1253300,90900,76700,58900,52800,39500,960900,17800
71,0,1317200,110000,77300,63600,53900,41700,1028400,18100
72,0,1700000,88000,89900,59700,52600,40900,1426700,17700
73,0,2037400,126200,95600,97000,58500,52000,1679800,17700
74,0,2517200,161500,111300,63500,54900,39600,2141500,18100
75,0,1869100,107400,91500,63400,54200,39000,1576500,17600
76,0,1788600,112500,92900,64300,53100,51800,1476900,18000
77,0,1640800,85400,79800,60900,51400,39600,1360300,18100
78,0,1438000,114800,91700,60500,50800,39400,1103400,17700
79,0,1496600,100400,75400,62300,53100,41100,1203500,17800
80,0,1278400,99600,82700,59900,51100,37900,999200,17500
81,0,1860200,99600,78600,65100,54900,37300,1585400,18000
82,0,2293900,97600,90600,63500,52900,38800,1983000,18000
83,0,1904800,92500,90600,63300,52500,39400,1626700,17700
84,0,1654200,154500,89700,62400,52500,38600,1317800,17900
85,0,1552000,96800,85300,61800,52400,38100,1276800,17800
86,0,1481300,99100,87700,64100,54700,44800,1198100,18400
87,0,1436900,115600,70200,63000,53300,38300,1157600,18300
88,0,1523200,118400,87300,60300,54300,46900,1221700,17700
89,0,1611200,82600,104500,61400,52400,40700,1321600,17900
90,0,1195000,86100,90500,60700,51900,42500,916700,17900
91,0,1675600,93400,70300,60300,52300,38100,1410600,17600
92,0,1893000,100200,136300,62500,52900,40900,1552100,17900
93,0,1745800,113400,91400,64100,53500,41200,1438000,18000
94,0,1998100,126700,97000,62800,52800,41600,1641300,17900
95,0,1771400,123100,87100,64200,54600,44000,1463900,18000
96,0,1394200,89500,81200,62800,52700,40800,1119700,18000
97,0,1472300,76500,119500,61000,52300,38600,1176100,17700
98,0,1219800,90100,90200,64700,54500,42400,909300,18300
99,0,1147000,83700,98300,56000,52400,45000,867400,17600
100,0,1749600,163600,89900,61800,51800,39100,1399800,18300
101,0,1799200,87600,71700,62800,52700,38900,1539000,18200
102,0,2433400,123800,86100,62300,52900,40900,2119200,17900
103,0,1857700,122200,80800,62500,53700,38300,1557300,17800
104,0,1433700,92800,80400,60700,52300,41000,1164200,18000
105,0,1414300,74900,80100,58100,52400,38700,1172200,17900
106,0,1258800,83500,83600,62100,52500,39500,975100,17700
107,0,1388000,91100,87500,61300,53300,42900,1109000,25200
108,0,1440500,105900,75700,64700,54800,44300,1145500,17900
109,0,1466700,95300,80600,61400,52700,42500,1193500,18000
110,0,1215800,124000,73600,62700,53800,38800,919700,17800
111,0,1470300,113700,94200,62800,52500,38800,1162300,18000
112,0,1588600,77700,103500,63200,53100,40000,1305300,18200
113,0,1484100,104400,93700,65500,55400,43000,1178800,18100
114,0,1309000,93400,82900,61500,52300,38700,1030000,17800
115,0,1278100,100600,71400,60600,52400,40700,1012300,18000
116,0,1113800,91100,86800,58500,52300,39100,833900,18000
117,0,977800,79000,69500,65900,55500,45300,722600,17900
118,0,1359200,92000,63300,60100,51700,38100,1055000,17600
119,0,825700,81000,77300,61500,55100,43000,566300,17700
120,0,2387300,134800,72200,66700,54900,40900,2082200,17600
121,0,1521700,99100,71900,63500,53200,40200,1255800,17800
122,0,1376900,84000,75200,59900,53100,38000,1125900,17800
123,0,1417700,99000,65400,62000,52500,42000,1159500,17900
124,0,1046600,94600,83600,65100,55000,45100,769700,17700
125,0,1074900,82800,78900,59800,53300,39500,815500,18000
126,0,1009300,94900,68400,65100,55100,45400,744200,17900
127,0,1075400,114800,55500,63200,53500,37700,806000,17900
128,0,1283800,146400,70900,64500,54400,40700,964900,17900
129,0,1253500,82700,73200,59200,52300,37100,978900,17900
130,0,1596300,97200,68700,64100,54600,41600,1303000,18200
131,0,1725900,92900,81200,65100,55500,41800,1449000,17900
132,0,1463500,81900,58200,61700,52300,40100,1226100,17700
133,0,1767000,107800,75600,63800,54000,42500,1483500,18300
134,0,1453000,101300,121900,61100,52000,37800,1128700,18000
135,0,1202000,84700,52200,59500,51000,38200,977200,17700
136,0,1315300,89600,64000,61200,51100,39700,1059400,18000
137,0,1424100,169900,65700,63900,53300,30100,1082800,17500
138,0,1279100,108600,58100,70200,59100,36900,973000,17700
139,0,1636900,106200,74500,59600,52200,50900,1348400,17800
140,0,1436900,97400,90900,62400,52700,43300,1152100,17600
141,0,1680500,200400,59500,79100,67400,45100,1307900,18100
142,0,1828700,77500,89100,71500,64900,40700,1533500,17900
143,0,1585600,99000,93000,62600,53300,42300,1300600,17700
144,0,1474700,125100,89100,65600,56200,37700,1164300,17700
145,0,1498600,96900,74600,61800,53100,51000,1233500,18100
146,0,1632800,90200,84700,61200,52400,42500,1367500,17800
147,0,1865500,131900,78800,62000,53500,49500,1564300,17800
148,0,1845600,111900,85600,64900,55200,45700,1549000,17800
149,0,1840400,101700,86200,62900,53000,39100,1549700,17600
150,0,2093500,138400,84900,69500,59300,43700,1757500,18000
151,0,2122800,117500,88300,58000,52200,39800,1816600,17600
152,0,1902200,89700,141000,62200,52900,44400,1567900,17900
153,0,2221500,153000,96700,60400,53400,48300,1872700,18000
154,0,2100200,92100,127000,62400,52800,41400,1741100,18000
155,0,2118100,99500,89300,63600,53100,43200,1823100,25800
156,0,1219000,76100,130200,63900,53000,41000,910700,18000
157,0,1760700,160800,71400,64300,53600,42900,1426200,17900
158,0,2143800,117700,95800,69600,59800,41700,1796300,17600
159,0,2099200,98700,102000,63500,52800,43500,1789800,18200
160,0,1852600,104900,111300,63000,52500,39900,1539600,18000
161,0,2048800,105400,93800,58900,52700,39600,1756300,17400
162,0,2083200,119600,97200,78300,67300,50000,1749300,17900
163,0,2005400,99700,121100,62500,52900,39300,1683500,17800
164,0,1606900,84100,104600,59800,53100,43300,1320000,17700
165,0,1632500,104200,106000,66100,55400,53300,1322600,18000
166,0,1516300,96800,100600,62100,52900,39900,1194200,18000
167,0,1671400,126000,85800,73000,63200,47500,1356800,18100
168,0,1773100,107300,129700,62900,53200,38800,1441700,17900
169,0,1511000,96600,113800,62900,52800,41500,1200600,18000
170,0,1965900,115100,108100,63000,52800,41100,1641100,17900
171,0,1900100,107200,121300,66300,55600,48000,1567200,17900
172,0,1688900,102200,123400,59500,52800,41900,1362600,17900
173,0,1879300,195500,97700,63000,53000,43700,1485600,17700
174,0,1741400,144300,125900,70700,51600,39600,1364100,17600
175,0,1811500,100200,92700,64000,53600,43500,1518600,18100
176,0,1770900,118100,112700,74300,64500,50000,1420600,18000
177,0,1713000,92900,141900,63400,52700,39100,1373600,17800
178,0,3557100,229200,108100,74800,64900,64700,3044300,25700
179,0,2189700,111500,114200,63600,56400,48200,1855300,18000
180,0,1902800,96400,109300,63500,52900,39700,1601900,17900
181,0,1784900,126200,114900,62100,52600,41400,1451800,17600
182,0,1472500,104300,118200,62000,52500,40400,1157000,17800
183,0,1695300,138400,111100,62200,52900,39200,1351500,18000
184,0,1221000,85900,89400,64100,53500,40900,947200,17600
185,0,1285000,121500,106200,61300,52300,39600,948900,17800
186,0,1330600,111400,89700,62300,53800,41100,1029900,17700
187,0,2145800,123000,102200,60200,51900,39600,1829000,17400
