tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
0,0,2364500,303200,110100,297600,93200,280900,1511600,2600
1,0,1388000,107300,44300,78400,49000,68500,1142100,200
2,0,1708700,174100,67600,82500,47300,71800,1371500,200
3,0,1308200,133000,45600,74700,48000,65000,1043100,200
4,0,1317000,162200,46800,74000,46300,63400,1019300,100
5,0,1459900,127100,45500,80700,49500,69100,1185500,100
6,0,1114000,113300,40800,74100,48400,61400,865300,200
7,0,1421200,134300,75600,94200,49400,82100,1097500,200
8,0,1036700,130900,61300,72100,47900,62600,750100,200
9,0,1554700,116100,54100,77500,48300,66200,1283800,200
10,0,1375600,107000,49300,74200,47800,62900,1086600,200
11,0,1260200,102700,90300,73400,48700,63400,972700,100
12,0,1312400,172900,59600,103200,47200,79300,956500,100
13,0,1402800,163700,57000,75200,46500,63600,1091000,200
14,0,1361800,119600,51900,71700,48600,61100,1102400,200
15,0,1449400,167100,49400,76900,49100,64900,1136200,200
16,0,1276700,123600,53300,76800,48800,65900,1004200,200
17,0,1442100,107900,58500,77300,49300,66300,1171500,200
18,0,1458200,155700,79000,76400,48400,65200,1103200,200
19,0,1496100,111900,63900,92200,48400,79900,1180900,200
20,0,1269100,139900,58300,67400,49800,60400,988100,200
21,0,2433400,116400,65100,92000,49600,80600,2142600,200
22,0,1391600,121000,72500,75000,47800,66100,1083600,100
23,0,1171000,102700,53400,79100,47000,68000,922100,100
24,0,1136500,110300,74800,79300,49700,68800,858800,200
25,0,1326600,146500,70400,76600,49100,65600,1016300,200
26,0,1358000,100200,60100,73700,49700,63400,1111500,200
27,0,1538400,128800,103800,87700,49000,76500,1205300,200
28,0,1318900,105800,63800,78400,49500,67500,1053900,200
29,0,1165000,115600,66700,162000,151700,78100,797100,200
30,0,1297900,98500,81900,76200,48600,65500,1017000,100
31,0,2091100,113600,55700,72200,47300,62200,1822300,200
32,0,1211200,117000,96700,76000,49300,65400,905500,200
33,0,800400,96300,60400,91200,46300,79800,532100,200
34,0,1372500,113900,64000,77600,49100,66100,1074000,200
35,0,881900,146200,61500,68400,48900,58800,586500,200
36,0,1148200,99300,61600,71300,46800,61300,899700,200
37,0,1036500,140700,58600,76600,49200,66800,708300,200
38,0,1270300,97800,73800,73500,48900,64600,981100,200
39,0,1036100,99600,52600,77100,48800,67800,781800,100
40,0,1064200,135300,59300,77100,48900,66600,776700,100
41,0,2093000,112700,58600,73600,47500,64100,1823100,200
42,0,2607000,133600,68300,76500,49100,65000,2307400,200
43,0,969200,108100,44400,69500,47100,63200,732100,100
44,0,1151800,139300,54500,75300,48500,64900,868900,200
45,0,1001400,124500,55400,69400,45100,59400,734900,200
46,0,1084000,106800,53400,77900,47900,68700,808200,100
47,0,929800,125800,55800,69600,48500,59600,668200,100
48,0,1248300,128700,62200,71000,48900,59000,973200,100
49,0,1144800,98700,57300,65400,46700,59000,903300,300
