fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
29_the_end,0,1218310.5301298846,75353.4143486259,63688.784213166844,60833.72540275378,51351.061932103235,48626.077261831764,996449.0328334912,166.05161937677684
29_the_end,1,1235654.2895367634,77173.5325268967,64914.39322147277,60772.22253191371,51147.94581637772,48717.269635988625,1010631.6684319081,163.87201070293773
29_the_end,2,1217709.90579185,74374.94843636769,62735.94960700151,60970.879090250295,51447.1096493673,48755.11455488043,997310.7308099671,164.98690005017002
29_the_end,3,1217344.4673616143,75938.80929817716,63926.25564412732,61008.562350186745,51692.34628463125,48733.998550643846,994492.3184123975,162.42822899827192
29_the_end,4,1234922.98901834,76382.7192151179,64762.483973465634,60948.66492000669,51246.05050448743,48896.365460728026,1010666.6703829645,162.18852778861697
29_the_end,5,1224654.4511957187,76528.45755058811,65172.18908523329,60731.55136852667,51492.9706226657,48274.18473716483,1000006.3715926195,165.44957912927143
28_erichteia,0,1435359.9977702212,109145.00250850103,60709.74970734154,113664.81409220136,55251.530185629075,101257.86275712136,1127353.0185629076,157.48369474329672
28_erichteia,1,1426478.9508891243,108093.80121522938,59629.23797313117,113213.96398907408,55277.445788505494,100820.51396398907,1121097.7312001784,167.28357210546852
28_erichteia,2,1424789.1131055243,109498.59523942249,59681.821729193376,113636.60181726963,55493.689726294666,101183.63342438263,1117884.0961034617,166.30246947990412
28_erichteia,3,1431772.2504041474,108510.7140866269,59475.3665198729,113883.66129661631,55249.6683204192,101536.18373376442,1125743.8541724733,172.52912648419644
28_erichteia,4,1442626.177601873,108048.63147332627,59587.931322816214,113924.20424772841,55737.69440882992,101439.2162327889,1135714.4266681531,163.62116059981048
28_erichteia,5,1437784.664697029,109820.79826077262,60264.713752160096,112647.59462623335,55623.51301633313,100279.21846256759,1130434.2549751936,163.71035174758904
27_theflyingcurryfish154,0,1280355.5382128323,127754.77451362953,60649.428619209546,81575.26617983165,50327.77746808629,69410.4966832042,988078.0812754334,177.796978649869
27_theflyingcurryfish154,1,1256224.003567646,125842.33792296115,59988.14872623892,80831.04409387369,49685.63465076091,68752.26601259825,967563.0748648196,167.65706003679134
27_theflyingcurryfish154,2,1258299.5707676013,127040.83839678911,60612.86024862032,80694.57048887898,50016.857126930154,68625.16862701377,967784.4417191594,149.3227047215564
27_theflyingcurryfish154,3,1292265.1987290261,128110.65834215954,60590.43982384748,82420.2575394392,50118.54618429121,70122.76046602374,998799.386810859,164.468476503707
27_theflyingcurryfish154,4,1266911.834550421,126155.62182953343,59819.081331177884,81370.40526227772,49919.64435029824,69193.58381180667,977381.175093372,160.1650036233904
27_theflyingcurryfish154,5,1257665.878811528,125157.57288589107,59589.743018005465,80154.28953676348,49719.81715814705,68057.97982050282,970633.3909359496,167.09961536317522
26_galacta487,0,1762957.149227939,65189.04621216344,138604.15296281845,52044.40604270026,42360.56078934166,41642.58319861754,1483504.2588773065,157.98539494955125
26_galacta487,1,1793667.0550197894,68830.11873571548,144573.50465466303,60057.89620380177,44943.48068454206,48184.31908133118,1495849.9749149897,159.35113439991082
26_galacta487,2,1798695.6519315457,70733.19583031384,146699.91080885223,59954.166898935284,44852.444394893806,48214.83360276493,1497099.9665533195,166.27459724622332
26_galacta487,3,1794686.309158816,70429.57801438207,145885.22214170243,60048.29143207537,45359.44032554769,48213.306204359214,1494362.1773788952,150.37070070795474
26_galacta487,4,1799319.376776855,68913.48458665477,145051.78661017894,59906.13189140978,45149.02725904454,48013.729862311164,1501117.9775907241,145.78293104409389
26_galacta487,5,1799388.126428452,70917.74903840794,145665.8843859747,60183.142873069846,44972.06087295836,48473.12001783823,1498348.3583254362,159.1671776576175
25_mcmayhem57,0,1622997.4636267351,108072.02742627794,90977.83042533029,64071.87691621607,54462.077038853895,42539.23853057584,1318006.9011650593,18333.90935949607
25_mcmayhem57,1,1655085.0493338536,111936.47360499471,94505.12849099727,69309.76085623502,59257.45582250962,50469.30152182396,1336003.104966832,18943.252132225876
25_mcmayhem57,2,1657739.8126985896,113818.95311890295,95650.68844417192,69894.4199788171,59641.914265009196,49787.13417693294,1334715.106750655,18951.457717821508
25_mcmayhem57,3,1664558.3644573276,113243.82072579296,95210.3127264619,69430.9549027259,59207.313674117846,50372.75210435364,1343743.608896817,18450.549083003512
25_mcmayhem57,4,1756702.725904454,115378.84497463626,96625.87658174927,70363.91660627682,59821.16059981047,49425.78181615475,1428959.0947098501,19692.407603545347
25_mcmayhem57,5,1659557.0767601316,111591.82228663805,94094.00746975862,70223.78058977646,59871.16896148057,49375.07107419588,1339463.994648531,18929.260270918112
24_syvkal,0,1515853.960644406,97211.3607224483,106444.49523384804,62381.69909136518,52132.93383131724,35947.00930932605,1207169.2513518033,18813.729862311167
24_syvkal,1,1549406.3548692793,95459.99219577457,105433.2515747812,62072.90261441552,52198.67885612353,36691.24254417749,1243144.957912927,19182.970065221027
24_syvkal,2,1517484.0069123139,97557.7289703997,107100.15051006188,62317.45359273092,52300.51842354646,36616.76793578237,1206989.481019009,19444.98578516082
24_syvkal,3,1514970.6839846144,94760.67785272312,104522.43157366631,62410.48553431072,52618.48486537711,36139.51725291265,1209547.2936061097,19260.159429176656
24_syvkal,4,1518569.3739896314,96327.87780812754,105974.88154300685,62328.329338313175,52427.61580913094,36091.80556329784,1210342.9009420816,19403.4840292101
24_syvkal,5,1516609.88906851,95962.62333463403,105404.4707062824,62108.32264897709,52155.98416857127,35923.044762807294,1209917.475890518,18277.791404203133
23_warbaque,0,1498565.7673225931,101353.65404983556,102377.39004403813,57307.69831094264,47051.46886671498,40179.46373822398,1213463.849712916,159.5239422487318
23_warbaque,1,1505166.2522994592,102476.50928145382,104172.81342326774,57210.00613189141,47050.5323596633,39513.44556552762,1217533.931657283,161.40810524555437
23_warbaque,2,1499959.6744523107,102440.2642287753,103809.61592061988,57296.226099559615,46745.49863426055,40125.33586041586,1212264.7750710743,145.12514632922682
23_warbaque,3,1522230.3974580523,104578.61642232009,105038.93751045209,57120.74809075199,46872.21695746697,39452.08205585596,1231529.9403534199,162.7515469089693
23_warbaque,4,1509069.8868387314,101615.79798205028,103278.42131668433,57229.80656669826,46887.936897262945,40255.2650649423,1222942.2097106862,170.511176765706
23_warbaque,5,1513308.7574558225,102308.69613690842,103807.52550309381,57255.16472490106,47219.30430904733,40383.65014772284,1225610.496683204,153.53141200735826
22_warbaque,0,1492865.7227270193,102722.77718936396,105790.23356931824,57288.21004515302,46899.12481186242,40306.20435921735,1202855.0978315403,161.68682758236244
22_warbaque,1,1498336.339818273,103309.91694074363,107204.80517308657,57101.571993979596,46745.782931044094,40404.78844974636,1206533.6752327331,151.3741011204638
22_warbaque,2,1501621.467194381,101977.28412955014,105727.08066224428,56742.23758291989,46488.92357433525,39766.536596242826,1212980.2330118737,163.89430848988238
22_warbaque,3,1499201.923184124,102738.70338368916,106286.72166787446,57058.069011650594,46894.65410558002,40038.94865934556,1208506.1764869837,163.11388594681978
22_warbaque,4,1531216.5839790402,104200.17838229556,107048.68721779363,57442.93996320865,46955.933998550645,40561.85963543118,1237734.1602095992,159.06683761636657
22_warbaque,5,1503448.3973465634,102043.28557890629,105272.37861642231,56835.41446011484,46908.76303026925,39808.04392664028,1214311.0820001115,160.53291710797703
